"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,117.9,1.34,0.3009,0.2788,3962.2,8201,971.8,809.5,0.2044,0.1563,0.0987,0.61,0.8,12.11,765.8,0.0238,57.77,362,248.84,1128,0.312,0.4487,3150.3,0.67,0.59,8.71,2.79,0.61,0.045,0.03,42.22,3959.8,0.4615,1.23,18,0.065,0.065,0.2086,0.98,0.8302,0.2856,4684.1,2428.4,0.6306,0.3867,200.5,0.0387,23.5,0.0045,0.4917,0.61,2.69,0.0698,0.47,206.61,0.8303,5180.5,0.0531,0.0506,2011.9,22.14,1531.4,430492,5315.8,117.5,20.67,5315.8,0.9,0.72
"2",2010-12-31,103.9,0.85,0.2958,0.28249459128963,3813.9,7762.5,755,771,0.1863489147774,0.15460816555707,0.099323671497585,0.4578,0.7606490872211,18.329624478442,761.7,0.0185,48.7623,301.8,202.7794,1063.5,0.3281,0.4888019907572,3366.4,0.74076356034767,0.6562822887221,11.154406891981,3.1653972731547,0.67506216411326,0.1,0.02,209.0216,4137.4,0.4583961352657,1.98,13.075757575758,0.06,0.0119,0.31876651982379,0.99,0.4699,0.28591304347826,4544.5,2635.8,0.56969421048638,0.36293324309953,143.8,0.028836127376273,16,0.003208470361755,0.33909805285118,0.69110359474554,1.8329624478442,0.060519772198604,0.52855538621962,-6.2422,-0.030782962488884,4986.8,0.044620842776983,0.037704187314822,2011.8,25.89,1501.6,463206,5129.5,218.5,12.063157894737,5129.5,0.9,0.77836515849873
"3",2009-12-31,105.9,0.78,0.3786,0.28365484929532,3776.5,7608.8,671.2,784.3,0.14433729618315,0.15621327703308,0.10307801493008,-0.6009,0.56127839408347,20.311500773595,750,0.0119,46.867,439.5,288.0703,1189.5,0.34455,0.49909584086799,4649.5,1.0360771904804,0.93288523274478,10.579067121729,3.9087852038672,0.92606608640229,0.025,0.015,367.4711,5433.8,0.46101882031332,1.61,22.701863354037,0.19,0.0447,0.13341346153846,0.99,0.4505,0.28618178950689,4487.6,3938.4,0.37969733902092,0.2752033567669,193.9,0.038620112733284,82.2,0.016372219013285,0.24170685920578,1.0428703826294,8.1246003094379,0.087537594359352,0.78443244965841,-79.4009,-0.2756301754417,5020.7,0.064192502674035,0.051343836886006,1966.7,36.55,1495.4,240491,4984,146.5,26.883276450512,4984,0.85,1.0307099907054
"4",2008-12-31,112.2,0.57,0.3505,0.30290748246442,3766.6,7652.4,734.9,805,0.15280941533789,0.15809112333072,0.10519575557995,-0.9085,0.36519258202568,38.83743315508,750.1,0.0126,45.7544,566.8,455.3218,1316.9,0.19668,NA,4463,0.97057608246526,0.88872515830977,7.8740296400847,3.3890196674007,0.87647289866457,0.02,0.025,471.4303,5268,0.46637656160159,1.57,21.605095541401,0.085,0.1056,0.24090360406967,0.98,0.4204,0.28521770947677,4598.3,3631.3,0.45072012777793,0.31068716780562,93.5,0.018362136684996,65.9,0.012941869599372,0.48935165775401,0.96407901024797,19.41871657754,0.11131186174391,0.71313825608798,-16.1085,-0.035378319454407,5092,0.099019588978535,0.024823448202623,1921.4,33.92,1636.7,385391,5021.8,8.4,432.29761904762,5021.8,0.8,0.97495974682139
"5",2007-12-31,117.6,NA,NA,0.29413562491011,3925.7,9894.1,699.6,3092.3,0.61020996132291,0.64036032304825,0.31253979644435,100.7709,NA,9.9985431235431,752.2,0.014050998105785,48.216,582.8,354.0393,1335,0.39252,NA,1975.3,0.79987851791861,0.38954405616471,3.3893273850377,1.4796254681648,0.40904949264858,0.07,0.05,305.8685,5067.6,0.3562830373657,2.39,13.284518828452,0.09,0.0984,0.52366001345593,0.98,0.4266,0.22193024125489,2469.5,3431.5,0.4767885764243,0.32285500039466,343.2,0.071070615034169,-2012.5,-0.41675295092152,0.14048951048951,0.87411162340474,1.4283633033633,0.12068751294264,0.71060260923587,48.1709,0.13606076372354,4829,0.14336478801377,0.087423898922485,1797.6,31.75,1636.1,476537,5070.8,206.1,16.649684619117,5070.8,0.95,0.9111438742853
"6",2006-12-31,116.8,-0.09,0.3465,0.4268008797701,3569.8,10599.5,722.5,2218.7,0.21594448337616,0.50835147210448,0.20932119439596,102.5964,0.48484848484848,47.128094059406,737.5,0.0059811709712575,45.552,412.8,264.1177,1150.3,0.36018,NA,8055.7,2.0091031524342,1.7099766503927,19.514777131783,7.0031296183604,1.8457326154199,0.165,0.06,176.5213,10274.4,0.33788386244634,2.58,23.945736434109,-0.005,0.0915,0.16299629015708,0.96,0.4149,0.20703806783339,4009.6,7615.9,0.34907233550861,0.25874990267072,161.6,0.03702600526979,-1292.3,-0.29609348149845,0.28188118811881,2.1334248417278,2.8562481248125,0.094581280788177,1.7449650589987,87.5964,0.33165665408203,4364.5,0.065871332801277,0.04526864250098,1672.7,61.78,2658.5,106700,4711,99.3,76.695871097684,4711,1.05,1.6496315206397
"7",2005-12-31,115.7,-0.38,0.3526,0.52574429831392,3350.6,10404.6,720.6,1095.8,0.1089773552256,0.27671018408626,0.10531880129943,0,0.47646057855927,28.656122910077,677.4,0.0067505046045162,42.809,353.4,227.9925,1030.8,0.35486,NA,8959.5,1.5011309374215,2.1431134286945,25.352292020374,8.691792782305,2.2624428676044,0.155,0.05,184.7925,10055.3,0.33890779078485,NA,NA,0.12,0.058,0.21893754167593,0.95,0.3891,0,5968.5,6341.6,0.58560930995332,0.36932761827096,221.3,0.055882427211434,0,0,0.19344328965206,1.8926759386379,1.8487821232308,0.08924017070276,1.6013737026843,43.2,0.18947993704845,3960.1,0.038199292284494,0.066047872022921,1509,54.33,3713.7,148400,4180.6,190.9,33.219486642221,4180.6,1.05,1.4233965148706
"8",2004-12-31,115,0.85,0.3806,0.53885905652751,NA,10993.8,798.3,1168.6,0.14731985275579,0.3067916305689,0.10629627608288,-0.7367,0.44666316342617,99.042452830189,668,0.0097033545883005,40.25,327.207,154.8867,995.207,0.52664,NA,6763.8,1.1736799180968,1.7756950460739,20.671318156396,6.7963750254972,1.8180303193205,0.21,0.065,25.3234,7932.4,0.30794629700377,1.58,22.829113924051,NA,0.0725,0.42300884955752,0.96,0.4289,0,5762.9,4199.4,0.8889365147402,0.47060158337956,42.4,0.011396624018923,-30.9,-0.0083055585420922,0.94929245283019,1.3161375246811,4.716307277628,0.087949414041501,1.1287495968176,129.5633,0.83650366583971,3720.4,0.026876521459682,0.013272397170225,1421,36.07,3733,61300,3809.1,42.4,99.042452830189,3809.1,1.05,1.1450430163404
"9",2003-12-31,57.1,1.22,0.2722,0.54320442639355,NA,10171.2,777,937.7,0.1158512478379,0.26210308586762,NA,-4.0659,0.89639970609846,58.779706275033,595.7,0.0084985835694051,37.686,911.2554,503.1497,1506.9554,0.44785,NA,7156.3,1.2208366030912,2.0003074686941,7.8532319259782,4.7488465816573,2.0771798444212,0.08,0.09,325.9156,8094,0.32945965077867,2.27,34.211453744493,NA,0.1866,0.17141875644109,0.95,0.8999,0,5861.8,4402.6,0.83845909235452,0.45606622189276,74.9,0.021740392430048,-105.8,-0.030709392778358,0.50315086782376,1.4200561236009,7.3474632843792,0.2645,1.2778938813422,177.2341,0.35224921584396,3445.2,0.085835352470231,0.024128599961343,1298.3,77.66,3691.4,43100,3577.6,74.9,58.779706275033,3577.6,1.05,1.1910648066396
"10",2002-12-31,58.7,1.17,0.2855,0.55667957264709,NA,9602,899,1298.9,0.17648337613283,0.43508407583573,NA,-338,0.9046,24.001357773252,510.4,0.010626237483736,37.568,386.4,171.0206,896.8,0.5574,NA,6061,NA,NA,15.685817805383,6.7584745762712,2.030213706706,0.035,0.105,-217.5794,7359.9,0.33286815246824,2.3,26.652173913044,NA,0.1515,0.2890365448505,NA,0.8751,0,5578.3,3535.4,1.0817729252701,0.51964021250289,147.3,0.04934012192671,8.1,0.0027132042607356,0.25504412763069,1.1607840562104,6.8575307923577,0.12942989214176,1.1842299189388,388.6,2.2722403564856,2985.4,0.030658200527042,0.048363266244213,0,61.3,3824.5,167607,0,NA,NA,0,0.95,1.0865317390603
