"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,108.8,3.55,0.685,0.5468,1906.4,7050.7,79.1,777.1,0.1482,0.1195,0.1102,241.5,0.8,54.43,126.6,0,0,81,40.28,208,0.504,0.459,4468.1,1.3,0.59,55.03,21.5,0.69,NA,0.105,-153.72,5245.2,0.1185,2.32,12.12,NA,-0.06,0.388,0.038,0.8763,0.1785,3429.7,2944.8,0.7812,0.4386,54.1,0.0083,1421.7,0.2186,0,1.54,NA,0.0125,0.45,194,4.8168,6504.6,0.0117,0.0284,879.1,28.11,2300.4,2393078,7609.5,213,13.83,7609.5,2.05,1.25
"2",2010-12-31,108.1,3.07,0.7282,0.44735376044568,2083.2,5516.4,55,1415.6,0.44151955586052,0.32040197365443,0.25661663403669,404.1014,0.66945893985169,NA,104.8,0,0,-73.8,-73.8,31,0,NA,1790.6,0.76069501678066,0.30480373131788,NA,57.761290322581,0.40527816757956,NA,0.05,-428.1014,3206.2,0.10396272931622,1.67,8.0898203592814,NA,0.0847,0.61087866108787,0.036,0.9205,0.089351751142049,2353.9,1519.9,1.1094808869004,0.52594972241283,-184.5,-0.041759087411163,1225.9,0.27746593635417,NA,0.72959869431644,NA,-0.016703634964465,0.34400887239147,354.3014,NA,4418.2,-0.031352223968733,-0.088565668202765,676.7,13.51,1686.3,2819485,5874.6,25.7,59.140077821012,5874.6,1.95,0.8505637352434
"3",2009-12-31,107.3,2.54,0.673,0.54010107668644,1674.4,5713.8,51.4,929.5,0.17629876903818,0.22989785065915,0.16267632748784,39.6198,0.70579494799406,NA,96.8,0,0,-459.8704,-459.8704,-363.0704,0,NA,4342.8,1.601740862317,1.0465587044534,NA,NA,1.0741262892335,0.2,NA,-454.0901,5272.3,0.110241870559,0.59,52.610169491525,0.285,-0.6418,0.30245118404653,0.036,0.8875,0.089450103258777,2711.3,3305.9,0.59481533016728,0.37296815431595,-433.4,-0.1071949741535,1504.1,0.37201652197571,NA,1.9743788819876,NA,-0.11374202468403,0.81766466325344,-5.7802,NA,4043.1,-0.16961250322723,-0.25883898709986,734.8,31.04,1966.4,1958107,4149.6,-292,NA,4149.6,1.9,1.4481157987255
"4",2008-12-31,94,2.56,0.6625,0.45472684085511,1721.7,5445.4,120.8,484.4,0.13080932191947,0.048980747451869,0.088955815918023,-710.0352,0.47094339622642,4.2634449040993,97.7,0,0,862.5,592.6065,960.2,0.31292,NA,3218.7,1.2041075904381,0.54321300187332,3.7318260869565,3.3521141428869,0.32546311276493,-0.085,-0.07,1279.5417,3703.1,0.088423256326441,NA,NA,0.585,0.1548,0.55447647951442,0.039,0.8422,0.083924045983766,2673.1,2267.3,0.63326423499316,0.38772919985958,531.8,0.053773661219867,1771.3,0.17910734508979,0,1.3168960910728,NA,0.087212829639217,0.2292610419026,-686.9352,-1.159176026823,9889.6,0.22169260409263,0.30888075739095,1065.2,19.81,1435.8,3412783,5925.3,-57,NA,5925.3,1.95,1.1727949326999
"5",2007-12-31,100.3,2.54,0.5177,0.36588006061918,2343.2,6316.3,111.5,1272.4,0.44902424392138,0.13924729417687,0.20144704969682,-187.9738,0.61811860150666,2.3810059456854,76.2,0,0,961.4,642.071,1037.6,0.33215,NA,1561.3,0.64441967970943,0.15013799271091,1.623985853963,1.5047224363917,0.17086356522976,0.215,0.16,794.7448,2833.7,0.066399632696357,6.83,2.5358711566618,0.35,0.2044,0.78948603614175,0.028,0.7959,0.11066605449393,2422.8,1481.7,0.91246541135183,0.47711472632953,622.3,0.068102476553181,1361.7,0.14901999409042,0,0.63234038921133,0.11074446259002,0.10521247140965,0.16215240158902,-152.6738,-0.2377833961096,9137.7,0.26501196549447,0.26557698873336,920.6,17.32,1352,1929081,10399.1,667.4,2.2201078813305,10399.1,2,0.76685970989392
"6",2006-12-31,101.1,1.75,0.3399,0.3035281015075,1751,4785.9,78.9,676.7,0.091677617763809,0.088485276426591,0.14139451304875,-116.6564,0.72962636069432,16.083110571081,73,0,0,709.5,457.6133,782.5,0.35502,NA,6704.6,3.6489604876456,0.78133995268562,9.4497533474278,8.568178913738,0.87669334170197,0.25,0.1,568.3697,7381.3,0.070728598591696,6.64,8.8012048192771,0.1,0.1903,0.27813303447821,0.032,0.8651,0.13222173467895,1837.4,6618.2,0.11530325466139,0.10338287293566,411.5,0.053807730529839,955.9,0.12499346200115,0,3.7796687607082,0.64332442284326,0.09277420367174,0.86539567969036,-110.7564,-0.24203054339847,7647.6,0.24905481114618,0.23500856653341,733.6,58.44,763.1,1607805,8580.9,540.4,12.246854182087,8580.9,1.55,2.9359611789507
"7",2005-12-31,100.4,1.97,0.3544,0.49188148277824,1161,4200.3,48.6,553.6,0.07194188509571,0.086765720017554,0.13180010951599,-134.3829,0.60948081264108,32.482451804251,75.6,0,0,378.3,252.0764,453.9,0.33366,NA,7141.5,4.1249350199272,0.9700357235028,18.877874702617,15.733641771315,1.1192871920256,0.29,0.11,413.4593,7695.1,0.078542008904126,4.55,14.193406593407,-0.055,0.2685,0.39755239245759,0.054,0.8807,0.13230007380425,1731.3,6571.2,0.17103420988556,0.14605398240439,202.3,0.031706476083004,873.4,0.13688796940631,0,5.6599483204134,1.1200845449742,0.059290953545232,1.0299040812488,-161.3829,-0.64021425838142,6380.4,0.14559950441864,0.17424633936262,599.7,64.58,1123.9,1142300,7362.1,317.2,20.716267339218,7362.1,1.35,3.3678060308985
"8",2004-12-31,48.8,1.36,0.4737,0.60831881338516,NA,3723.8,27.1,467.5,0.10921111033242,NA,0.12554379934476,-653.9,0.57420308211949,40.941093969144,70.4,0,0,190.7057,137.6247,261.1057,0.27834,NA,3813.2,2.1533770047436,NA,19.995207274874,14.604047326428,0.97847117087065,0.27,0.125,834.8247,4280.7,0.099387722219238,5.15,11.543689320388,NA,0.3593,0.27058105220311,0.055,0.8676,0.16206563188141,1770.8,2919.1,0.46644513719982,0.31807881888476,71.3,0.018295655744015,653.9,0.16779143465654,0,3.3296452606365,1.516336813672,0.048935285212081,0.74904416104283,-697.2,-5.0659520006825,3897.1,0.077718926734809,0.081327706170868,376,59.45,1361.6,246500,NA,0,NA,0,1.2,1.9124782200777
"9",2003-12-31,48.8,1.09,0.4793,0.60831881338516,NA,3723.8,27.1,467.5,0.12618764845606,0.10061336489831,NA,125.7429,0.45482996035886,32.863955119215,70.4,0,0,261.1057,188.4295,331.5057,0.27834,NA,3237.3,1.8281567653038,0.69671795975465,12.398427150384,9.7654429471349,0.83069461907572,0.28,0.115,105.9866,3704.8,0.099387722219238,3.24,14.472222222222,NA,0.3593,0.31643816645894,0.055,0.8936,0.16206563188141,1770.8,2343.2,0.58108569477637,0.36752321312891,71.3,0.018295655744015,653.9,0.16779143465654,0,2.6727500855481,1.1737126828291,0.067,0.6012676092479,82.4429,0.43752641633048,3897.1,0.10640927234132,0.081327706170868,376,46.89,1361.6,302400,4646.5,72.7,32.231086657497,4646.5,1.2,1.6551847384175
"10",2002-12-31,47.4,1.12,0.4694,0.66992790937178,NA,3625.7,29.2,352.2,0.11800180922706,0.12647681976514,NA,-79,0.5259,30.416666666667,45,0,0,156.6,106.8357,201.6,0.31778,NA,2632.5,NA,NA,16.810344827586,13.058035714286,0.945344202248,0.145,0.085,122.6357,2984.7,0.085335245607745,1.85,15.52972972973,NA,0.1798,0.51018303686517,0.066,0.8502,0.17180130733376,1978.2,1423.5,1.0967334035827,0.52306764498945,46.8,0.016806119151076,836.8,0.30049915610299,0,1.850624024961,2.0977011494253,0.056235860236291,0.51118612417855,-15.8,-0.14789070599766,2784.7,0.054006496815287,0.060842433697348,271.8,28.73,1561.2,308158,3654.5,46.8,30.416666666667,3654.5,1.1,1.3307552320291
