"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,103.8,2.17,0.5431,0.7539,1423,8462,475,113,0.0147,0.0128,0.0134,11.63,0.8,37.95,413,0,0,650,403.73,1063,0.3789,0.4534,7586.3,1.34,0.84,11.67,7.14,0.86,0.315,0.06,330.1,7699.3,0.5141,2.6,12.49,NA,-0.005,0.3252,NA,0.9605,0.1448,5670,3339.3,1.3057,0.5663,88,0.0099,495,0.0559,0,2.35,1.2,0.0734,0.38,73.63,0.1824,8854,0.0712,0.0618,0,32.47,4360,1328950,9062,72,46.38,9062,1.25,1.33
"2",2010-12-31,485.9,2.64,0.8654,0.69708404802744,1766,8500,476,406,0.064417859296164,0.044106463878327,0.047764705882353,8.533,0.34666050381327,12.719318181818,394,0,0,634,616.3051,1028,0.02791,0.18139534883721,5896.6,1.0871312684366,0.61919563162869,9.3006309148265,5.7359922178988,0.6405866376969,0.385,0.05,525.7721,6302.6,0.50635294117647,0.47,10.914893617021,NA,0.0111,0.37992831541219,0.037,NA,0.12870588235294,5424,2238.6,1.8154203520057,0.64481325167391,176,0.019120043454644,247,0.026833242802825,0,1.267610419026,0.33037190082645,0.068875611080934,0.24319391634981,90.533,0.14689636202451,9205,0.11362556415929,0.099660249150623,0,5.13,4064,10446268,9523,201,11.137313432836,9523,1.2,1.0810634648371
"3",2009-12-31,481.1,2.43,0.9158,0.93196685564762,312,7953,456,703,0.09281508278102,0.077989793654316,0.088394316610084,-0.201,0.3002839047827,47.828985507246,386,0,0,377,377,763,0,0,6871.2,1.7695596188514,0.74972176759411,18.22599469496,9.005504587156,0.7622808963834,NA,0.03,307.201,7574.2,0.54231107758079,0.31,21.58064516129,NA,0.0324,0.27272727272727,0.026,0.812,0.12397837294103,3883,3300.2,1.2950730258772,0.56428401679385,69,0.0076547592633681,-12,-0.0013312624805858,0,10.577564102564,NA,0.041823829598403,0.36611936986909,69.799,0.18514318134067,9014,0.097089878959567,0.22115384615385,0,6.69,4274,9756091,9165,96.1,34.341311134235,9165,1.1,1.6515918011339
"4",2008-12-31,477.4,2.32,0.9754,0.97890640999386,103,8174,547,523,0.070336350309991,0.060371695717419,0.063983361879129,8.3318,0.18043879434078,NA,373,0,0,181,181,554,0,NA,6912.7,1.5854816513762,0.77107640825432,38.191712707182,12.477797833935,0.79795682788872,NA,0.025,-1.3318,7435.7,0.52495718130658,0.15,35.933333333333,NA,-0.0276,0.78242677824268,0.017,0.8303,0.11402006361634,4360,2655.7,1.7999020973755,0.64284465484083,-57,-0.0065797067990304,239,0.027588595174882,NA,25.783495145631,NA,0.020893454923237,0.30655662010851,182.3318,1.0073577665349,8663,0.04151376146789,-0.55339805825243,0,5.39,4780,8055716,8965,13.4,198.18656716418,8965,1.1,1.5227728855212
"5",2007-12-31,474.4,1.35,0.6851,0.98881060920017,54,8393,662,592,0.11126773799455,0.066877541798464,0.070534969617538,0.9995,0.22186542110641,NA,362,0,0,339,339,701,0,NA,4728.5,1.1167926310817,0.52749888442659,13.948377581121,6.7453637660485,0.53417306823317,NA,0.015,38.0005,5320.5,0.55343738829977,-0.14,NA,NA,0.0113,0.74841168996188,0.01,NA,0.10723221732396,4234,548.5,8.7000911577028,0.89690818532093,-89,-0.010054225033891,-79,-0.0089245368278355,NA,10.157407407407,NA,0.038296430185269,0.061963398102124,300.9995,0.88790427175433,8852,0.080066131317903,-1.6481481481481,NA,1.15,4772,6143036,8964,-95,NA,8964,0.95,1.1024658101948
"6",2006-12-31,471.6,-0.36,0.5297,0.94768133174792,264,8539,631,823,0.11355953251556,0.094586829100103,0.096381309286802,-6.7697,0.37757221068529,NA,342,0,0,345,172.5,687,0.6,NA,6424.3,1.5212645039072,0.72199370645089,18.62115942029,9.3512372634643,0.73834042064131,NA,0.01,-109.7303,7247.3,0.50345473708865,-0.11,NA,NA,-0.0986,0.43646408839779,0.01,NA,0.09743529687317,4223,2465.3,1.9397233602401,0.65983193741117,-51.9,-0.0059648316285484,299,0.034363866222273,NA,9.3382575757576,NA,0.039650614871854,0.28333524882198,282.2303,1.6361177875607,8701,0.040847738574473,-0.19659090909091,NA,4.75,4782,8510110,8898,-16.3,NA,8898,1.25,1.4362465319065
"7",2005-12-31,469.7,1.41,0.3745,0.82469093406593,1021,9812,568,1378,0.1698801716061,0.14333263990015,0.14044027721158,-8.7609,0.44859813084112,NA,382,0,0,-23,-23,359,0,NA,6733.6,1.5145299145299,0.7461052631579,NA,18.756545961003,0.700395256917,NA,-0.015,-200.2391,8111.6,0.47085201793722,-0.05,NA,NA,-0.0359,0.23271276595745,0.01,0.9269,0.10609457806767,4446,3308.6,1.4516714018014,0.59211499580847,-724,-0.075306844185563,-143,-0.01487414187643,NA,3.2405484818805,NA,-0.0023923444976077,0.34414395672977,177.2391,NA,9614,-0.0051731893837157,-0.70910871694417,NA,6.97,4803,2889000,9025,-277.5,NA,9025,1.05,1.3927884615385
"8",2004-12-31,467.2,-0.79,0.4717,0.71919584954604,NA,10078,558,1034,0.12821625643251,0.10638954624961,0.1025997221671,-17.5219,-0.33495866016536,NA,388,0,0,-1313.4427,-1313.4427,-925.4427,0,NA,7030.5,1.369400077912,0.72337689062661,NA,NA,0.70879120879121,NA,NA,-1465.9208,8064.5,0.47826949791625,NA,NA,NA,-0.2532,0.28480078701426,NA,0.9575,0.096249255804723,5134,3628.5,1.2225437508612,0.5500651001302,-2640,-0.26615586248614,869,0.087609638068354,NA,2.0949769053118,NA,-0.1324168464563,0.36581308599657,152.4781,-0.11609038779258,9919,-0.25583223607324,-1.5242494226328,0,7.65,4436,4352200,9719,-2640,NA,9719,0.85,1.3074740596628
"9",2003-12-31,464.8,-0.7,0.4834,0.48194345450226,NA,12298,753,742,0.082633583535648,0.068135904499541,NA,-198.5967,-0.28961522548614,NA,460,0,0,-1101.8808,-1101.8808,-641.8808,0,NA,8237.4,1.0731370505472,0.75641873278237,NA,NA,0.62347865576748,NA,NA,-1196.2841,8979.4,0.45186209139697,NA,NA,-0.22,-0.0019,0.34361549497848,NA,0.8901,0.17132867132867,7676,4922.4,0.82419145132456,0.45181192507294,-1404,-0.10626702997275,1130,0.085528307599152,NA,1.1287319422151,NA,-0.0834,0.37257039055404,94.4033,-0.085674666220492,13212,-0.14354882751433,-0.32194450814033,0,10.8,4057,1456700,10890,0,NA,10890,0.85,1.0666904252792
"10",2002-12-31,488.5,-0.71,0.4618,0.41693473072533,NA,13814,889,138,0.012202994154943,0.0099187809961906,NA,596,-0.3397,6.6887155963303,604,0,0,2193,1285.1419,2797,0.41398,NA,11170.7,NA,NA,5.0937984496124,3.9938148015731,0.80289657155179,NA,NA,1000.1419,11308.7,0.47669031417403,NA,NA,NA,0.1533,0.25940464507687,0.028,0.8239,0.25133922108006,9499,7290.7,0.55111306184591,0.35530167039536,1090,0.078343994824984,771,0.055415798174369,0,1.2975084534615,NA,0.1576223675699,0.52402070006469,285,0.22176540105853,13913,0.1352923318244,0.19398469478555,0,15.45,4018,3660550,14188,604.6,12.058716506781,14188,0.85,1.1759869459943
"11",2001-12-31,NA,-0.38,0.4665,0.4169,NA,13814,889,138,0.010456842791219,0.0099187809961906,NA,0,-0.1433,8.4211926605505,604,0,0,2797.0696,1639.1387,3401.0696,0.41398,NA,13059.1,NA,NA,4.6688505713265,3.8397038390511,0.93862574570545,0.195,NA,1354.1387,13197.1,0.47669031417403,NA,NA,0.14,0.1533,0.58610271903323,0.021,0.8726,0.25133922108006,9499,9179.1,0.43773354686189,0.30446082851536,1090,0.078343994824984,771,0.055415798174369,0,1.6335824879872,0.43185603387438,0.11781346416963,0.65974987421836,285,0.17387179944373,NA,0.17255908274471,0.19398469478555,0,18.77,4018,2803400,13913,1090,8.4211926605505,13913,0.7,1.3893146647015
"12",2000-12-31,NA,0.75,0.3974,0.31234759476834,NA,12995,601,166,0.0071668803778587,0.013772504770596,NA,24.5435,0.56618017111223,25.179654255319,554,0,0,2237.0368,1345.8013,2791.0368,0.3984,NA,22996.1,NA,NA,10.2797146654,8.2392679308277,1.9079150418983,0.205,NA,1283.1783,23162.1,0.45986918045402,NA,NA,NA,0.017,0.25836841050311,0.039,0.9057,NA,9140,18935.1,0.22323621211401,0.18249640576632,752,0.062391105948727,919,0.076246577615531,0,3.728115770821,122.82758173326,0.11165696,1.5709864763959,62.623,0.046532127878633,NA,0.1472430348884,0.14806064185863,NA,59.3,4227,NA,12053,822,23.035401459854,12457,NA,2.488942617666
"13",1999-12-31,NA,0.9,0.4161,0.58267474083958,NA,13161,619,245,0.012406885061604,0.02142732202204,NA,NA,0.32444124008652,24.72776801406,533,0,0,1935,1191.573,1724.573,0.3842,NA,19502.1,NA,NA,10.078604651163,11.308364447315,1.7056235788001,0.16,NA,1103.0393,19747.1,0.4478383101588,NA,NA,NA,0.0409,0.45960949464012,0.031,0.9275,NA,9498,14070.1,0.40347971940498,0.28748525099888,NA,0.052562532796922,NA,0.12646492915865,0,3.4604279390064,1.5454855008787,0.1692321147455,1.2305492391114,NA,0.072173505106276,NA,0.12545514845231,0.14781111657649,0,NA,NA,NA,NA,601,23.411148086522,11434,NA,2.0267987272914
