"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,108.3,1.1,0.1958,0.1779,4228.9,17156.4,5.4,84.1,0.0146,0.0049,NA,0.8,9.43,0,0.0134,64.98,796,544.85,796,0.3157,0.3158,5683.2,1.12,7.14,7.14,0.065,539.45,5767.3,0,5.55,9.31,0.07,NA,0.1091,0.05,0.7339,0.0231,5059.8,4852.3,0.1886,0.1587,514.4,0,0.1279,1.15,1.45,5.4,0.0099,NA,0.1077,0.1216,0,51.67,915,510213,NA,508.2,9.55,NA,1.2,1.12
"2",2010-12-31,118.9,1.81,0.4536,0.18540453927753,4016.2,16159.8,9.2,365.7,0.06889470808764,0.022630230572161,NA,0.68893298059965,8.3536121673004,0,0.0112,49.2128,675.6,454.1383,675.6,0.3278,0.32779552715655,4942.4,1.0827673837795,7.3155713439905,7.3155713439905,0.07,444.9383,5308.1,0,5.02,8.6434262948207,0.075,NA,0.16124904018428,0.053,0.7379,0.024560947536479,4564.6,4394,0.20803368229404,0.17220851152013,526,0,0.093560456273764,1.0940690204671,1.1933731667572,9.2,0.020258145139569,NA,0.099491372738027,0.13096957322843,0,43.39,914.1,1162080,NA,522.1,8.4160122581881,NA,1.25,1.0766281970671
"3",2009-12-31,82.8,1.71,0.4857,0.21310830207899,3398.9,16023.8,6.5,231.9,0.039775650921066,0.014472222568929,NA,0.64340127650813,9.9065778853914,0,0.0104,51.0609,632.3,417.4318,632.3,0.33982,0.3398161715732,5598.3,1.3696146788991,8.853866835363,8.853866835363,0.075,410.9318,5830.2,0,6.64,8.9969879518072,0.08,NA,0.19124336618651,0.053,0.7719,0.026429436213632,4087.5,4909.7,0.18748599710777,0.15788480669617,495.6,0,0.10302841000807,1.4444967489482,1.3208770513855,6.5,0.015571405393648,NA,0.10212399119266,0.14581188031422,0,59.74,920.5,674800,NA,511.5,9.5986314760508,NA,1.25,1.3497708015002
"4",2008-12-31,84.7,1.86,0.4749,0.21904862282181,2222.9,13529,9.8,177.4,0.041713694507148,0.013112572991352,NA,0.42114129290377,7.0705240600039,0,0.0137,49.7214,475.4,314.6245,475.4,0.33819,NA,4075.4,1.5269389284376,8.5725704669752,8.5725704669752,0.065,NA,4252.8,0,6.16,7.1347402597403,0.09,NA,0.49030121431951,0.048,0.7708,0.031303126616897,2669,3629.3,0.17179621414598,0.14660929270128,513.3,0,0.096866179622053,1.6326870304557,1.0877729323083,NA,NA,NA,0.11788103184713,0.23091457105583,0,43.95,623.5,1464827,NA,492.8,7.364650974026,NA,1.25,1.4940978077572
"5",2007-12-31,92.2,1.2,0.2246,0.17850259451445,3324.6,15241.4,18.1,131.3,0.029564747472473,0.0086146941881979,NA,0.71237756010686,7.1225818808657,0,0.013884421975421,51.632,312.7,207.0262,312.7,0.33794,NA,4309.8,1.100646116914,13.782539174928,13.782539174928,0.08,NA,4441.1,0,6.26,7.1405750798722,0.095,NA,0.43058415519671,0.04,0.7382,0.027786161376251,3915.7,3718.7,0.19426143544787,0.1626624034586,522.1,0,0.098892932388431,1.1185405763099,0.89032273510822,NA,NA,NA,0.052870792450903,0.15704144859532,NA,44.7,722.4,743836,NA,531.3,6.9992471296819,NA,1,1.0973807758834
"6",2006-12-31,98.1,0.76,0.108,0.17267770018177,3459.2,14980.4,1.4,173.4,0.027079786984836,0.011575124829778,NA,0.8,11.263481363997,0,0.0089789308784961,51.012,263.8,176.8621,263.8,0.32956,NA,6229.9,1.5544438345227,23.6159969674,23.6159969674,0.085,NA,6403.3,0,5.83,10.236706689537,0.105,NA,0.093304401735896,0.04,0.7526,0.025259672638915,4007.8,5681.3,0.12708359002341,0.11275436103259,504.4,0,0.10113402061856,1.6423739592969,1.3251154545879,NA,NA,NA,0.044129465542193,0.14581406105458,NA,59.68,722,712800,NA,527.5,10.770236966825,NA,0.95,1.5314503013489
"7",2005-12-31,103.6,0.46,0.105,0.12930553441891,3432.8,14768.9,3,137.6,0.020096686091516,0.0093168753258537,NA,0.8,13.052729145211,0,0.0085010493758975,53.872,428.5,288.2862,428.5,0.32722,NA,6709.3,1.763285151117,15.65764294049,15.65764294049,0.085,NA,6846.9,0.0018958757930516,5.32,11.984962406015,0.11,NA,0.090126582278481,0.037,0.7321,0.025621407146098,3805,6337.1,0.080446892111534,0.074457053557084,485.5,0,0.11096189495366,1.846044045677,1.5356151935542,NA,NA,NA,0.075765106438896,0.14142973665812,NA,63.76,509.8,141000,NA,500.4,12.664068745004,NA,1,1.7366458682088
"8",2004-12-31,107.9,0.64,0.14,0.16884190059546,NA,14252.2,4,98.9,0.015178256265443,0.0069392795498239,0,0.91428571428571,12.296577946768,0,0.0079179413352528,47.476,NA,NA,NA,0.32236,NA,6417,1.5980177308497,NA,NA,0.08,NA,6515.9,0.0020698558818989,4.89,11.364008179959,0.1,0,0.069875487827541,0.052,0.6886,0.026550286973239,4015.6,5821.2,0.11933965505394,0.10661612363603,473.4,0,0.1002872834812,1.7022048072987,1.537072243346,4,NA,NA,NA,0.13842914790339,0,55.57,694.7,284600,NA,473.4,12.296577946768,0,0.95,1.5836432130271
"9",2003-12-31,112.7,0.62,0.1457,0.17628066607347,NA,13460.9,3.6,64.4,0.0091898911197683,NA,0,0.85106382978723,14.144937275986,0,0.0077301475755446,49.588,NA,NA,NA,0.34615,NA,6943.3,1.7945517045308,NA,NA,0.1,NA,7007.7,0.0022138192840003,4.58,12.427947598253,0.085,0,0.1306319629301,0.065,0.7003,0.028111047552541,3869.1,6314.3,0.10981423118952,0.098948299727443,446.4,0,0.11108422939068,1.9487978766087,1.4144937275986,3.6,NA,NA,NA,0.13777352550847,0,56.92,693.4,102000,NA,446.4,14.144937275986,0,1,1.7815431549511
"10",2002-12-31,118.3,0.32,0.1718,0.16208750844818,NA,12360.7,2.4,80,0.014076081218989,NA,0,0.4148,12.103301886793,0,0.010143029736155,52.052,162.3,107.4718,162.3,0.33782,NA,5603.4,NA,34.524953789279,34.524953789279,0.09,105.0718,5683.4,0.002702112339916,4.12,10.864077669903,NA,0,0.15708812260536,0.064,0.6775,0.030613152976773,3323.1,5131.8,0.10748665185705,0.097054580004927,424,0,0.1227641509434,1.7996843766439,1.3448113207547,2.4,0.022331436594157,0,0.032340830549788,0.14869366999825,0,44.76,551.6,360137,0,NA,NA,0,1.05,1.6861966236346
