"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,166.1,1.83,0.5125,0,937.3,1055.3,192.4,116.3,0.1492,0.1298,0.1102,-22.6,0.8,8.88,66,0,0,78,78.3,144,0,0,663,0.81,0.81,8.47,4.59,0.74,0.06,0.04,-25.5,779.3,0.4453,0.09,53.67,NA,0.15,0.2561,0.029,0.7568,0.0247,821,779.3,0,0,87.8,0.098,275.2,0.3071,0,0.83,1.48,0.0874,0.87,103.8,1.3256,896.1,0.0954,0.0937,243.7,4.83,0,2779577,822.5,4.9,159.04,822.5,1.5,0.83
"2",2010-12-31,161.5,2.1,0.6999,0,834,978.1,105.8,192.5,0.23395721925134,0.21907363150108,0.19681014211226,11.3052,0.517931133019,6.0102264426589,54.7,0,0,125.5,125.5,180.2,0,0,630.3,0.98254091971941,0.68325203252032,5.0223107569721,3.4977802441731,0.71730966200068,0.14,0.09,63.0948,822.8,0.36008588078928,0.72,6.7638888888889,NA,0.2748,0.58581116327595,0.026,0.7582,0.031489622737961,641.5,822.8,0,0,136.9,0.15579833845454,226.8,0.25810856947764,0,0.98657074340528,0.42930188876135,0.14282462729032,0.93638329350176,62.4052,0.49725223380972,878.7,0.19563522992985,0.16414868105516,225.3,4.87,0,4970930,922.5,116.8,7.0445205479452,922.5,1.45,0.98657074340528
"3",2009-12-31,153.3,2.15,0.7324,0,577.2,680,48.6,103.6,0.057364341085271,0.15833715421061,0.15235294117647,43.291,0.47788093937739,48.031914893617,46.9,0,0,19.6,19.6,66.5,0,0,1702.4,3.5945945945946,2.0796481798192,86.857142857143,25.6,2.6018645881094,0.265,0.11,-25.391,1806,0.40588235294118,0.81,14.432098765432,NA,0.0971,0.39600840336135,0.035,0.7856,0.053529411764706,473.6,1806,0,0,37.6,0.057465994192267,172.4,0.26348769677518,0,3.1288981288981,1.8125250903252,0.029955677823628,2.76020174232,44.991,2.295460641845,654.3,0.041385135135135,0.065142065142065,189,11.69,0,3800552,818.6,118.6,15.227655986509,818.6,1.4,3.1288981288981
"4",2008-12-31,147.4,2.14,0.7084,0,526.1,618.4,87.6,50.8,0.053077003447916,0.088594349494245,0.082147477360931,11.2404,0.32749858836815,24.60411311054,35.2,0,0,20.9,20.9,56.1,0,NA,906.3,1.9067957079739,1.485737704918,43.363636363636,16.155080213904,1.5805720265086,0.205,0.105,-42.7404,957.1,0.42739327296248,0.47,12.765957446808,NA,0.169,0.65033621517771,0.047,0.8018,0.053201811125485,475.3,957.1,0,0,38.9,0.067840948726892,176.1,0.30711545169166,0,1.8192358867136,1.2002006395385,0.036449250087199,1.6691663760028,63.6404,3.0449964369337,573.4,0.043972228066484,0.073940315529367,165.1,6,0,2614479,610,23.2,41.254310344828,610,1.45,1.8192358867136
"5",2007-12-31,142.9,1.84,0.4802,0,514.8,586.5,32.5,203.5,0.49381218150934,0.42770071458596,0.34697357203751,-16.1395,0.466472303207,11.383977900552,29.7,0,0,23.9,23.9,53.6,0,NA,208.6,0.67009315772567,0.37728341472237,8.7280334728034,3.8917910447761,0.43841950399328,0.3,0.12,37.2395,412.1,0.34884910485934,0.54,6.3703703703704,-0.16,0.1477,0.61828571428571,0.0459,0.7901,0.017561807331628,311.3,412.1,0,0,36.2,0.076082387557797,99.6,0.2093316519546,0,0.80050505050505,0.37946593001842,0.050231189575452,0.86612021857924,-13.3395,-0.55813683538493,475.8,0.076774815290716,0.07031857031857,127.4,3.44,0,2106786,552.9,40.8,10.100490196078,552.9,1.4,0.80050505050505
"6",2006-12-31,138.5,1.95,0.3558,0.31885747595453,467.4,754.4,39.7,373.2,0.31522932680125,0.92882030861125,0.49469777306469,-15.0467,0.74198988195616,30.541139240506,31.5,0,0,18.4,16.9061,49.9,0.08119,NA,810.7,2.5900958466454,1.7562824956672,44.059782608696,16.246492985972,2.0176704828273,NA,0.125,23.7528,1183.9,0.26550901378579,0.42,14.238333333333,NA,0.3887,0.30506912442396,0.01,0.7654,0.0058324496288441,313,965.1,0.22671225779712,0.18481290649548,31.6,0.078646092583375,101.1,0.25161772025883,0,2.0648267008986,NA,0.045793927327028,2.4019412643106,-6.8467,-0.40498625061566,401.8,0.054013111821086,0.067608044501498,105.5,5.9801,218.8,3142995,461.6,25,38.604,461.6,1.65,1.7252987467211
"7",2005-12-31,141.1,2.73,0.4173,0.32685987451449,450.6,728.7,22.3,301.1,0.35909361955874,1.0213704206242,0.41320159187594,-14.9654,0.67098011023245,NA,34.9,0,0,-9,-9,25.9,0,NA,537.4,1.4591365734456,1.4438473938743,NA,20.749034749035,1.8229308005427,NA,0.11,18.5654,838.5,0.26183614656237,0.23,19.565217391304,NA,-0.1645,0.24257932446264,0.04,0.7456,0.0064498421847125,368.3,619.7,0.35307406809747,0.26094215861658,-4.2,-0.014246947082768,57,0.19335142469471,NA,1.3752774079006,NA,-0.030529172320217,2.1021031207598,-27.5654,NA,294.8,-0.024436600597339,-0.0093209054593875,93.3,4.5,218.8,1928176,372.2,18.9,32.78835978836,372.2,1.75,1.2526142814461
"8",2004-12-31,138.8,4.03,0.6413,0.33673929376409,NA,722.4,25.3,198.8,0.2328141468556,0.69803370786517,0.27519379844961,-13.0315,1.2568220801497,NA,41.1,0,0,-26.6301,-26.6301,14.4699,0,NA,655.1,1.4036854510392,2.3002106741573,NA,45.273291453293,1.8878962536023,NA,0.075,2.2014,853.9,0.27616279069767,0.08,55.625,NA,0.0844,0.27837634678026,0.031,0.5776,0,466.7,629.8,0.355827246745,0.26244290900574,-29.1,-0.083861671469741,72.7,0.20951008645533,NA,1.4268237426371,NA,-0.076743804034582,1.8149855907781,-28.8315,1.0826668836212,347,-0.05706042425541,-0.065926597190757,127.1,4.45,224.1,1001987,284.8,0,NA,284.8,2,1.2830954169797
"9",2003-12-31,135.4,3.54,0.7032,0.3687748662368,NA,792.8,27.9,302.1,0.34513880955101,0.83637873754153,NA,14.0922,1.0068259385665,NA,39.5,0,0,10.0873,10.0873,49.5873,0,NA,573.2,1.3430178069353,1.5869324473976,56.823983448478,11.559413712667,1.8354146653859,NA,0.095,7.5951,875.3,0.27964177598385,0.01,428,NA,0.1491,0.51256664127951,0.034,0.4988,0,426.8,606.5,0.44319868095631,0.30709471038501,-35.5,-0.11367275056036,90,0.28818443804035,NA,1.3181916974571,NA,0.0323,1.9420429074608,2.4922,0.24706526928173,312.3,0.023634700093721,-0.077157139752228,116.4,4.28,268.8,466717,361.2,0,NA,361.2,1.9,1.2008505967897
"10",2002-12-31,133.2,3.65,0.9858,0.33857574232511,NA,840.7,24.2,335.9,0.27422646746673,1.2566404788627,NA,-3.1,0.8145,NA,38.3,0,0,-6.3,-6.3,32,0,NA,889,NA,NA,NA,27.78125,3.3258511036289,0.06,0.075,7.8,1224.9,0.18306173426906,-0.31,NA,NA,-0.214,0.52797202797203,0.033,0.4751,0,458.9,955.8,0.28154425612053,0.21969140337987,-5.5,-0.020576131687243,41.6,0.1556303778526,NA,1.8181472322618,NA,-0.023569023569024,3.5757575757576,-14.1,NA,267.3,-0.013728481150578,-0.010462240821762,101.4,7.05,269.1,1388474,296,-39.1,NA,296,1.9,1.9372412290259
