"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,41.5,0.79,0.2588,0.405,841.2,1904.6,59.3,87.4,0.0679,0.1728,0.0459,0.57,0.76,15.01,54,0.0349,24.9,116,74.53,170,0.3564,0.3568,1199.4,0.9,2.41,10.36,7.06,2.37,0.045,0.035,68.66,1286.8,0.6181,1.13,15.79,-0.1,0.01,0.1509,0.719,0.2495,0.2802,1326.3,714.3,0.8015,0.4449,47.6,0.0941,-33.6,-0.0664,0.6553,0.85,3.33,0.2289,1.41,5.87,0.0788,505.8,0.0562,0.0566,89.4,17.84,572.5,15117,497.2,38,18.8,497.2,0.95,0.91
"2",2010-12-31,41.6,1.13,0.3411,0.42056324837782,866.2,1951.5,37.2,93.2,0.075010060362173,0.18558343289526,0.047758134768127,0.1796,0.69627675168572,13.549668874172,52.8,0.027,16.5726,120.8,76.9182,173.6,0.36326,0.36286919831224,1149.3,0.81993293857459,2.3004403522818,9.5140728476821,6.6203917050691,2.2885304659498,0.01,0.025,92.3385,1242.5,0.59918011785806,1.13,13.566371681416,-0.02,-0.0736,0.18478650879082,0.7159,0.2638,0.29838585703305,1401.7,613.8,1.024275008146,0.50599597585513,45.3,0.090203106332139,-34.7,-0.069095977698128,0.36584105960265,0.708612329716,13.549668874172,0.2405416168857,1.2222222222222,-15.4204,-0.20047728706344,502.2,0.054874931868445,0.052297390902794,85.7,15.33,628.7,44276,499.6,51.6,11.895348837209,499.6,0.95,0.83115927486788
"3",2009-12-31,42.3,1.26,0.3897,0.44215718513647,848.2,1969,42.6,98.6,0.072478682740371,0.17910990009083,0.050076180802438,3.2678,0.60944316140621,9.2735849056604,52.7,0.0243,16.7208,163.4,102.6969,216.1,0.3715,0.37118644067797,1261.8,0.88740417750897,2.4750882699098,7.7221542227662,5.8389634428505,2.292098092643,-0.03,0.015,109.5291,1360.4,0.59883189436262,1.22,12.55737704918,0.05,-0.0845,0.17339360671618,0.705,0.3196,0.2925342813611,1421.9,688.1,0.97703822118878,0.49419288444575,74.2,0.13478655767484,-44.2,-0.080290644868302,0.22534811320755,0.81124734732374,NA,0.29682107175295,1.2499545867393,-6.8322,-0.06652752667179,550.5,0.072225121316548,0.087479368073568,84.3,15.32,672.3,52693,509.8,45.4,15.156387665198,509.8,0.95,0.89470568891812
"4",2008-12-31,42.9,1.33,0.3611,0.43673261657866,885.4,2034.4,75,58.1,0.040869442881261,0.095090016366612,0.028558788832088,2.1622,0.42093602880089,7.1438289601555,48.1,0.0208,15.2901,199.5,123.5264,247.6,0.38082,NA,1363.5,0.90071343638526,2.3078876100203,6.8345864661654,5.5068659127625,2.2315875613748,NA,0.015,94.4642,1421.6,0.58764254817145,1.62,10.876543209877,0.1,0.0719,0.43017150857543,0.695,0.3147,0.28671844278411,1513.8,735.1,0.93388654604816,0.48290658413056,102.9,0.1684124386252,-65.4,-0.10703764320786,0.14859164237123,0.83024621639937,NA,0.3265139116203,1.2031096563012,29.0622,0.23527082502275,611,0.081600217994451,0.11621865823357,84,17.62,686.5,121802,590.8,83.8,8.772076372315,590.8,0.95,0.9043832304854
"5",2007-12-31,42.3,1.12,0.2425,0.34105564843563,827.7,1578.3,67.9,168.5,0.15353075170843,0.30003561253561,0.10676043844643,11.0208,0.59381443298969,7.1714898177921,44.5,0.021494544911075,14.382,180.5,109.1285,225,0.39541,NA,929,0.85417432879735,1.4950112648857,5.1468144044321,4.1288888888889,1.6542022792023,0.055,0.055,74.7077,1097.5,0.67566368877907,2.45,6.5755102040816,0.125,0.024,0.51260889500229,0.674,0.3653,0.098840524615092,1087.6,669.1,0.64026303990435,0.3903416856492,93.3,0.16613247863248,-103.5,-0.18429487179487,0.15414790996785,0.80838468043977,1.3039072395986,0.32140313390313,1.1914173789174,34.4208,0.31541563304189,561.6,0.10033881482163,0.1127220007249,81,16.11,428.4,134413,621.4,101.2,6.6116600790514,621.4,0.9,0.87373616750259
"6",2006-12-31,43.8,1.14,0.1621,0.34313175810973,820.1,1589.5,104.5,121.1,0.067423862813874,0.21342967923863,0.076187480339729,0.1915,0.8,12.299460431655,40.7,0.010888352708927,14.892,195.1,124.4679,235.8,0.36203,NA,1675,1.4857193542664,2.9447960618847,8.5853408508457,7.1034775233248,2.9520620373634,0.07,0.065,60.4765,1796.1,0.66354199433784,2.55,11.576470588235,0.145,0.0434,0.14411199560801,0.655,0.3615,0.098206983328091,1127.4,1367.7,0.31322658477736,0.23851678637047,111.2,0.19598167077899,-77.6,-0.13676418752203,0.13392086330935,1.66772344836,1.7570657759507,0.3438491364117,2.4104688050758,63.9915,0.51412007191322,567.4,0.11040264945893,0.13559322033898,78.1,29.52,428.4,101900,568.8,105.4,12.976280834915,568.8,0.85,1.4386063275931
"7",2005-12-31,43.8,1.05,0.1806,0.37204877626913,726.1,1514.4,96.6,120.9,0.056638246041413,0.2222018011395,0.079833597464342,3.8386,0.62015503875969,16.595910418695,37.6,0.0084804036611124,14.454,187.6,110.8078,225.2,0.40934,NA,2013.7,1.9448522310218,3.5216859041623,10.734008528785,8.9418294849023,3.700974085646,0.095,0.065,47.9692,2134.6,0.64692287374538,2.52,15.238095238095,0.13,0.2208,0.076549865229111,0.65,0.3293,0.10558637083994,1035.4,1704.4,0.25240553860596,0.20153658765108,102.7,0.18875206763463,-75.4,-0.13857746737732,0.1407400194742,2.347335077813,1.74693793881,0.34478956074251,3.1325124058078,62.8386,0.56709533780859,544.1,0.10701933165926,0.14144057292384,73.3,38.4,430.2,37300,571.8,111.1,15.341134113411,571.8,0.7,1.8460607108882
"8",2004-12-31,43.9,0.47,0.2068,0.402828854314,NA,1398.3,62.5,216.7,0.11136807482783,0.45230640784805,0.15497389687478,-4.5268,0.45454545454545,18.841191066997,35.5,0.0092565808504484,14.048,148.324,91.0636,183.824,0.38605,NA,1729.1,2.0491822706803,3.6090586516385,11.657583513934,9.4062773614225,3.8725643896976,0.125,0.09,68.5903,1945.8,0.65365086176071,2.42,14.285123966942,0.11,0.0789,0.09379666078458,0.65,0.3162,0.11292283487092,843.8,1518.6,0.2813117344923,0.2195497995683,80.6,0.18051511758119,-62,-0.13885778275476,0.17429280397022,2.3979156797726,1.5072952853598,0.33219272116461,3.4011198208287,22.4732,0.24678629549824,446.5,0.10792077565478,0.12726985630823,65.1,34.57,427.2,62900,479.1,80.6,18.841191066997,479.1,0.8,1.8347949080622
"9",2003-12-31,42.9,0.57,0.2419,0.38311761395611,NA,1190.6,63.8,134.5,0.066138867033832,0.30381748362322,NA,-5.8929,0.47126911947086,24.9,33.9,0.0079507566042575,13.299,165.8046,101.8488,199.7046,0.38573,NA,1899.1,2.518700265252,4.2898125141179,11.453847316011,9.5095479797531,4.6949320148331,0.125,0.085,77.8417,2033.6,0.74475054594322,1.93,20.20207253886,0.115,0.0613,0.15404077987796,0.657,0.3037,0.05148664538888,754,1693.2,0.20103945192535,0.16738788355626,68,0.168108776267,-62.4,-0.15426452410383,0.19557352941177,3.0892172961138,1.992,0.4099,4.1859085290482,24.0071,0.23571317864227,404.5,0.13507793226591,0.12406495165116,58.7,38.99,340.4,40400,442.7,68,24.9,442.7,0.75,2.2888013505909
"10",2002-12-31,42.3,0.62,0.3328,0.41067786442712,NA,1105.7,67,112.6,0.071610277283134,0.29946808510638,NA,22.5,0.4072,20.099673202614,31.7,0.010660108934233,13.113,124.2,75.4068,155.9,0.39286,NA,1459.8,NA,NA,11.753623188406,9.3636946760744,3.8824468085106,0.095,0.05,40.1068,1572.4,0.77516505381207,1.67,17.017964071856,NA,-0.0127,0.21284511454866,0.668,0.2937,0.047029031382834,720.9,1230.1,0.27827005934477,0.21769269905876,61.2,0.16276595744681,-90,-0.23936170212766,0.21426470588235,2.5042752442997,2.1157550739594,0.33031914893617,3.2715425531915,35.3,0.46812761737047,376,0.10460089887641,0.12459283387622,57.2,28.42,342.3,79722,392.8,NA,NA,392.8,0.65,2.0249687890137
"11",2001-12-31,NA,0.42,0.3915,0.4751,NA,1063.6,90.6,94,0.066248502360984,0.24953543934165,NA,-0.9844,0.1891,17.985915492958,33.2,0.0124,12.6678,148.2993,89.9939,181.4993,0.39316,NA,1324.9,NA,NA,8.9339599040589,7.2997526712224,3.5171223785506,0.105,NA,33.5783,1418.9,0.76447912749154,1.58,14.96835443038,NA,0.0605,0.1736340657204,0.6759,0.2662,0.053309514855209,742.2,1021.6,0.38889976507439,0.28000563817041,56.8,0.15078311653836,-50.8,-0.13485532253783,0.22302535211268,2.3276372750057,1.7129443326626,0.23890084208123,2.7119723918237,56.4156,0.62688215983127,NA,0.1212529604042,0.12941444520392,60.3,23.65,397.3,59800,376.7,60.5,16.885950413223,384,0.75,1.9117488547561
"12",2000-12-31,NA,0.75,0.4705,0.34189245518966,NA,992,85.5,30.7,0.020492623990388,0.086649731865651,NA,-18.2984,0.47821466524973,22.619542619543,31.2,0,0,138.85017,84.3487,170.0502,0.39252,NA,1467.4,NA,NA,10.568226167818,8.6292180713492,4.1416878351679,0.145,NA,36.0075,1498.1,0.80493951612903,NA,17.668965517241,NA,0.1135,0.24536082474227,0.683,0.2541,NA,758.7,1088,0.37693014705882,0.27374674587811,48.1,0.13576065481231,-52.5,-0.14817950889077,0,2.8684418665964,155.99684565202,0.238071412,3.070843917584,48.3412,0.57311196581845,NA,0.11117530153104,0.12681254943317,53.7827,25.62,410.1,NA,354.3,56.2,19.359430604982,372.6,NA,1.8977704585761
"13",1999-12-31,NA,0.75,0.5213,0.58028596735417,NA,996,90.6,56.5,0.038119012279045,0.15937940761636,NA,NA,0.21580663725302,24.724637681159,28.5,0,0,127.2,76.8822,105.3822,0.39558,NA,1425.7,NA,NA,11.208333333333,13.52884714219,4.0217207334274,0.185,NA,24.0934,1482.2,0.74457831325301,NA,NA,NA,0.3768,0.386268242905,0.6909,0.2457,NA,733.8,1023.6,0.44802657288003,0.30940493860478,NA,0.13624823695346,NA,-0.22538787023977,0,3.0859210129635,1.3364669016843,0.35881523272214,2.8874471086037,NA,0.80772897516596,NA,0.10477272281276,0.14561350618028,47.4,NA,NA,NA,NA,48.3,21.192546583851,354.5,NA,1.8754903201316
