"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,253.3,1.42,0.2492,0,3420.7,3770.3,82.3,1662.4,0.1003,0.6051,0.4409,7.46,0.8,21.44,72,0.0222,367.29,1227,758.54,1299,0.3817,0.3817,14914.2,8.48,5.13,12.16,11.48,5.43,0.135,0.11,740.78,16576.6,0.1505,3.58,18.19,0.085,0.09,0.1028,0.047,0.6669,0.1766,1758.3,16576.6,0,0,773.2,0.2815,128.4,0.0467,0.4318,4.85,1.59,0.4466,6.03,17.76,0.0234,2747.1,0.4314,0.226,90.8,65.12,0,1531254,2906.8,850.6,19.49,2906.8,1.25,4.85
"2",2010-12-31,258.8,1.73,0.3863,0,3296.5,3642,118,1561,0.10866538579344,0.65942886110172,0.42861065348709,18.4574,0.8,21.37042546861,62.6,0.0229,328.9631,1036.5,651.15,1099.1,0.37178,0.37177570093458,12804.2,7.3778161912993,4.7022401762762,12.353304389773,11.649713401874,5.4090064210882,0.165,0.13,577.2927,14365.2,0.15384404173531,3.19,17.852664576802,0.1,0.2665,0.22945589376563,0.047,0.6808,0.182784184514,1735.5,14365.2,0,0,672.2,0.28396417708685,122.8,0.05187563366002,0.48938274323118,4.3577127256181,1.2951773011279,0.43785907401149,6.0684352821899,73.8574,0.11342601098588,2367.2,0.37519448573898,0.20391324131655,86.9,56.95,0,2143476,2723,776.4,18.502318392581,2723,1.25,4.3577127256181
"3",2009-12-31,258.5,1.75,0.4376,0,2882.2,3210.3,133.9,1420.8,0.084779845692088,0.76084395416087,0.44257546023736,16.7908,0.7426873857404,38.650138376384,65.2,0.0174,291.6014,701.6,441.5941,766.8,0.37059,0.37059079692263,15337.9,10.495346927604,6.7797816381559,21.861316989738,20.002477829943,8.2135054085895,0.135,0.075,356.1033,16758.7,0.15973585023207,2.75,23.469090909091,0.15,-0.1233,0.20854132002219,0.05,0.6927,0.20736379777591,1461.4,16758.7,0,0,433.6,0.23219449501981,79.4,0.042519010388776,0.67251240774908,5.8145513843592,2.8629732130655,0.37570954267966,8.9743493627504,85.4908,0.19359580601449,1867.4,0.30217192828794,0.15044063562556,73.2,64.54,0,2000450,2262.3,633.1,26.47085768441,2262.3,1.3,5.8145513843592
"4",2008-12-31,256.9,1.75,0.4134,0,2488.8,2819.4,144.1,1132.6,0.082158194057567,0.53517932240231,0.40171667730723,-0.7959,0.50314465408805,28.088019559902,61.7,0.0198,272.9549,848.5,523.0409,910.2,0.38357,NA,12653,9.3297448753871,7.2634902411022,14.912197996464,13.901340364755,5.9788309785947,0.06,0.075,441.4367,13785.6,0.15609704192381,1.99,26.758793969849,0.205,-0.0216,0.4683075294429,0.0509,0.7242,0.23611406682273,1356.2,13785.6,0,0,490.8,0.23191418985966,4.5,0.0021263525965128,0.55614278728606,5.5390549662488,4.681336593317,0.40093559514247,6.514010300997,81.6041,0.15601860818908,2116.3,0.38566646143637,0.19720347155255,104.1,53.25,0,3303991,1742,305.4,45.139489194499,1742,1.3,5.5390549662488
"5",2007-12-31,264.6,1.51,0.2927,0,2777.1,3177.3,145.6,1558.1,0.18528296053179,0.69923259884217,0.49038491801215,0.6462,0.68329347454732,12.539964211154,53.4,0.03020655702615,254.016,996.4,620.528,1049.8,0.37723,NA,6851.2,5.6203445447088,2.9811156557306,6.8759534323565,6.526195465803,3.0746308845308,0.08,0.11,527.6818,8409.3,0.11276870298681,1.94,18.268041237113,0.18,0.2294,0.48634342578869,0.059,0.722,0.21049318603846,1219,8409.3,0,0,670.6,0.3009469102006,-20.6,-0.0092447157025535,0.3787891440501,3.0280868531922,1.5674955263943,0.44715702553516,3.773863483373,92.8462,0.14962451563527,2228.3,0.5090467826087,0.24147491988045,107.9,35.44,0,2990778,2298.2,657.2,12.795648204504,2298.2,1.25,3.0280868531922
"6",2006-12-31,265,1.53,0.1946,0,2426.9,2765.3,94.4,1327.4,0.083509487140772,0.73134986225895,0.48002025096735,0.0336,0.8,30.013595166163,46.5,0.01600483164729,254.4,786.9,485.5409,833.4,0.38297,NA,14567.8,13.249477035016,6.8729005472731,18.512898716482,17.479961603072,8.0263360881543,0.175,0.135,437.6073,15895.2,0.095794308031678,2.65,20.766037735849,0.115,0.193,0.20110091743119,0.076,0.6551,0.24207138465989,1099.5,15895.2,0,0,529.6,0.29179063360882,-0.2,-0.00011019283746556,0.48036253776435,6.5495900119494,1.7150625809236,0.43355371900826,8.7576859504132,47.9336,0.098721990355989,1815,0.44160155252387,0.21822077547489,97.3,55.03,0,2549880,2119.6,627.6,25.326959847036,2119.6,1.4,6.5495900119494
"7",2005-12-31,263.4,1.94,0.2069,0,2036.1,2310.5,51.8,1067.8,0.092574450561359,0.70612352863378,0.46215104955637,-0.6302,0.8,26.768391738222,42.3,0.015528371407517,179.112,655,415.46,697.3,0.36571,NA,10466.7,10.809356604358,6.0543151318834,15.979694656489,15.010325541374,6.9215050919191,0.16,0.13,406.5902,11534.5,0.092966890283488,2.02,21.668316831683,0.07,0.1654,0.16348806525129,0.1,0.6466,0.28811945466349,968.3,11534.5,0,0,430.9,0.28494908080942,4.4,0.0029096680333289,0.41566952889302,5.6649968076224,1.6730244836389,0.43314376405237,7.6276286205528,8.8698,0.021349268212209,1512.2,0.42906118971393,0.2116300771082,86.1,43.77,0,717528,1728.8,486.3,23.718897799712,1728.8,1.4,5.6649968076224
"8",2004-12-31,129.6,1.53,0.2497,0,NA,1928.8,43.1,714.9,0.07563318592497,0.49144153433698,0.37064496059726,3.785,1.2254705646776,28.023124814705,40,0.012772455921144,119.232,525.3279,331.9179,565.3279,0.36817,NA,8737.3,8.8938314332248,6.0062555853441,16.632088263349,15.455278255328,6.8420516836335,0.155,0.135,325.0329,9452.2,0.10566155122356,3.22,22.369565217391,0.06,0.2364,0.16367003626823,0.1,0.6004,0.34513687266694,982.4,9452.2,0,0,337.3,0.26413469068128,27.2,0.021299921691464,0.35348947524459,5.568962469805,1.8079435364326,0.41137658574785,7.4018794048551,6.885,0.020743067859034,1277,0.33786433943098,0.19872739056148,74.3,72.03,0,311494,1454.7,337.3,28.023124814705,1454.7,1.45,5.568962469805
"9",2003-12-31,124.9,1.49,0.2839,0,NA,1546.6,31.7,398.8,0.050028225553534,0.32885297270553,NA,0.0218,1.0496653751321,35.03956043956,45.3,0.014855481995802,114.908,410.3863,255.4121,455.6863,0.37763,NA,7572.7,8.14006234548,6.2444957532778,18.452613137787,16.618229838455,7.6061671353957,0.15,0.11,268.9903,7971.5,0.13002715634295,2.66,23.281954887218,0.08,0.0583,0.19189602446483,0.14,0.587,0.43042803569119,930.3,7971.5,0,0,227.5,0.22850542386501,0.1,0.00010044194455604,0.50509010989011,5.9976675946129,2.3359706959707,0.4122,8.0067296102853,-13.5782,-0.053161898936975,995.6,0.27454813928668,0.17116845986006,59,61.93,0,240572,1212.7,0,NA,1212.7,1.5,5.9976675946129
"10",2002-12-31,122.6,1.41,0.3335,0.046986635286207,NA,1370.4,26,234.6,0.04057700290577,0.25403356794802,NA,-30.1,0.9309,29.468347915594,50.6,0.014560315769251,83.368,320.5,201.0913,371.1,0.37257,NA,5547,NA,NA,17.307332293292,14.947453516572,6.0064970221982,0.1,0.07,225.6913,5781.6,0.15732632807939,2.05,22.375609756098,NA,-0.098,0.31975910524806,0.15,0.5729,0.48577057793345,955.1,5725.7,0.0097629984106747,0.009668603846686,194.3,0.21039523551705,-2.6,-0.002815376285869,0.4290684508492,5.0500088198977,2.9468347915594,0.347049269085,6.2,-24.6,-0.12233248362815,923.5,0.21054477541619,0.1713706121009,59.1,45.87,55.9,477445,934.1,182,31.45989010989,934.1,1.45,5.8077688200189
