"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,59.2,0.81,0.1661,0.0111,665.9,857.9,16.4,89.5,0.0591,0.1694,0.1043,2.23,0.8,34.31,19.2,0.013,19.54,55,39.6,74,0.2787,0.2791,1424,2.44,2.6,25.94,19.22,2.69,0.085,0.045,40.17,1513.5,0.2473,0.93,27.87,-0.035,0.035,0.1464,0.45,0.2493,0.2894,583.9,1506,0.005,0.005,43.9,0.0831,64.3,0.1217,0.3947,2.26,4.04,0.1039,2.85,-0.57,-0.0145,528.4,0.0678,0.0659,108.3,25.92,7.5,136388,546.7,49.5,30.42,546.7,0.7,2.25
"2",2010-12-31,58.2,0.76,0.1919,0.011086474501109,669,860.4,12.8,124,0.089479001298889,0.23979887836009,0.1441190144119,0.1708,0.8,25.666666666667,18.3,0.0134,18.4692,62.5,45.3119,80.8,0.27501,0.2753036437247,1261.8,2.2838009049774,2.4326200115674,20.1888,15.616336633663,2.4401469735061,0.05,0.035,50.6411,1385.8,0.25046490004649,0.83,28.518072289157,-0.045,0.0606,0.13462267728479,NA,0.2485,0.28858670385867,552.5,1378.3,0.0054414858884133,0.0054120363688844,53.7,0.1038483852253,55.2,0.10674917810868,0.34393333333333,2.0602391629297,5.1333333333333,0.12086637014117,2.6654418874492,-5.3292,-0.11761158228447,517.1,0.082012443438914,0.080269058295964,106.3,23.67,7.5,91706,518.7,42.2,32.661137440758,518.7,0.7,2.0484848484849
"3",2009-12-31,57.4,0.63,0.219,0.011363636363636,652.5,838.2,20.8,99.7,0.060307282845391,0.20117029862793,0.11894535910284,1.5762,0.79908675799087,30.760747663551,17.9,0.0111,18.2673,73.2,60.9917,91.1,0.16678,0.16666666666667,1553.5,2.7726218097448,3.0490677134446,21.222677595628,17.05268935236,3.1345843422115,0.075,0.015,56.5155,1653.2,0.26330231448342,0.97,29.865979381443,-0.045,0.0242,0.12749153817225,NA,0.2471,0.29623001670246,560.3,1645.7,0.0045573312268336,0.0045366561819502,53.5,0.10794995964487,56.2,0.11339790153349,0.34144429906542,2.5221455938697,4.1014330218068,0.14769975786925,3.3206214689266,4.4762,0.073390814451021,495.6,0.10885544172765,0.081992337164751,103.8,28.97,7.5,82173,509.5,52.6,31.287072243346,509.5,0.7,2.5048484848485
"4",2008-12-31,56.7,0.53,0.214,0.011676786548342,634.8,812.1,34.4,86.9,0.056454232443318,0.17659012395855,0.10700652628987,0.7305,0.52336448598131,39.479381443299,17,0.0116,17.7689,63.5,44.0417,80.5,0.30643,NA,1452.4,2.6150522146201,2.9007389654484,22.872440944882,18.042236024845,2.9514326356432,0.05,0.02,25.9112,1539.3,0.26794729713089,0.91,30.087912087912,-0.03,-0.0447,0.19387755102041,NA,0.2487,0.32298977958379,555.4,1531.8,0.0048962005483745,0.0048723445722081,38.8,0.078845763056289,41.8,0.084942084942085,0.45796082474227,2.4130434782609,7.8958762886598,0.12903881324934,3.1127819548872,18.1305,0.41166676102048,492.1,0.079297254231185,0.06112161310649,95.3,27.38,7.5,108601,500.7,51.2,29.91796875,500.7,0.7,2.3965436711817
"5",2007-12-31,52.6,0.48,0.199,0.011615301223478,638.2,812.7,14.8,98.9,0.071963908899076,0.20073066774914,0.12169312169312,0.0956,0.60301507537688,26.488372093023,15.9,0.012314896107697,16.832,67.2,44.9568,83.1,0.331,NA,1275.4,2.3324798829554,2.5943856794142,18.979166666667,15.347773766546,2.5885934645829,NA,0.01,45.9612,1374.3,0.24781592223453,0.79,32.417721518987,-0.01,0.0766,0.2400354295837,NA,0.3051,0.32275132275132,546.8,1366.8,0.0054872695346795,0.0054573237284436,51.6,0.10472904404303,42.8,0.086868276841892,0.3262015503876,2.1416483860859,NA,0.13639131317232,2.7741018875583,-1.0044,-0.022342446425767,492.7,0.082217995610827,0.080852397367596,97.8,25.61,7.5,101641,491.6,41.5,32.934939759036,491.6,0.75,2.1283877961902
"6",2006-12-31,55.4,0.85,0.1723,0.011751801942965,630.7,791.6,39.2,79.3,0.055543881767878,0.15987903225806,0.10017685699848,0.7684,0.78932095182821,21.550834597876,15.8,0.012482748908604,17.728,87.2,60.6886,103,0.30403,NA,1348.4,2.4125961710503,2.761417161581,15.463302752294,13.091262135922,2.7185483870968,0.035,0.035,36.5201,1427.7,0.25631632137443,1.16,21.905172413793,NA,0.0341,0.16233731455198,NA,0.3002,0.33249115715008,558.9,1420.2,0.0052809463455851,0.0052532044547174,65.9,0.13286290322581,49.5,0.099798387096774,0.26901365705615,2.2517837323609,6.1573813136787,0.1758064516129,2.8633064516129,24.1684,0.39823713106645,496,0.10858576489533,0.10448707785001,99.2,25.41,7.5,148685,488.3,55.1,25.774954627949,488.3,0.85,2.2370730178627
"7",2005-12-31,54.7,1.1,0.1745,0.060130917947937,617.4,813.7,14.7,146.2,0.08042246548215,0.29977445150707,0.17967309819344,-0.3776,0.68767908309456,27.109756097561,14.7,0.009842555105713,17.504,92.5,62.8732,107.2,0.32029,NA,1671.7,3.273350303505,3.3595257234727,18.072432432432,15.59421641791,3.4277219602214,0.04,0.045,63.2507,1817.9,0.21973700380976,1.32,24.772727272727,-0.005,0.1779,0.12890365448505,NA,0.2644,0.32346073491459,510.7,1778.4,0.022210976158345,0.021728367897024,65.6,0.13450891941768,18.6,0.038138199712938,0.26682926829268,2.8804664723032,6.7774390243902,0.1896657781423,3.6465039983597,-0.3776,-0.0060052347787127,487.7,0.12311175837086,0.10625202461937,96,32.7,39.5,109900,497.6,64.7,27.48686244204,497.6,0.75,2.7673922971533
"8",2004-12-31,53.8,0.71,0.1802,0.023630136986301,NA,811.8,17.9,89.4,0.056191074795726,0.2041095890411,0.11012564671101,1.1675,0.78801331853496,24.566978193146,11.7,0.011099549080819,17.216,89.8802,60.9154,101.5802,0.32226,NA,1501.6,3.0359886777194,3.4283105022831,16.706686613222,14.782411293227,3.5743870507022,0.045,0.05,53.5479,1591,0.22025129342203,1.38,20.891304347826,0.01,0.0799,0.084741419350706,0.78,0.2316,0.32926829268293,494.6,1577.2,0.0087496829825006,0.0086737900691389,64.2,0.15282075696263,27.4,0.065222566055701,0.26816199376947,2.7660470010523,5.4593284873659,0.21394948821709,3.754344203761,7.3675,0.12094617708582,420.1,0.12316092436959,0.11259207295686,85.7,28.83,13.8,96500,438,64.2,24.566978193146,438,0.65,2.7243150684932
"9",2003-12-31,52.8,0.69,0.2159,0.013784230839919,NA,665.3,12.1,171,0.09452736318408,0.43062200956938,NA,0.1109,0.63918480778138,27.715384615385,11.4,0.0081775700934579,14.784,103.7513,68.867,115.1513,0.33623,NA,1638,4.390243902439,4.1249055653488,15.787747898003,14.224758478712,4.1711229946524,0.08,0.07,68.0561,1809,0.19419810611754,1.37,24.992700729927,0.035,0.0231,0.13818722139673,0.75,0.2136,0.17661205471216,373.1,1801.5,0.0041631973355537,0.0041459369817579,65,0.16552075375605,9.9,0.025210084033614,0.22744615384615,3.3572493477451,3.4644230769231,0.2642,4.5874713521772,0.8109,0.011775219660861,392.7,0.18458061364728,0.12113306000745,77.8,34.24,7.5,23900,397.1,65.6,27.461890243902,397.1,0.6,3.3247564785885
"10",2002-12-31,52.5,0.61,0.2478,0.014039685511045,NA,646.1,10.3,146.2,0.078818265135587,0.37182095625636,NA,26.5,0.5415,27.822289156626,12.4,0.0079571289379669,14.7,96.6,63.6922,109,0.34066,NA,1708.7,NA,NA,17.688405797101,15.676146788991,4.3456256358087,0.045,0.03,65.7922,1854.9,0.19950472063148,1.31,27.36641221374,NA,-0.054,0.16590654441586,NA,0.2233,0.181860393128,388,1847.4,0.004059759662228,0.0040433446546984,66.4,0.16887080366226,15.6,0.039674465920651,0.22138554216868,3.5074995253465,6.1827309236948,0.24567650050865,4.6983723296033,-2.1,-0.032971047463801,393.2,0.16415526804124,0.12606797038162,75.8,35.85,7.5,59710,391.3,NA,NA,391.3,0.6,4.4038659793814
