"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-09-29,370,0.54,0.2894,0.2784,5657,11071,643,716,0.0779,0.0222,0.0647,55.2,0.47,9.35,506,0.0106,74,1285,877.01,1791,0.3175,0.3017,8476.8,1.19,0.25,6.6,4.73,0.26,0.125,0.065,684.81,9192.8,0.3453,1.3,14.92,0.165,0.01,0.199,0.0229,0.8509,0.1844,7123,7010.8,0.3112,0.2374,750,0.0232,1760,0.0545,0.107,1.24,0.75,0.0398,0.22,192.2,0.2192,32266,0.1231,0.1326,914,19.4,2182,2911633,33278,691.5,10.14,33278,1,1.17
"2",2011-09-29,377,0.7,0.339,0.32926512594131,5166,10752,550,978,0.094432535774289,0.034400281392895,0.090959821428571,201.8521,0.77433628318584,10.02641025641,497,0.0077,60.2186,1556,989.476,2053,0.36409,0.35162094763092,9378.6,1.3947947650208,0.29066509638629,6.0273778920308,4.568241597662,0.32988392543088,0.23,0.055,734.6238,10356.6,0.34170386904762,1.95,10.584615384615,-0.05,0.0618,0.14893617021277,0.039,0.8835,0.19149925595238,6724,7820.6,0.32427179500294,0.24486800687484,780,0.027435807245867,1496,0.052620471333099,0.077203358974359,1.5138598528842,0.43593088071349,0.054730918044319,0.27508265916286,254.8521,0.25756272849091,28430,0.14715585365854,0.15098722415796,929,20.64,2536,3981836,32266,748,10.455347593583,32266,1.05,1.3446637237081
"3",2010-09-29,376,1.23,0.4366,0.44939271255061,4352,10595,368,1144,0.11200313295477,0.042840023966447,0.1079754601227,94.1725,0.60123683005039,277.58333333333,496,0.0091,60.6242,362,212.9429,858,0.41176,0.29411764705882,9070,1.3417159763314,0.31902919451284,25.055248618784,10.571095571096,0.339649490713,0.41,0.03,246.7704,10214,0.3375176970269,2.15,8.0093023255814,-0.2,-0.0032,0.25733496332518,0.044,0.8745,0.19858423784804,6760,6662,0.53317322125488,0.34775797924418,24,0.00089874176153385,1457,0.054561114439784,2.5260083333333,1.5307904411765,6.770325203252,0.013556021569802,0.24947573397244,-33.8275,-0.15885723193437,26704,0.031500426035503,0.0055147058823529,841,17.22,3552,4630084,28430,806,8.2655086848635,28430,1.05,1.2922570850202
"4",2009-09-29,377,1.26,0.4233,0.3661188369153,5014,10850,425,250,0.033123989718314,0.0093068274886457,0.023041474654378,-11.8579,0.41578077013938,54.086046511628,493,0.013,60.4682,331,184.8436,824,0.44156,NA,7297.4,0.95266318537859,0.27326992210905,22.046525679758,8.856067961165,0.27166257166257,0.43,0.015,264.7016,7547.4,0.32433179723502,0.7,17.528571428571,-0.23,-0.057,0.30974264705882,0.033,0.8198,0.24322580645161,7660,4651.4,0.6226082469794,0.38370829689695,86,0.0032015486560941,2016,0.075050256868439,0.70311860465116,0.92768248903071,1.2578150351541,0.012322239594967,0.17315910952275,-79.8579,-0.4320296905277,26862,0.024131023498695,0.01715197447148,879,12.27,2896,4613565,26704,16,290.7125,26704,1.1,0.9541592920354
"5",2008-09-29,356,1.45,0.3581,0.37003994673768,4731,10227,285,42,0.0074411353046436,0.0015613382899628,0.0041067761806982,-30.9341,0.40212231220329,10.691417910448,514,0.019879244756221,56.96,616,402.6546,1130,0.34634,NA,5602.3,0.75017407605785,0.20425477614117,9.0946428571429,4.9577876106195,0.20826394052045,0.27,0.025,662.5887,5644.3,0.36110296274567,0.65,13.476923076923,-0.085,0.0495,0.63179916317992,0.033,0.7122,0.25530458590007,7468,2865.3,0.9698809897742,0.49235511932392,268,0.0099628252788104,1576,0.058587360594796,0.21253731343284,0.60564362714014,0.39597844112769,0.022899628252788,0.10651672862453,-259.9341,-0.64555118013329,26900,0.053917321906802,0.056647643204396,817,8.76,2779,3554197,27428,91,31.486813186813,27428,0.9,0.75157123834887
"6",2007-09-29,355,0.43,0.2558,0.4726214514788,4440,11121,531,798,0.084259875194019,0.03122187879025,0.071756137038036,-80.5366,0.62548866301798,NA,517,0.010342881075077,56.8,-7,-7,510,0,NA,8672.7,1.1380002624328,0.32240520446097,NA,17.005294117647,0.33932078719825,0.21,0.03,59.5366,9470.7,0.35473428648503,0.85,16.364705882353,-0.035,-0.0175,0.28609201480698,0.04,0.6857,0.23810808380541,7621,5491.7,0.72454795418541,0.42013789899374,-131,-0.0051253961422591,1535,0.060057122735631,NA,1.2368693693694,NA,-0.00027387612973903,0.21486364881255,-66.5366,NA,25559,-0.0009185146306259,-0.029504504504505,935,13.91,3979,3280082,26900,268,20.491417910448,26900,1,1.1249198242072
"7",2006-09-29,355,0.56,0.2774,0.39165685889891,4652,10504,571,40,0.0045076517388267,0.0015376335819174,0.0038080731150038,24.7317,0.40374909877433,16.33,501,0.0096618357487923,56.8,812,546.3948,1313,0.3271,NA,8833.8,1.1612725121598,0.34562385069838,10.879064039409,6.7279512566641,0.33957868839855,0.06,0.025,451.6631,8873.8,0.38147372429551,0.6,27.416666666667,0.06,-0.0217,0.15975935828877,0.038,0.5972,0.25171363290175,7607,5878.8,0.50945771245833,0.33751042394465,360,0.013838702237257,1414,0.054355347120781,0.15777777777778,1.2637145313844,2.7216666666667,0.031213961712924,0.22598600753441,94.7317,0.17337588670309,26014,0.071827895359537,0.077386070507309,928,16.45,2995,1159200,25559,-156.3,NA,25559,0.7,1.1604289263764
"8",2005-09-29,353,0.87,0.3417,0.43924745231252,NA,10464,486,33,0.0034776010875407,0.0012685477050819,0.0031536697247706,-24.9343,0.50921861281826,13.407658643326,490,0.0093403385872738,56.48,1011.8488,641.3502,1501.8488,0.36616,NA,9456.3,1.2408214145125,0.36350811101714,9.3455662545629,6.296439428523,0.35763775954011,0.095,0.04,670.2845,9489.3,0.37882262996942,1.3,13.176923076923,0.05,0.076,0.22863313792039,0.038,0.4868,0.25869648318043,7621,6127.3,0.5486919197689,0.3542937835246,457,0.017283763851594,1544,0.058394160583942,0.1235886214442,1.4276095060578,1.4113324887712,0.038268174426081,0.23173480579403,-28.9343,-0.045114673093931,26441,0.084155654558719,0.10647716682199,880,17.13,3362,867400,26014,457,13.407658643326,26014,0.65,1.2397831199373
"9",2004-09-29,352.6,0.55,0.3586,0.47684572638264,NA,10486,402,25,0.0025203137286529,0.00096659449427776,NA,72.9038,0.30674846625767,22.474733096085,458,0.0087960417811985,56.416,1202.901,782.439,1660.901,0.34954,NA,9894.4,1.3134740475242,0.38255490256727,8.225448312039,5.9572485054799,0.40304696728991,0.155,0.075,765.5352,9919.4,0.38518024032043,1.3,13.992307692308,0.065,0.0517,0.26178476134005,0.044,0.4669,0.27026511539195,7533,6315.4,0.57066852455901,0.36332842712261,281,0.011446494765571,1361,0.055440140127907,0.20076868327402,1.5972180070814,1.4499827803926,0.049,0.25725691474195,16.9038,0.021603964786934,24549,0.10386817794504,0.07106727364694,998,18.19,3604,728300,25864,0,NA,25864,0.7,1.3124371526859
"10",2003-09-29,353,0.65,0.3911,0.52124460713819,NA,10372,433,51,0.0057432432432432,0.0021825651559892,NA,304,0.364,12.676165803109,467,0.011543020641733,56.48,910,591.3453,1377,0.35017,NA,8829,NA,NA,9.7021978021978,6.4117647058823,0.37784054435743,0.165,0.115,625.3453,8880,0.3893173929811,1.15,11.217391304348,NA,1.1489,0.35123042505593,0.049,0.4043,0.25385653682993,7598,4893,0.81483752299203,0.44898648648649,386,0.016519022553173,1254,0.053665425600205,0.14632124352332,1.3361551064992,0.76825247291568,0.038943809646082,0.20939786878932,-34,-0.05749601797799,23367,0.077829073440379,0.10540688148553,877,12.9,3987,1239910,23738,386,12.676165803109,23738,0.75,1.1620163200842
