"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,140.8,1.96,0.4778,0.3168,3668,9892,298,900,0.1158,0.0297,0.091,29.26,0.8,11.12,417,0.0139,84.48,1041,628.05,1458,0.3967,0.3967,6875,1.54,0.21,6.6,4.72,0.23,0.4,0.1,717.79,7775,0.5204,4.29,10.27,NA,0.07,0.3723,0.0409,0.8743,0.0228,4469,6074,0.28,0.2188,546,0.018,420,0.0139,0.1427,1.66,0.28,0.0344,0.2,-89.74,-0.1429,30303,0.1405,0.1489,237,44.05,1701,2166028,32414,592,10.26,32414,1.3,1.45
"2",2010-12-31,143.2,1.04,0.531,0.38291746641075,3215,8732,297,648,0.12145748987854,0.031482291211194,0.074209803023362,-23.3824,0.58851224105461,NA,422,0,0,-64,-64,358,0,NA,4687.2,1.0274441034634,0.16678646407857,NA,13.092737430168,0.22772190642763,0.635,0.065,84.3824,5335.2,0.59207512597343,2.5,9.344,NA,0.1946,0.25892857142857,0.042,0.9677,0.028172240036647,4562,3340.2,0.59726962457338,0.37393162393162,-29,-0.0014089296992664,-64,-0.0031093620949327,NA,1.0389424572317,NA,-0.0031093620949327,0.16227955108585,-148.3824,NA,20583,-0.014028934677773,-0.0090202177293935,242,23.36,1995,5303871,28103,673,4.9631500742942,28103,1.25,1.0240307101727
"3",2009-12-31,140.2,1.19,0.5922,0.37357954545455,3087,8070,437,413,0.092571838436365,0.024478425794215,0.051177199504337,-10.8419,0.52769334684228,NA,426,0,0,17,17,443,0,NA,4048.4,0.89665559246955,0.20964217285485,238.14117647059,9.1386004514673,0.23994784257942,0.16,0.035,16.8419,4461.4,0.64312267657993,1.1,16.854545454546,0.16,-0.4118,0.28201587849499,0.0409,0.8885,0.044114002478315,4515,2620.4,0.70256449397039,0.41265073743668,-140,-0.0082977714556662,-75,-0.0044452347083926,NA,0.84885001619695,NA,0.0010075865339023,0.15531057373163,0.1581,0.0092983850723789,16872,0.003765227021041,-0.045351473922903,221,18.54,1841,4263055,19311,-213.6,NA,19311,1.25,0.90531655844156
"4",2008-12-31,138.4,1.24,0.6235,0.33360944294885,3218,7433,650,20,0.0057882094174167,0.00070648910240559,0.0026907036189964,-77.8148,0.33360064153969,6.6341726618705,401,0.015,27.6645,513,332.4343,914,0.35198,NA,3435.3,0.71434809731753,0.20783471474378,6.6964912280702,3.758533916849,0.1213501006747,0.005,0.04,161.2491,3455.3,0.68357325440603,0.17,79.705882352941,0.66,0.2793,0.28676964405641,0.045,0.9033,0.046818242970537,4809,1844.3,0.87350214173399,0.46624026857292,278,0.0098201985234378,187,0.0066056731074923,0.099512589928058,0.57311995027968,13.268345323741,0.018121445476703,0.065148892578332,171.1852,0.51494443079886,28309,0.069127523393637,0.0863890615289,325,13.55,1611,6347400,16529,138.6,13.306637806638,16529,1.3,0.71553116587285
"5",2007-12-31,137,2.05,0.5403,0.35215453194651,3052,8128,747,23,0.0069526314198482,0.0010495094684006,0.0028297244094488,-33.36,0.47381084582639,2.9136042402827,357,0.033230246801286,54.8,987,617.2797,1344,0.37459,NA,3285.1,0.70074658703072,0.10765172368593,3.3283687943262,2.4442708333333,0.14990189368013,-0.02,0.05,260.6397,3308.1,0.5880905511811,2.29,5.7510917030568,0.705,0.2347,0.76057091882248,0.056,0.7565,0.045029527559055,4688,1649.1,1.0060032745134,0.50149632719688,566,0.025827059091946,85,0.0038786219484371,0.096819787985866,0.54033420707733,NA,0.045037645448323,0.075249828884326,356.64,0.5777607621866,21915,0.13167228455631,0.18545216251638,263,13.17,1659,5798286,30516,101.2,16.295454545455,30516,1.6,0.70220759923583
"6",2006-12-31,139.8,1.55,0.4267,0.29481397970688,2502,5904,436,986,0.12888551933283,0.054463102076889,0.1670054200542,-12.1885,0.412467775955,8.2449438202247,246,0.0084673389661125,55.92,1317,820.3066,1563,0.37714,NA,6664.2,2.6011709601873,0.34348005360272,5.0601366742597,4.2637236084453,0.36810649580203,0.07,0.045,642.4951,7650.2,0.45511517615176,4.05,10.753086419753,0.405,0.0826,0.35419980501822,0.053,0.9117,0.035060975609756,2562,6604.2,0.15838405862936,0.13672845154375,801,0.044244365885992,170,0.0093901900132567,0.069812734082397,2.6395683453237,1.177849117175,0.072746354396818,0.36479231109147,177.8115,0.21676228013714,18104,0.32018213114754,0.32014388489209,513,43.55,1046,4013639,19402,764,8.6442408376963,19402,1.1,2.1562006764374
"7",2005-12-31,69.3,0.81,0.3773,0.35685071574642,1887,5097,258,440,0.079215050859663,0.026536397080996,0.086325289385913,-31.0107,0.65730188179168,7.8802447552447,186,0.0061497504159734,27.72,1134,691.5245,1320,0.39019,NA,5114.5,2.0507217321572,0.27729885057471,4.5101410934744,3.8746212121212,0.3084554610699,NA,NA,650.5352,5554.5,0.48401020207966,6.46,10.181114551084,0.37,0.2968,0.18381502890173,0.054,0.8017,0.040808318618795,2494,4507.5,0.23227953410982,0.1884958142047,572,0.034497316205295,276,0.016645558168989,0.048461538461539,2.3887122416534,NA,0.068391532476931,0.2718472950968,40.9893,0.059273854737207,16581,0.27727527666399,0.30312665606783,179,65.77,1047,897400,18444,768.6,5.8645589383294,18444,1.55,1.8931492842536
"8",2004-12-31,66.5,1.49,0.4917,0.47862811345957,NA,4075.1,179.4,184.8,0.033770695515515,0.011838413345121,0.045348580402935,59.8764,0.60606060606061,12.252016129032,154.1,0.0065061808718282,26.6,712.8375,427.6027,866.9375,0.40014,NA,5287.4,2.239854274337,0.33871443030839,7.4173983598002,6.0989399536211,0.43119505472101,0.17,0.045,342.4263,5472.2,0.56528674142966,7.46,8.2412868632708,0.14,0.3507,0.43539522334366,0.05,0.773,0.052980294962087,2360.6,4253.9,0.28639601307036,0.22263440663718,347.2,0.028314658054835,219.3,0.017884229583598,0.076612903225806,3.2054102931203,0.72070683111955,0.058132923945132,0.34691164717587,85.1764,0.19919517654714,12262.2,0.18114154314344,0.2616230879361,152.3,61.48,1218.3,1170300,15610.2,324.5,13.109090909091,15610.2,1.45,2.1498389251198
"9",2003-12-31,64.8,2.29,0.6685,0.62497086473468,NA,3661.3,101.1,77.2,0.020841769930617,0.007027061468583,NA,63.7109,0.68511593118923,18.927732610659,148.2,0,0,499.7821,302.1632,647.9821,0.39541,NA,3626.9,1.4525030036043,0.33013535285497,7.256963310307,5.5972229477653,0.41001842703234,0.315,0.01,285.5524,3704.1,0.61494551115724,2.95,10.301694915254,-0.095,0.2397,0.46977730646872,0.065,0.8237,0.062081774233196,2497,2095.3,0.76781367823223,0.43432952674064,110.7,0.012514555094566,263.3,0.029765874944888,0,2.1703956909053,0.60088040033839,0.0565,0.23687215257131,16.6109,0.054973196948902,8845.7,0.12101050444914,0.11466749533872,138,30.39,1608.8,539600,10986.1,140.7,14.89196872779,10986.1,1.35,1.4389324838785
"10",2002-12-31,64.6,1.53,0.6761,0.69011625877178,NA,3758.8,203.5,109.8,0.037751418256833,0.015423514538559,NA,-89.4,0.4968,NA,130.7,0,0,-10.3,-10.3,120.4,0,NA,2798.7,NA,NA,NA,23.245016611296,0.39313105773283,0.075,-0.035,-83.1,2908.5,0.61280195807172,1.46,9.9315068493151,NA,-0.1254,0.62022471910112,0.065,0.7121,0.064302436947962,2754.5,931.8,2.1213779781069,0.67962867457452,-117,-0.016434892541087,406.1,0.057044528725945,NA,1.0497972059486,NA,-0.0014468324202837,0.13088916982722,72.8,NA,7119,-0.0037393356326012,-0.13181613339342,133.2,14.5,1976.7,797920,8734,NA,NA,8734,1.3,1.0160464694137
