"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,51.8,1.74,0.4302,0,670.7,716.5,5.9,492.4,0.5802,1.934,0.6872,0.73,0.8,58.13,27.4,0.0244,20.72,72,28.68,99,0.6,0.6377,356.3,2,1.5,4.97,3.6,1.4,0.025,0.08,49.45,848.7,0.0507,-0.18,NA,-0.02,0.155,0.2328,0.026,0.9187,0.1972,178.3,848.7,0,0,14.6,0.0573,-10.9,-0.0428,NA,1.27,23.25,0.2816,3.33,-20.77,-0.7243,254.6,0.1609,0.0218,132,16.45,0,234447,237.6,-7,NA,237.6,1.25,1.27
"2",2010-12-31,51,1.75,0.6206,0,664.6,711.9,9.8,475,0.54995947667014,1.5759787657598,0.66722854333474,0.4695,0.50354495649372,15.073298429319,26.2,0,0,126.2,69.9741,152.4,0.44553,0.4458413926499,388.7,2.0501054852321,1.3971962616822,3.0800316957211,2.5505249343832,1.2896483078965,0.115,0.04,85.9046,863.7,0.059137519314511,1.03,16.26213592233,0.04,-0.017,0.35120955989507,0.04,0.8898,0.1960949571569,189.6,863.7,0,0,57.3,0.19011280690113,-6.1,-0.020238885202389,0,1.2995786939512,1.3107216025495,0.41871267418713,2.8656270736563,-15.9305,-0.22766215894216,301.4,0.36906178270042,0.086217273547999,127.2,16.75,0,493424,278.2,44.2,19.5407239819,278.2,1.25,1.2995786939512
"3",2009-12-31,49.8,1.45,0.6827,0,572.2,616.3,15.3,388,0.36009280742459,1.2959251837007,0.62956352425767,0.6144,0.45774132122455,15.436962750716,21.6,0,0,143.7,81.4362,165.3,0.43329,0.43344155844156,689.5,3.743213897937,2.4846846846847,4.7981906750174,4.1712038717483,2.3029392117569,0.205,0.115,87.1218,1077.5,0.068959922115853,1.2,18.458333333333,0.075,0.1731,0.25958921059144,0.0409,0.8971,0.19941586889502,184.2,1077.5,0,0,69.8,0.23313293253173,-8.4,-0.028056112224449,0,1.8830828381685,0.75302257320568,0.47995991983968,3.5988643954576,-5.6856,-0.069816239672849,299.4,0.44210763843648,0.12198531981824,117.1,22.15,0,381646,277.5,50.2,21.464143426295,277.5,1.25,1.8830828381685
"4",2008-12-31,48.5,1.23,0.6477,0,446.9,501.6,14.2,276.5,0.23186582809224,1.1135722915828,0.5512360446571,-3.9313,0.32113632854717,259.23913043478,18.8,0,0,100.4,40.16,119.2,0.6,NA,916,5.3755868544601,2.9349567446331,9.1235059760956,7.6845637583893,3.6890857833266,0.22,0.155,48.6913,1192.5,0.073763955342903,1.14,20.412280701754,0.275,0.2707,0.5210401891253,0.044,0.8779,0.22288676236045,170.4,1192.5,0,0,4.6,0.01852597664116,-15.3,-0.061619009262988,0,2.668382188409,11.783596837945,0.40434957712445,4.8026580749094,-8.5313,-0.2124325894168,248.3,0.23568075117371,0.01029313045424,112.3,23.27,0,875661,312.1,71.1,16.772151898734,312.1,1.3,2.668382188409
"5",2007-12-31,48.6,1.05,0.4563,0,418.3,444.4,11.4,289.7,0.52942251461988,1.4803270311702,0.6518901890189,-1.0631,0.54350208196362,12.133037694013,13.6,0,0,66.2,38.2696,79.8,0.42191,NA,257.5,2.00233281493,1.1089577950043,3.8897280966767,3.2268170426065,1.3157894736842,0.145,0.175,41.5327,547.2,0.066156615661566,1,11.88,0.405,-0.0884,0.68742964352721,0.039,0.8832,0.1953195319532,128.6,547.2,0,0,45.1,0.230454777721,5.7,0.029126213592233,0,1.3081520439876,0.83676122027678,0.3382728666326,2.7961165048544,-3.2631,-0.085266383168484,195.7,0.29758598755832,0.10781735596462,111.8,11.88,0,613184,232.2,9.9,55.272727272727,232.2,1.55,1.3081520439876
"6",2006-12-31,47.2,1.73,0.3546,0,305.9,321.3,3,194.1,0.097278604721095,0.93004312410158,0.60410830999066,0.8403,0.67681895093063,32.49674267101,7.2,0,0,99,57.5744,106.2,0.41844,NA,1801.2,16.11091234347,9.3374805598756,18.193939393939,16.960451977401,8.6305701964542,0.155,0.19,60.9341,1995.3,0.076875194522253,1.28,29.71875,NA,1.1062,0.19388017485215,0.04,0.9831,0.19607843137255,111.8,1995.3,0,0,61.4,0.29420220412075,11.1,0.053186391950168,0,6.522719843086,2.0965640432909,0.47436511739339,9.5606133205558,-3.3597,-0.058353238124198,208.7,0.5149771019678,0.20071918927754,90.4,38.04,0,429842,192.9,46,43.376086956522,192.9,1.5,6.522719843086
"7",2005-12-31,45.1,2.63,0.4091,0,180,190.1,4.1,127.6,0.066767830045524,1.3474128827878,0.67122567069963,0.1324,0.68442923490589,60.863057324841,1.7,0,0,45.5,29.1264,47.2,0.35986,NA,1783.5,34.036259541985,18.106598984772,39.197802197802,37.786016949152,18.833157338965,0.21,0.26,26.594,1911.1,0.046291425565492,1.33,30.330827067669,NA,0.2159,0.25015253203173,0.05,NA,0.19410836401894,52.4,1911.1,0,0,31.4,0.33157338965153,-3.3,-0.034846884899683,0,10.617222222222,2.8982408249924,0.480464625132,20.180570221753,2.5324,0.086945890017149,94.7,0.55584675572519,0.17444444444444,35.8,40.34,0,353902,98.5,54.4,35.130514705882,98.5,1.75,10.617222222222
"8",2004-12-31,42.1,0,0,0,NA,139.7,1.8,108.3,0.091315345699831,1.1733477789816,0.77523264137437,4.071,NA,20.067681895093,1,0,0,35.8153,35.8153,36.8153,0,NA,1077.7,40.36329588015,11.676056338028,30.090508855438,29.27317135711,14.823933975241,0.295,0.355,30.9443,1186,0.017895490336435,1.15,22.478260869565,NA,0.8129,0.3040293040293,0.069,0.9019,0,26.7,1186,0,0,59.1,0.81292984869326,15.1,0.20770288858322,0,8.7851851851852,0.68026040322349,0.49264484181568,16.313617606602,4.871,0.13600275123442,72.7,1.3413962546817,0.43777777777778,27.3,25.85,0,325026,92.3,66.9,17.727952167414,92.3,2.1,8.7851851851852
"9",2003-12-31,39.2,0,0,0,NA,70.1,1.5,64.4,0.042415859843246,NA,NA,0.2,NA,161.52127659575,0.9,0,0,12.7827,10.89,13.6827,0.14807,NA,1453.9,908.6875,NA,113.739574785,106.25819008077,38.97855227882,0.3,NA,10.09,1518.3,0.024251069900143,0.73,49.315068493151,NA,0.2745,0.43629482789692,NA,0.7736,0,1.6,1518.3,0,0,9.4,0.25201072386059,-0.2,-0.0053619302949062,0,23.004545454546,5.3840425531915,0.3427,40.70509383378,0.8,0.073462066156255,37.3,6.8062338314375,0.14242424242424,18.7,36,0,271234,NA,0,NA,0,0,23.004545454546
"10",2002-12-31,0,0,0,NA,NA,0,0,0,NA,NA,NA,0,0,NA,0,NA,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0.20424403183024,NA,NA,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,18.6,0,NA,0,NA,NA,0,NA,NA
