"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,42.2,2.78,0.6188,0.4537,396.9,1010.3,35.7,129.2,0.1038,0.0869,0.1279,44.32,0.8,12.17,44.9,9e-04,0.84,142,95.26,187,0.3291,0.3286,1115.7,1.87,0.64,7.86,5.97,0.75,0.41,0.135,60.15,1244.9,0.3313,2.57,8.45,-0.035,0.025,0.2796,0.052,0.9589,0,597.3,915.3,0.3601,0.2648,75.2,0.0506,271.3,0.1824,0.0076,2.31,0.3,0.0955,0.62,35.12,0.3686,1487,0.1595,0.1895,90.1,21.72,329.6,1183932,1729.9,111.1,8.24,1729.9,1.85,1.71
"2",2010-12-31,35.4,2.39,0.669,0.57309403282712,278.3,787.5,28.9,239.5,0.20217795036299,0.27166515426497,0.30412698412698,77.0407,0.69133034379671,49.754601226994,37.6,0.001,0.811,50,50,87.6,0,0,945.1,2.2917070805044,0.71777929672666,18.902,10.788812785388,1.0720281306715,0.38,0.115,-18.3407,1184.6,0.31504761904762,2.03,9.5862068965517,0.31,0.208,0.415634151836,0.061,NA,0,412.4,811,0.46066584463625,0.31538071923012,16.3,0.018489110707804,156.1,0.17706442831216,0.049754601226994,2.9141214516709,1.3093316112367,0.056715063520871,0.91991833030853,68.3407,1.3668146551724,881.6,0.12124151309408,0.058569888609414,63.9,19.46,373.6,895667,1316.7,63.9,12.691705790297,1316.7,1.85,1.8171498696119
"3",2009-12-31,35.3,1.97,0.6872,0.58300175075601,262,736.5,39.5,229.2,0.2158395329127,0.31500824628917,0.3112016293279,13.6047,0.636641443539,NA,34.3,0.001,0.6956,0.4,0.4,34.7,0,NA,832.7,2.0864445001253,1.0468946442042,2081.75,23.99711815562,1.1444474986256,0.42,0.065,-18.4047,1061.9,0.34555329260014,0.66,29.606060606061,NA,-0.3027,0.47056645686783,0.063,NA,0,399.1,695.6,0.52659574468085,0.34494773519164,-12.8,-0.017592083562397,146,0.20065970313359,NA,2.6549618320611,NA,0.00054975261132491,0.95601979109401,18.8047,47.011819681143,727.6,0.0010022550739163,-0.048854961832061,55.6,19.54,366.3,651721,795.4,-2.2,NA,795.4,1.75,1.6901161865351
"4",2008-12-31,35,1.89,0.6155,0.44625148750496,279.2,654.8,80,61.7,0.12167225399329,0.059515771197068,0.094227244960293,-37.2261,0.44191714053615,7.4041994750656,30.4,0.0025,0.7052,82.5,51.7382,112.9,0.37287,NA,445.4,1.0065536723164,0.53042753364297,5.3987878787879,3.9450841452613,0.42963248770136,0.195,0.025,39.3643,507.1,0.37935247403787,0.35,23.171428571429,NA,0.2086,0.58040027605245,0.064,0.9479,0.017868051313378,442.5,282.1,0.79758950726693,0.44369946756064,38.1,0.036751229863991,195.9,0.18896498504871,0.018510498687664,1.0103868194842,0.37970253718285,0.079579434744863,0.27211343686698,12.3739,0.23916355741628,1036.7,0.11692254237288,0.13646131805158,57.2,8.11,225,555760,839.7,7.9,35.708860759494,839.7,1.7,1.0057516858389
"5",2007-12-31,34.2,2.07,0.4803,0.42328042328042,272.5,590.5,38,58.3,0.13368493464802,0.069653524492234,0.098729889923793,-31.6769,0.44971892567145,NA,28.6,0.0028970775095299,0.684,31,31,59.6,0,NA,377.8,0.91211974891357,0.38433367243133,12.187096774194,6.3389261744966,0.45137395459976,0.36,0.115,53.2769,436.1,0.33209144792549,1.33,6.203007518797,NA,-0.1036,0.87651271918992,0.08,NA,0.019813717188823,414.2,236.1,0.84709868699704,0.45861041045632,-7.2,-0.0086021505376344,181.6,0.21696535244922,NA,0.86642201834862,NA,0.037037037037037,0.2820788530466,-22.2769,-0.71861101476086,837,0.074843070980203,-0.026422018348624,53.1,8.25,200,254530,983,22.9,10.310043668122,983,1.35,0.92296296296296
"6",2006-12-31,19.9,1.12,0.2829,0.60885917258671,187.2,585.1,52.9,33.4,0.029334270156332,0.04915378955114,0.057084259101008,-37.1734,0.59384941675504,166.11764705882,26.9,0.00046978281397545,0.398,22,13.1989,48.9,0.40005,NA,1105.2,2.4824797843666,1.3854832643851,50.236363636364,22.601226993865,1.6264900662252,0.165,0.06,24.3723,1138.6,0.31550162365408,1.22,23.016393442623,NA,0.4165,0.2856102003643,0.139,0.9191,0.019996581780892,445.2,847.2,0.34395656279509,0.25592833304058,5.1,0.0075055187637969,213.7,0.31449595290655,0.078039215686275,4.525641025641,10.067736185383,0.032376747608536,1.2467991169978,-11.1734,-0.84654188103206,679.5,0.029647124887691,0.02724358974359,42.1,28.08,291.4,525950,797.7,-8,NA,797.7,1.05,2.3790221479315
"7",2005-12-31,19.5,2,0.6085,0.54685390224143,167.8,440.8,6.8,0.6,0.0010062049304042,0.0012763241863433,0.0013611615245009,-50.593,0.24979457682827,15.3828125,20.7,0.00099035043169121,0.39,27.3,27.3,48,0,NA,595.7,1.6113064647011,0.97575757575758,21.820512820513,12.410416666667,1.2671771963412,NA,NA,91.793,596.3,0.31851179673321,-0.07,NA,NA,-0.2292,0.12254901960784,NA,NA,0.026542649727768,369.7,393.8,0.51422041645505,0.3395941640114,25.6,0.054456498617316,169.4,0.36034886194427,0.015234375,2.3468414779499,NA,0.058072750478622,0.83769410763667,-64.493,-2.362380227728,470.1,0.073843657019205,0.15256257449345,32.3,20.15,202.5,89100,610.5,19.7,19.989847715736,610.5,0.95,1.6103159600324
"8",2004-12-31,16.3,1.33,0.9588,0.61380057803468,NA,354.2,4.3,1.1,0.0021585557299843,0.0022945348352107,0.0031055900621118,-6.972,0.27743012098456,25.162962962963,24.9,0.0011594202898551,0.326,36.3209,25.9517,61.2209,0.28549,NA,508.5,1.8443960826986,1.0607008760951,14.000188321117,8.3059815808121,0.99588719153937,NA,NA,53.5237,509.6,0.22755505364201,NA,NA,NA,0.3483,0.19264850672793,NA,0.8504,0.033032185206098,275.7,339.7,0.50014718869591,0.33339874411303,13.5,0.026439482961222,114.1,0.22346259302781,0.024148148148148,3.177736202058,NA,0.07113384253819,0.66529573051312,-27.572,-1.0624375140755,510.6,0.094130122739935,0.12628624883068,37.9,17.25,169.9,93400,479.4,15.3,22.202614379085,479.4,0.9,1.8410404624278
"9",2003-12-31,21.2,1.67,0.9771,0.70649895178197,NA,523.1,14.6,6.6,0.012825495530509,0.012566641279513,NA,13.5308,0.34182785794699,NA,32.3,0.002708192281652,0.848,16.0786,16.0786,48.3786,0,NA,508,1.3546666666667,0.96725057121097,31.594810241445,10.500512726808,1.0331502948953,NA,NA,20.2478,514.6,0.2647677308354,NA,NA,NA,0.042,0.75481611208406,NA,0.7062,0.035939590900401,375,245,1.1004081632653,0.52390205985231,-36.7,-0.074639007524914,198.6,0.4039048200122,NA,2.1875,NA,0.0327,0.49827130364043,-4.1692,-0.25930063081347,491.7,0.04287624,-0.32767857142857,45.9,14.77,269.6,159200,525.2,-9.8,NA,525.2,0.85,1.3485324947589
"10",2002-12-31,20.8,1.04,0.859,0.64329947981174,NA,532,9.8,22,0.068048252397154,0.047536732929991,NA,-31.3,0.2663,NA,33.6,0.0065408805031446,0.416,-14.1,-14.1,19.5,0,NA,301.3,NA,NA,NA,15.451282051282,0.65103716508211,NA,NA,9.7,323.3,0.35056390977444,NA,NA,NA,0.0068,0.66850828729282,NA,0.4856,0.033458646616541,381.7,63.6,4.0833333333333,0.80327868852459,-23.5,-0.050777873811582,158.8,0.34312878133103,NA,0.44166666666667,NA,-0.030466724286949,0.13742437337943,-23.8,NA,462.8,-0.036940005239717,-0.16319444444444,43.8,2.9,259.7,68101,479.7,-40.4,NA,479.7,0.7,0.78936337437778
