"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,150,1.08,0.2505,0.575,1005.7,2708.2,340.7,484.9,0.093,0.3547,0.179,-5.95,0.8,66.52,283.3,0,0,187,108.72,470,0.4173,0.4175,4727,2.51,3.27,25.33,10.06,3.46,0.275,0.08,57.27,5211.9,0.527,0.66,38.59,0.08,0.1903,0.0409,0.9066,0.1589,1881.3,3851.4,0.3532,0.261,57.9,0.0424,-105.7,-0.0773,0,3.83,2.42,0.1365,2.82,51.45,0.4732,1366.9,0.0578,0.0576,325.5,25.47,1360.5,1155098,1443.8,76,50.68,1443.8,1.3,2.2
"2",2010-12-31,150.6,1.05,0.3487,0.5773934686521,984.8,2669.2,321.8,475.6,0.11229959150905,0.37354696826893,0.17818072830811,-8.0777,0.8,44.661514683153,289.6,0,0,146.1,141.85,435.7,0.02909,0.029985007496252,3759.5,2.0270124548445,2.8051783315923,25.732375085558,8.628643562084,2.9527961043041,0.33,0.055,117.7276,4235.1,0.50824216993856,0.5,38.76,0.0483,0.1945677722643,0.0409,0.8994,0.16375693091563,1854.7,2889.6,0.4656353820598,0.31770206134448,64.7,0.050816839459629,-153.5,-0.12056236255105,0,2.9341998375305,1.3533792328228,0.11475023562677,2.2695570216777,24.1223,0.1700551994486,1273.2,0.076481345231035,0.065698619008936,308.5,19.38,1345.5,833571,1340.2,59,48.976271186441,1340.2,1.35,1.8174054842724
"3",2009-12-31,150.2,1.45,0.4777,0.64117647058824,732,2374.2,267,470.8,0.11929557836057,0.38864124153872,0.1982983741892,-6.1575,0.73267741260205,95.597826086957,296.2,0,0,113.9,103.5886,410.1,0.09053,0.089108910891089,3475.7,2.214950293143,2.7668364910046,30.515364354697,8.4752499390393,2.8691596499917,NA,0.055,138.9461,3946.5,0.54519417066802,0.5,34.1,0.0286,0.15504560164754,0.031,0.9454,0.18738943644175,1569.2,2638.5,0.49573621375782,0.33143291524135,27.6,0.022783556215948,-166.5,-0.13744427934621,0,3.6045081967213,NA,0.09402344394915,2.1780584447746,-35.3575,-0.34132609622052,1211.4,0.066013658552128,0.037704918032787,297.3,17.05,1308,884083,1256.2,56.3,46.865008880995,1256.2,1.4,1.9345588235294
"4",2008-12-31,147.8,1.48,0.4645,0.6969589277555,596.9,2287,274.5,352.2,0.089803411611719,0.30388265746333,0.15400087450809,-5.5198,0.4994617868676,299.89411764706,285.4,0,0,89.9,70.4924,375.3,0.21588,NA,3569.7,2.2069242658423,2.9792188282424,39.70745272525,9.5115907274181,3.0799827437446,NA,0.055,86.9122,3921.9,0.57144731088763,0.24,71.458333333333,0.0606,0.46412277063459,0.031,0.9493,0.19842588543944,1617.5,2549.1,0.53854301518183,0.35003442209133,8.5,0.0073339085418464,-163.2,-0.14081104400345,0,4.2705645836824,NA,0.077566867989646,2.1993960310613,-16.4198,-0.23293001401705,1159,0.043581074497682,0.01424024124644,292,17.15,1372.8,1642665,1198.2,18.6,137.04838709677,1198.2,1.45,1.991115398284
"5",2007-12-31,146.5,1.97,0.4816,0.708714888363,566.2,2264.7,257.9,321.5,0.12671948287415,0.29666881978407,0.14196140769197,10.1546,0.53156146179402,NA,279.5,0,0,37.5,37.5,317,0,NA,2215.6,1.3657153424151,1.9368825946324,59.082666666667,6.9892744479495,2.0444772538525,0.2559,NA,48.9454,2537.1,0.57177551110522,0.06,141.16666666667,0.3001,0.66269688820592,NA,NA,0.2047511811719,1622.3,1159.5,1.1880983182406,0.54298214496867,-40.3,-0.037187413490818,-182.8,-0.16868136938267,NA,2.0478629459555,NA,0.034603672603119,1.0699455568884,-11.4454,-0.30521017501769,1083.7,0.023115330086914,-0.071176262804663,296.6,8.47,1377.6,1785490,1143.9,-1.7,NA,1143.9,1.6,1.3052268751929
"6",2006-12-31,142.8,1.78,0.3954,0.71446287397303,552.6,2253.2,192.3,309.5,0.070300965360591,0.38096996553422,0.13736019882833,48.9926,0.52604957005564,NA,256.1,0,0,16.3,16.3,272.4,0,NA,4093,2.5175298314676,3.9242569511026,251.10429447853,15.025697503671,5.0381585425899,0.14,NA,31.1074,4402.5,0.57433871826735,0,NA,-0.0579,0.1756061719324,NA,NA,0.21085567193325,1625.8,3019.8,0.4578780051659,0.31407155025554,-74.9,-0.09219596258001,-172.6,-0.21245691777449,NA,5.4647122692725,NA,0.020064007877893,3.7171344165436,-14.8074,-0.90843158044181,812.4,0.010025833435847,-0.13554107853782,228.5,19.03,1382.7,1944135,1043,-59.8,NA,1043,1.3,2.2748411099054
"7",2005-12-31,117.4,1.65,0.5516,0.82542406441819,264.5,1792.5,161,393.5,0.10527864729647,0.55524199238042,0.21952580195258,12.2751,0.58013052936911,NA,238.2,0,0,13,13,251.2,0,NA,3344.2,2.9816333808845,4.4112913863606,257.24615384615,13.312898089172,4.718780866375,0.1325,NA,77.9249,3737.7,0.6844630404463,-0.53,NA,0.0705,0.38426379366634,NA,0.9529,0.014951185495119,1121.6,2487.1,0.50283462667364,0.33459079112823,-108.1,-0.1525328065472,-176.1,-0.24848313814026,NA,9.4030245746692,NA,0.018343445745732,3.5093833780161,-64.9249,-4.9942256135286,708.7,0.011590584878745,-0.40869565217391,193.1,19.93,1250.6,851803,758.1,-82.6,NA,758.1,2,2.4669658768398
"8",2004-12-31,115.8,3.67,1.392,0.77302509580912,NA,1905.6,167.8,432.5,0.1805167160566,0.62463893703062,0.22696263643997,-12.5825,0.52729885057471,NA,230.7,0,0,-17.2016,-17.2016,213.4984,0,NA,1963.4,1.6564582806041,2.8356441363374,NA,9.196322276716,3.0062777522585,0.12,NA,58.2809,2395.9,0.68382661628883,-0.92,NA,-0.029,0.50337584396099,NA,0.342,0.014063811922754,1185.3,1145.3,1.0919409761634,0.52197504069452,-133,-0.20364415862808,-209.1,-0.32016536518144,NA,3.119008714597,NA,-0.026338401469913,1.7536365028326,-75.4825,4.3881066279046,653.1,-0.01451245254366,-0.36220043572985,178.3,9.85,1250.6,728307,692.4,-121.9,NA,692.4,2.25,1.4809617999753
"9",2003-12-31,115.3,4.3,1.5165,0.70746900158665,NA,2005.9,129.7,478.6,0.27857974388824,0.73135696821516,NA,5.0349,0.56709528519618,NA,223.9,0,0,232.3512,232.3512,456.2512,0,NA,1239.4,1.0133267925762,1.8939486552567,5.3341665547671,2.7164860059546,1.8509557945042,0.1392,NA,321.5163,1718,0.67959519417718,NA,NA,-0.0403,0.60378548895899,NA,0.7087,0.013360586270502,1223.1,514.1,2.3417623030539,0.70075669383004,-86.4,-0.12903225806452,-221.8,-0.33124253285544,NA,1.0327440739253,NA,0.347,0.76777180406213,-89.1651,-0.38375146545659,669.6,0.18996909492274,-0.17356368019285,172.9,4.19,1203.9,205501,654.4,-118.2,NA,654.4,2.2,1.0095786566375
"10",2002-12-31,114.9,5.08,1.6262,0.67796610169492,NA,2149.3,104.8,506.5,0.21101528975545,0.72814836112708,NA,-4.4,0.6874,NA,233.8,0,0,-44.6,-44.6,189.2,0,NA,1893.8,NA,NA,NA,10.009513742072,2.7225416906268,0.2045,NA,84.4,2400.3,0.67738333410878,-0.99,NA,-0.0587,0.73071528751753,NA,0.7832,0.012469176010794,1310.7,1168.3,1.0545236668664,0.5132691746865,-223.4,-0.32116158711903,-239,-0.34358826912018,NA,1.9964114832536,NA,-0.06411730879816,1.6795572167913,-129,NA,695.6,-0.034027618829633,-0.38174982911825,227,10.21,1232,572905,675.3,NA,NA,675.3,2.25,1.4448767833982
