"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,974,1.21,0.256,0.3946,29957,67801,772,3476,0.0538,0.12,0.0513,-7.88,0.8,15.61,922,0.0225,1012.96,6224,4108.46,7146,0.3399,0.339,61097,1.33,2.12,9.82,8.55,2.11,0.135,0.06,4266.34,64573,0.0585,3.47,13.78,-0.025,-0.035,0.1816,0.01,0.8617,0.5909,46005,45049,0.4334,0.3024,2886,0.0996,1057,0.0365,0.386,1.5,1.16,0.2148,1.55,-157.88,-0.0384,28974,0.0893,0.0963,6439,47.83,19524,6291653,28758,2624,17.17,28758,1.1,1.31
"2",2010-12-31,1099,2.19,0.9175,0.33439754288832,32940,66524,631,3663,0.069899777877856,0.13623177625707,0.055062834465757,54.4068,0.3133514986376,13.907913110939,938,0.0266,953.7324,5739,3764.9562,6677,0.34397,0.3421791273284,48740.6,1.0636014489591,1.704634001329,8.4928733228786,7.2997753482103,1.8127268670039,0.12,0.035,4017.5494,52403.6,0.058234622091275,2.89,12.505190311419,0.03,0.0978,0.16606280193237,0.01,0.8683,0.60599182250015,45826,35854.6,0.4615586284605,0.31579891457839,2578,0.095879202618268,858,0.031910145789944,0.36995048875097,1.088482088646,1.1589927592449,0.21344094019637,1.333479619161,-252.5932,-0.067090608767471,26888,0.082157643477502,0.07826350941105,6126,36.14,16549,8128383,28593,2882,12.440874392783,28593,1.15,1.0588938956132
"3",2009-12-31,1157,2.14,0.94,0.31590811287116,33383,65730,1306,4800,0.093449210354173,0.18615474112856,0.073026015518028,-11.8243,NA,17.29139009139,998,0.0263,945.4534,5351,3404.8948,6349,0.36369,0.36673773987207,46564.8,1.0583149617037,1.7640854674951,8.7020743786208,7.3341943613167,1.8058871436882,0.045,-0.01,3108.719,51364.8,0.060292104062072,2.23,14.42600896861,0.095,-0.4328,0.12628099173554,0.01,0.8118,0.61918454282671,43999,35948.8,0.42883211678832,0.30012771392082,2079,0.080628272251309,-499,-0.019352336629824,0.45476355940356,1.0768594793757,3.84253113142,0.20752375412061,1.3941749078922,296.1757,0.086985278208691,25785,0.077385731721175,0.062277206961627,6153,32.17,15416,6635261,26396,2473,14.536514355034,26396,NA,1.0525789462899
"4",2008-12-31,1195.9,2.4,0.938,0.48411023410718,42288,113896,4377,6682,0.090234133403914,0.14221862761791,0.058667556367212,583.7375,NA,9.6163402350308,4590,0.0259,890.1519,9532,5750.7509,14122,0.39669,NA,67369.8,0.89481597577335,2.0295164934478,7.0677507343684,4.7705565783883,1.4338881321301,0.005,-0.035,5380.0135,74051.8,0.16184062653649,2.21,13.185520361991,0.775,0.0122,0.65075376884422,0.01,0.8252,0.58256655194212,75289,34368.8,1.1546227974209,0.53588163960903,3574,0.076068448833645,-1989,-0.042333560360974,0.2490632120873,0.81273174423004,19.232680470062,0.2028775753448,0.73150008513537,370.7375,0.064467661523666,46984,0.076382352269256,0.084515701853954,10163,29.14,39683,9173877,33195,2680,12.824179104478,33195,NA,0.90339022337168
"5",2007-12-31,3593,1.34,0.2598,0.38812117157611,58536,133830,4430,1516,0.021279462791821,0.032614775612065,0.011327803930359,20.4082,0.61585835257891,8.4207356208344,4412,0.026332066931673,898.25,9403,5963.9468,13815,0.36574,NA,69726.4,0.74058842272969,1.4735080304311,7.4153355312134,5.0471516467608,1.5000731465944,0.06,0.045,5925.5385,71242.4,0.13485765523425,1.12,8.9821428571429,NA,0.1303,0.41593658740092,0.01,0.8049,0.70339983561234,94150,34112.4,1.0884605011667,0.52117839938014,4051,0.087152015834086,-1132,-0.024353513187901,0.22173537398173,0.58275932759328,1.4034559368057,0.20229336087087,0.73388408416161,38.4082,0.0064400715613798,46482,0.063345159638874,0.069205275386087,9653,10.06,37130,18244085,47320,3649,9.3484242258153,47320,1,0.74469926619698
"6",2006-12-31,3864,1.2,0.163,0.3668987063091,60389,131669,4141,1578,0.016533532266582,0.035681982633864,0.011984597741306,137.4896,0.8,11.819593273367,3579,0.01598136500048,966,8489,6729.6548,12068,0.20725,NA,93864.4,1.0006012280403,2.0409741248097,11.057179879844,7.7779582366589,2.1224764833574,0.085,0.055,6030.1652,95442.4,0.1274028055199,1.17,13.598290598291,NA,0.1793,0.17751780264496,0.01,0.7893,0.70484320531029,93808,60445.4,0.57898533221717,0.36668189400099,5114,0.11563856729378,-3443,-0.077853654124457,0.1888932342589,1.0009339449237,1.390540385102,0.19195459479016,1.3668008321273,699.4896,0.10394137279981,44224,0.071738601718404,0.084684296809021,10560,15.91,34997,21368967,45990,4928.8,12.263715305957,45990,1.1,1.0005912817395
"7",2005-12-31,4498,1.34,0.1555,0.24480703233187,62715,122475,3246,4220,0.038940809968847,0.09667369192706,0.034456011430904,23.1016,0.8,30.306230636833,3277,0.011239942026088,989.56,8099,5749.6421,11376,0.29008,NA,104149.6,1.3212762448462,2.3690823893363,12.859562909001,9.1552039381153,2.3859067167598,0.105,0.05,5757.5405,108369.6,0.11166360481731,0.97,22.453608247423,NA,0.0375,0.17106652587117,0.016,0.7108,0.68382118799755,78825,88039.6,0.23091881380651,0.18759873617694,2905,0.066549069916613,-3253,-0.074521213231925,0.34064027538726,1.4038045124771,2.8863076796984,0.18553559974343,2.0168514615596,-7.8984,-0.0013737244489666,43652,0.072941859562322,0.046320656940126,10478,21.78,20330,23138600,43962,4991.2,17.638964577657,43962,1.35,1.3049503281354
"8",2004-12-31,4499.6,1.88,0.3098,0.26910494792293,NA,123339,3024,6289,0.060448543765841,0.14668221574344,0.050989549128824,-85.941,1.213686249193,25.448395138672,6132,0.011474469305795,899.92,7340.6889,4800.5169,13472.6889,0.34604,NA,97749.9,1.2718412116008,2.2798810495627,13.316175270689,7.2554113529631,2.3224571740835,0.11,0.025,7994.458,104038.9,0.10616268982236,0.8,21.7875,0.495,0.0359,0.1015625,0.025,0.6966,0.6746852171657,76857,81663.9,0.27398887390879,0.21506378864059,3209,0.076243198935589,-4602,-0.10933973247167,0.28043627298224,1.3437972059041,2.313490467152,0.17440872674571,1.9402670531493,-3193.941,-0.66533273136569,42089,0.062460373330263,0.052804791759227,10300,17.43,22375,11813300,42875,3209,25.448395138672,42875,1.5,1.2512796767132
"9",2003-12-31,4381.7,2.16,0.3891,0.31479647359476,NA,121783,2761,3040,0.027171411385,0.072645589886969,NA,-230.882,1.1102544333076,27.379942784488,5724,0,0,12142.4985,8457.0074,17866.4985,0.30352,NA,108842.3,1.3822473108721,2.6009582526824,8.9637482763535,6.0919771157174,2.7509743460129,0.57,0.02,11650.8893,111882.3,0.10312605207623,0.7,27.857142857143,0.365,-0.0133,0.11842105263158,0.027,0.7049,0.68436481282281,78743,86137.3,0.29888329446128,0.23010789016672,3146,0.079514722608366,-4003,-0.10117528118286,0,1.5371230236625,0.48034987341207,0.3069,2.1771085555415,-3193.882,-0.37766101618266,39565,0.10740011626786,0.0561404761055,9862,19.5,25745,4011300,41847,3146,27.379942784488,41847,1.5,1.368038589927
"10",2002-12-31,4476.2,2.27,0.5508,0.3424669471902,NA,115450,3023,1730,0.016025477730607,0.04223529698982,NA,160,0.9059,83.448236514523,6327,0,0,5998,5237.3936,12325,0.12681,NA,106223.1,NA,NA,17.709753251084,8.6185070993915,2.593274089988,NA,0.03,8541.3936,107953.1,0.10524036379385,0.46,38.760869565217,NA,0.0601,0.2882818116463,0.047,0.6799,0.70326548289303,78596,80444.1,0.34196417139355,0.2548236224805,964,0.023534581675252,-3815,-0.093137374575816,0,1.5230721169321,NA,0.14643197187569,1.9639193379068,-3304,-0.63084813548919,40961,0.066636897806504,0.018251699263495,9916,17.83,27509,16932189,42538,964,83.448236514523,42538,1.6,1.351507710316
