"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-03-31,19.6,NA,NA,0.5893,1035.8,4654.1,589.8,350.1,0.0903,0.1399,0.0752,13.46,NA,11.64,222.7,0,0,416,262.35,639,0.3693,0.3692,3527.8,1.62,1.38,8.48,5.52,1.41,NA,-118.2,3877.9,0.5097,11.98,10.59,0.125,0.03,0.2545,NA,0.2861,0,2171.9,2391.7,0.6214,0.3832,205.4,0.0821,556.6,0.2224,0,2.31,NA,0.1662,0.96,380.56,1.4505,2502.7,0.1208,0.1983,212.2,126.81,1486.2,23693,2563.2,216.2,11.06,2563.2,1.2,1.54
"2",2011-03-31,19.6,NA,NA,0.584675226902,993,4176.2,480.6,375.5,0.11969271962259,0.16753669745237,0.0899142761362,17.6536,NA,9.473311546841,212.3,0,0,377.7,239.6582,590,0.36548,0.36536467334946,2761.7,1.3702987000099,1.1679353801912,7.3118877415939,4.6808474576271,1.2321866773747,NA,-46.2954,3137.2,0.055816292323165,10.53,8.3950617283951,0.085,0.1195,0.26690218053356,NA,0.2929,0,2015.4,1739.3,0.80371413787156,0.4455884227974,183.6,0.081916744746352,320.9,0.14317583545264,0,1.7515609264854,NA,0.1685182706465,0.77602284388525,285.9536,1.1931725087588,2241.3,0.11891346829414,0.18489425981873,191,88.4,1397.9,47577,2364.6,211,8.2431279620853,2364.6,1.15,1.3121418712619
"3",2010-03-31,19.6,NA,NA,0.64224099991198,812.9,3762.5,259.5,244.1,0.072206117257292,0.12192807192807,0.06487707641196,81.1071,NA,29.288109756098,227.6,0,0,193.6,126.8061,421.2,0.34501,0.34530938123753,3136.5,1.5465213746857,1.4723278411491,16.200929752066,7.4465811965812,1.5666833166833,NA,13.7989,3380.6,0.046352159468439,7.42,12.943396226415,NA,0.0049,0.50808569454043,NA,0.278,0,2028.1,1921.3,0.75953781293916,0.43166893450867,65.6,0.032767232767233,1265.6,0.63216783216783,0,2.3635133472752,NA,0.096703296703297,0.95969030969031,113.0071,0.89118082607732,2002,0.062524561905231,0.08069873293148,169.1,96.04,1459.3,48218,2130.3,150.2,12.791611185087,2130.3,1.15,1.4878091717278
"4",2009-03-31,19.6,0.43,0.7614,0.68305286868955,717.6,3825.1,397.3,240.6,0.092517111435823,0.1207649450384,0.062900316331599,-13.7881,0.24166009981613,78.664179104478,265.2,0,0,121.1,71.9261,386.3,0.40606,NA,2360,1.1662960217445,1.2348909005285,19.488026424443,6.1092415221331,1.1845605581489,0.1,-46.3858,2600.6,0.034718046587017,0.65,76.492307692308,NA,-0.0266,0.43363518758085,NA,0.2592,0,2023.5,1054.1,1.4671283559435,0.59467046066292,13.4,0.0067258946945741,338.3,0.169803744416,0,1.4689241917503,7.8664179104478,0.060784018471114,0.52908698489183,118.3119,1.6449088721134,1992.3,0.035545408450704,0.018673355629877,171.3,49.72,1546.5,37536,1911.1,3.6,292.80555555556,1911.1,1.15,1.1486241773773
"5",2008-03-31,19.6,0.43,0.7614,0.66488445053246,758.4,3832.5,573.3,206.6,0.096551079540144,0.10081983212961,0.053907371167645,2.6072,0.24166009981613,9.3672566371681,227.8,0,0,203.7,134.9696,431.5,0.33741,NA,1933.2,0.94004376367615,0.94960212201591,9.4904270986745,4.4801853997683,0.94339254343158,NA,-213.1376,2139.8,0.018577951728637,1.52,22.717105263158,NA,0.0283,0.43666634212832,NA,0.2754,0,2056.5,635.1,2.3692331916234,0.70319656042621,67.8,0.033086082373609,398.7,0.19456373218817,0,0.83742088607595,NA,0.099404645715401,0.30992582471208,348.1072,2.5791526229382,2049.2,0.065630723559446,0.089398734177215,167.9,34.53,1504.7,50773,2035.8,49.1,12.93482688391,2035.8,1.15,0.94551721090539
"6",2007-03-31,20.5,0.43,0.7614,0.63625772464796,718.1,3523,648.3,75.3,0.02880532496844,0.036104718066743,0.021373829122907,2.5127,0.21013921723142,14.988962472406,186.1,0,0,235.6,146.3029,421.7,0.37902,NA,2538.8,1.3369845700142,1.2259404123811,10.775891341256,6.0203936447712,1.2172995780591,NA,-318.4098,2614.1,0.53848992336077,2.28,26.350877192983,0.435,0.0256,0.22524113571526,NA,0.333,0,1898.9,1358,0.92496318114875,0.48050954439386,90.6,0.043440736478711,356.5,0.17093402378212,0,1.8911015178944,NA,0.11296509397775,0.65113156885309,464.7127,3.1763742773799,2085.6,0.077046125651693,0.12616627210695,177,60.08,1256.1,61881,2070.9,NA,NA,2070.9,1,1.3241312936886
"7",2006-03-31,21.3,0.43,0.7614,0.59965467625899,695.6,3367.2,344.4,311.4,0.10610242256976,0.14782113358018,0.09248039914469,-1.7914,0.19963225636984,13.118503118503,133.4,0,0,305.4,186.8284,438.8,0.38825,NA,2623.5,1.8396325643363,1.2403082450832,8.590373280943,5.978805834093,1.2453716889775,NA,-22.3802,2934.9,0.45592777381801,0.4,217.525,0.11,0.0491,0.2407192575406,NA,0.3104,0,1426.1,1893,0.55039619651347,0.35500357763467,144.3,0.06849900313301,438.8,0.20829773094085,0,2.7213916043703,NA,0.14497294218171,0.89860438621475,209.2086,1.1197900507867,2106.6,0.13100655634247,0.20744680851064,NA,87.01,1041.9,58263,2115.2,129.7,14.595219737857,2115.2,0.95,1.6891510791367
"8",2005-03-31,21.3,0.43,0.7614,0.59952457526393,NA,3103.6,285,344.8,0.14250878280637,0.1691439784155,0.11109679082356,8.5155,0.11294982926189,27.843137254902,118.1,0,0,167.0502,99.8342,285.1502,0.40237,NA,2074.7,1.9112851220636,1.0177581555065,12.419619970524,7.2758146408454,1.0331656790001,NA,-75.5813,2419.5,0.43642866348756,NA,NA,NA,-0.0735,0.27938878277479,NA,0.2241,0,1085.5,1562,0.54897567221511,0.35441206860922,56.1,0.027936855734276,562.5,0.28011553209501,0,2.7269553072626,NA,0.083188187839251,0.77784970867985,175.4155,1.7570681470103,2008.1,0.091970714901889,0.097939944134078,172.3,72.05,857.5,37768,2038.5,56.1,27.843137254902,2038.5,0.7,1.6916031601762
"9",2004-03-31,21.3,0.43,0.7614,0.677568,NA,3375.6,215.6,81.6,0.040250579588615,0.038164725691034,NA,-4.9197,0.11294982926189,NA,190.7,0,0,361.7558,144.7023,552.4558,0.6,NA,1945.7,1.3138631913026,0.91001356344418,5.378490874022,3.5219110308835,0.89767012687428,NA,124.722,2027.3,0.43008650314018,NA,NA,NA,-0.0085,0.39494252873563,NA,0.1594,0,1480.9,968.6,1.093020854842,0.52222167414788,-2.9,-0.0013379469434833,362.7,0.16733564013841,NA,1.9225883287019,NA,0.1669,0.44687427912341,19.9803,0.13807888457841,2167.5,0.097712404618813,-0.0057562524811433,147,45.31,1058.7,26464,2138.1,13.8,70.188405797101,2138.1,0,1.297472
"10",2002-03-31,NA,-0.17,0.4602,0.7665,NA,3773.5,275.9,47.7,0.027561102444098,0.023065764023211,NA,1.4731,-0.065,34.259259259259,108.7,0,0,230.0041,125.6972,338.7041,0.4535,NA,1683,NA,NA,7.3172608662193,4.9689389647188,0.81382978723404,0.12,-42.9759,1730.7,0.50745991784815,NA,NA,-0.13,0.1748,0.86770428015564,0,0.1694,0,2089.647,92.5,17.71027027027,0.94655341769226,2.7,0.0013056092843327,254.071,0.1228583172147,0,0.18533360048087,2.8549382716049,0.060782031262089,0.04472920696325,168.6731,1.3418997833824,NA,0.060152380114919,0.0054097375275496,1715.1,4.85,1638.2,16600,2068,22.3,4.1479820627803,2080,0.6,0.82822601137896
