"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,26.3,1,0.25,0.0541,85.6,318.8,13.7,53.7,0.0213,0.1995,0.1684,-3.38,0.8,584.21,10.2,0,0,17,6.6,27,0.6,0.7329,2463.3,66.94,7.88,149.29,92.26,9.15,0.26,6.48,2517,0.0769,NA,NA,0.33,0.185,0.2516,NA,0.9746,0.0094,36.8,2512.1,0.002,0.0019,4.3,0.016,-20.9,-0.0776,0,29.35,22.47,0.0613,9.33,0.12,0.0174,269.2,0.1793,0.0502,136.4,94.41,4.9,123026,312.8,10.4,241.55,312.8,1.05,27.81
"2",2010-12-31,25.4,1.13,0.3309,0.064102564102564,73,249.6,5,49.8,0.029637564720586,0.21861281826163,0.19951923076923,-2.5549,0.79329102447869,558.43333333333,10.6,0,0,8.2,3.28,18.8,0.6,0.63414634146341,1630.5,57.81914893617,6.3468275593616,198.84146341463,86.728723404255,7.157594381036,0.2483,11.4349,1680.3,0.072516025641026,NA,NA,NA,0.1225,0.24893709327549,NA,NA,0.012419871794872,28.2,1675.3,0.0029845400823733,0.0029756591084925,3,0.013169446883231,-20,-0.087796312554873,0,22.949315068493,22.490267149953,0.035996488147498,7.3542581211589,-8.1549,-2.4862416754106,227.8,0.11631205673759,0.041095890410959,120.3,65.12,5,209903,256.9,3.7,452.78378378378,256.9,1.05,21.542307692308
"3",2009-12-31,24.6,1.37,0.4766,0.058631921824104,57.8,171.1,4,31.8,0.025959183673469,0.1617497456765,0.18585622443016,-2.3734,0.55077633235418,NA,10.5,0,0,-0.6,-0.6,9.9,0,NA,1193.2,40.310810810811,5.4310423304506,NA,120.52525252525,6.0691759918617,0.25,8.2734,1225,0.11396843950906,NA,NA,NA,0.0842,0.30444934492152,NA,NA,0.02104032729398,29.6,1221.4,0.0029474373669559,0.0029387755102041,-1.1,-0.0055951169888098,-20.2,-0.10274669379451,NA,21.131487889273,NA,-0.0030518819938962,6.2126144455748,-8.8734,NA,196.6,-0.02027027027027,-0.019031141868512,109.2,48.63,3.6,165404,219.7,1.7,718.47058823529,219.7,1.05,19.951140065147
"4",2008-12-31,24.3,1.56,0.4802,0.070909090909091,51.1,147.3,12.2,23,0.031262742965883,0.12877939529675,0.1561439239647,-1.4486,0.36651395251978,NA,9.4,0,0,-4.7,-4.7,4.7,0,NA,712.7,22.271875,3.6737113402062,NA,151.63829787234,3.9904815229563,0.2114,-6.0514,735.7,0.1561439239647,NA,NA,NA,0.2036,0.43713118474807,NA,0.988,0.023761031907671,32,731.8,0.0053293249521727,0.0053010738072584,-2.9,-0.016237402015677,-16.8,-0.094064949608063,NA,14.320939334638,NA,-0.026315789473684,4.0974244120941,1.3514,NA,178.6,-0.146875,-0.056751467710372,101.6,29.37,3.9,190170,194,-0.6,NA,194,1.1,13.376363636364
"5",2007-12-31,24.8,1.85,0.4478,0.074355083459788,61,135.2,7.4,34.6,0.095924591072914,0.22838283828383,0.25591715976331,1.5216,0.35730236712818,10.749244712991,7.1,0,0,7.6,7.6,14.7,0,NA,326.1,10.418530351438,1.8730614589317,42.907894736842,22.183673469388,2.1524752475247,0.2417,5.7784,360.7,0.13461538461538,-0.1,NA,NA,0.2992,0.59144711722031,NA,NA,0.030325443786982,31.3,355.8,0.013771781899944,0.013584696423621,33.1,0.21848184818482,-10.2,-0.067326732673267,0,5.8327868852459,0.44473499019408,0.05016501650165,2.3485148514852,1.8216,0.23968212610735,151.5,0.24281150159744,0.54262295081967,79.1,14.6,4.9,259133,174.1,19.5,18.246153846154,174.1,1,5.4734446130501
"6",2006-12-31,24.4,1.19,0.2592,0.10404624277457,31,93.5,6.4,31,0.039784394250513,0.27003484320558,0.33155080213904,3.5453,0.49382716049383,189.17073170732,5.4,0,0,2.8,2.8,8.2,0,NA,748.2,207.83333333333,5.2579058327477,267.21428571429,91.243902439024,6.5174216027875,0.2167,-1.7453,779.2,0.14438502673797,0.36,81.5,NA,0.2498,0.25402259500171,NA,NA,0.040641711229947,3.6,775.6,0.0046415678184631,0.0046201232032854,4.1,0.035714285714286,-14.8,-0.12891986062718,0,25.01935483871,8.7296138305176,0.024390243902439,6.7560975609756,4.5453,1.6233200597312,114.8,0.77777777777778,0.13225806451613,62.5,29.34,3.6,271988,142.3,11.9,65.176470588235,142.3,0.8,22.520231213873
"7",2005-12-31,23.5,0.74,0.3712,0.12962962962963,23.5,69.6,3,32.2,0.056570625439213,0.36343115124154,0.46264367816092,3.1223,0.32327586206897,166.38235294118,4.4,0,0,2.9,2.9,7.3,0,NA,537,NA,5.0280898876404,185.1724137931,73.561643835616,6.0609480812641,0.2125,1.1777,569.2,0.14367816091954,0.2,116.3,NA,0.1761,0.22609877661985,NA,0.9276,0,-5.2,565.7,0.0061870249248718,0.0061489810260014,3.4,0.038374717832957,-15.2,-0.17155756207675,0,24.072340425532,7.8297577854671,0.032731376975169,6.3848758465011,1.7223,0.59391297579201,88.6,NA,0.14468085106383,49.9,23.26,3.5,111175,106.8,5.8,97.534482758621,106.8,0.75,NA
"8",2004-12-31,22.5,0.6,0.4265,0.14556962025316,NA,52.5,4.7,22.9,0.048858544911457,0.27229488703924,0.43619047619048,-3.0418,0.28135990621336,NA,5.1,0,0,-5.172,-5.172,-0.072,0,NA,445.8,NA,5.3008323424495,NA,NA,6.1916666666667,0.1833,-1.7302,468.7,0.18095238095238,0.12,158.91666666667,NA,0.0911,0.2541315871531,NA,0.8589,0,-7.1,466.4,0.0049313893653516,0.0049071901002774,-5,-0.069444444444444,-18.1,-0.25138888888889,NA,34.548148148148,NA,-0.071833333333333,6.4777777777778,-3.4418,0.665468978259,72,0.72845070422535,-0.37037037037037,45.8,19.07,2.3,68209,84.1,2.4,194.33333333333,84.1,0.9,29.664556962025
"9",2003-12-31,20.6,0.76,0.4595,0.48484848484848,NA,35.8,2,13.8,0.046138415245737,0.20264317180617,NA,-2.3202,0.33079434167574,NA,5,0,0,-4.0166,-4.0166,0.9834,0,NA,285.3,NA,4.1894273127753,NA,290.11592434411,4.7235099337748,0.1667,1.3036,299.1,0.20111731843575,NA,NA,NA,-0.1203,0.26114081996435,NA,0.6037,0,-10.5,297.5,0.0053781512605042,0.0053493814777666,-9.2,-0.1523178807947,-18.2,-0.30132450331126,NA,175,NA,-0.0665,4.9254966887417,-5.3202,1.3245527748585,60.4,0.38253333333333,-5.4117647058823,41.9,12.28,1.6,122760,68.1,-8,NA,68.1,1,90.636363636364
"10",2002-12-31,16.5,0.83,0.566,NA,NA,31.1,4.3,9,0.051664753157291,0.16333938294011,NA,5.9,0.3222,NA,5.8,0,0,-14.3791,-14.3791,-8.5791,0,NA,165.2,NA,NA,NA,NA,2.9981851179673,0.19,-12.8791,174.2,0.23151125401929,-0.47,NA,NA,-0.0776,0.55490909090909,NA,0.2485,0,-13.9,171.7,0.014560279557368,0.01435132032147,-14.6,-0.26497277676951,-17.4,-0.31578947368421,NA,NA,NA,-0.26096315789474,3.1161524500907,-1.5,NA,55.1,NA,NA,42,8.85,2.5,95381,60.5,-8.9,NA,60.5,1,NA
