"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,112.2,1.66,0.3303,0.2087,1672.4,11563.4,0,152.3,0.0867,0.0132,NA,0.8,17.65,0,0.0307,40.39,351,234.8,351,0.3303,0.33,1603.8,0.82,4.57,4.57,0.115,234.8,1756.1,0,0.89,13.25,NA,NA,0.1082,NA,0.8385,0.0586,1961.2,1315,0.3354,0.2512,74.5,0,0.4243,0.79,1.53,0,0,NA,0.1197,0.0445,55.7,11.79,441.1,662924,NA,95.2,13.81,NA,1.1,0.83
"2",2010-12-31,114.5,1.78,0.4381,0.21365311886639,1642.6,11668.7,0,111.9,0.059259651538421,0.0095897572137428,NA,0.62771056836339,50.95406360424,0,0.0222,32.0124,318.9,264.6615,318.9,0.17008,0.17008797653959,1776.4,0.89853313100658,5.5703982439636,5.5703982439636,0.11,264.6615,1888.3,0,0.64,19.359375,NA,NA,0.2282039066222,NA,0.8306,0.058446956387601,1977,1442,0.30950069348128,0.23635015622518,28.3,0,1.1311802120141,0.87787653719713,4.6321876003855,0,0,NA,0.13387025189681,0.0172287836357,76.2,12.39,446.3,924806,NA,61,23.639344262295,NA,1.1,0.90396859591172
"3",2009-12-31,86.8,0.89,0.432,0.16390503276864,1352.3,9381.4,0,113.4,0.068548630840839,0.012087748097299,NA,0.63657407407407,NA,0,0.0165,22.9218,281.7,281.7,281.7,0,NA,1540.9,1.0245345744681,5.4700035498758,5.4700035498758,0.115,281.7,1654.3,0,NA,NA,NA,NA,0.2183908045977,NA,0.7695,0.068177457522331,1504,1389.2,0.19082925424705,0.16024904793568,-153.4,0,NA,1.0272868446351,NA,0,0,NA,0.18730053191489,-0.1134363676699,88.7,12.18,265.1,637627,NA,-5.4,NA,NA,1.1,1.022814393471
"4",2008-12-31,60.1,0.64,0.4156,0.24034616532378,1272.8,8597.5,0,148.1,0.095235033116841,0.017225937772608,NA,0.42348411934552,81.154929577465,0,0.0151,17.4012,245.8,211.7321,245.8,0.1386,NA,1407,0.9211732355637,5.7241659886086,5.7241659886086,0.1173,NA,1555.1,0,NA,NA,-0.005,NA,0.37040527803959,NA,0.6396,0.088141901715615,1527.4,1152.4,0.34944463727872,0.25895440807665,14.2,0,1.2254394366197,0.90540540540541,6.9185788216082,NA,NA,NA,0.13862257430928,0.011156505342552,129.4,13.41,402.7,885388,NA,-56.6,NA,NA,1.1,0.92814085347657
"5",2007-12-31,60,-0.1,0.3042,0.20016772029416,1239.9,8340.1,0,188.8,0.16388888888889,0.022637618253978,NA,0.52596975673899,13.296998420221,0,0.054176072234763,45.6,259.5,172.9464,259.5,0.33354,NA,963.2,0.70750697811077,3.711753371869,3.711753371869,0.1,NA,1152,0,0.96,15.072916666667,0.12,NA,0.45879381117777,NA,0.608,0.091713528614765,1361.4,841.7,0.36865866698349,0.26935763888889,63.3,0,0.72037914691943,0.67884506815066,1.3296998420221,NA,NA,NA,0.12703567650948,0.051052504234212,180.8,14.47,310.3,738887,NA,58,14.512068965517,NA,1,0.74312991872016
"6",2006-12-31,58.1,0.66,0.222,0.15568862275449,1156.2,7344.2,0,169.8,0.14974865508422,0.023120285395278,NA,0.72072072072072,10.908767772512,0,0.047959161507549,44.156,240.8,154.9668,240.8,0.35645,NA,964.1,0.80368456152051,4.0037375415282,4.0037375415282,0.13,NA,1133.9,0,1.23,11.544715447155,0.16,NA,0.35987333182538,NA,0.5819,0.092521990141881,1199.6,920.7,0.23156294124036,0.1880236352412,84.4,0,0.52317535545024,0.79631551634665,0.83913598250091,NA,NA,NA,0.12918209403134,0.072997751254108,119.9,14.2,213.2,759861,NA,78.3,11.758620689655,NA,1,0.8280268730831
"7",2005-12-31,44.6,0.25,0.1642,0.18617724867725,738.3,5360.6,0,151.5,0.079523384599234,0.028261761743089,NA,0.8,24.909612625538,0,0.018495565027071,32.112,188,121.9105,188,0.35154,NA,1753.6,2.3204975519386,9.3276595744681,9.3276595744681,0.14,NA,1905.1,0,1.65,17.836363636364,0.135,NA,0.12225475841874,NA,0.5111,0.076204156251166,755.7,1736.2,0.097281419191337,0.088656763424492,69.7,0,0.46071736011478,2.3516185832318,1.7792580446813,NA,NA,NA,0.16132126505227,0.09440606799404,59.6,29.43,168.9,187178,NA,78.7,22.060991105464,NA,0.9,2.0999779541446
"8",2004-12-31,44.2,0.17,0.1704,0.27029608404967,NA,4873,0,94.6,0.061424582819297,0.01941309255079,0,0.19953051643192,29.685912240185,0,0.011216263582194,14.144,NA,NA,NA,0.34961,NA,1445.5,1.7052023121387,NA,NA,0.15,NA,1540.1,0,1.5,19.02,NA,0,0.1968085106383,NA,0.4441,0.083829263287503,847.7,1285.4,0.19814843628442,0.16537887150185,43.3,0,0.32665127020785,1.869400814427,1.9790608160123,0,NA,NA,NA,0.062972658522397,31,28.53,254.7,131026,NA,63.7,20.17896389325,0,0.8,1.6344051788178
"9",2003-12-31,28.4,0.13,0.2036,0.32400932400932,NA,2963.8,0,103.6,0.080685358255452,NA,0,0.12770137524558,33.17008797654,0,0,0,NA,NA,NA,0.35006,NA,1180.4,3.2049959272332,NA,NA,0.145,NA,1284,0,1.32,18.878787878788,NA,0,0.18553459119497,NA,0.3796,0.05384978743505,368.3,1131.1,0.13517814516842,0.11908099688474,34.1,0,0,3.5457680250784,2.2875922742441,0,NA,NA,NA,0.10689655172414,23.6,24.92,152.9,36537,NA,40.9,27.655256723716,0,0.85,2.7209154481882
"10",2002-12-31,28,0.22,0.2222,0.25606608156944,NA,2556,0,101.9,0.14376410835214,NA,0,0.2178,27.709090909091,0,0.0073490813648294,4.48,70,44.8735,70,0.35895,NA,606.9,NA,8.67,8.67,0.135,44.8735,708.8,0,1.26,16.809523809524,NA,0,0.15496619864795,NA,0.3372,0.062989045383412,285.5,609.6,0.16272965879265,0.13995485327314,22,0,0.20363636363636,2.1151977793199,2.0525252525253,0,0,0,0.15717513134851,0.076335877862595,21.5,21.18,99.2,64715,0,40.6,15.014778325123,0,0.85,2.1257443082312
