"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,105.3,2.93,0.6282,0.9366,156,3719,55,529,0.1011,0.1749,0.1422,11.31,0.8,NA,166,0,0,-122,-122,44,0,4702,2.44,1.46,NA,106.86,1.55,NA,0.015,-22.31,5231,0.5692,0.06,467.83,NA,-0.205,0.4963,0.021,0.7518,0,1931,2927,0.7872,0.4405,-314,-0.1038,179,0.0592,NA,18.76,NA,-0.0403,0.97,-99.69,NA,3024,-0.0632,-2.0128,307,28.07,2304,2057745,3215,-168,NA,3215,1.7,2.13
"2",2010-12-31,102.8,3.21,0.8706,0.78852066962761,619,4087,39,757,0.22347523174116,0.25757060224566,0.18522143381453,1.6666,0.47381116471399,NA,178,0,0,-150,-150,28,0,2630.4,1.2121658986175,0.88565656565657,NA,93.942857142857,0.89499829874107,NA,-0.02,-12.6666,3387.4,0.55444091020308,NA,NA,NA,-0.1227,0.55183164458301,0.021,0.6483,0,2170,1079.4,2.1382249397814,0.68134852689378,-307,-0.10445729840082,158,0.053759782238857,NA,1.7437802907916,NA,-0.051037767948282,0.36726777815584,-137.3334,NA,2939,-0.069124423963134,-0.49596122778675,314,10.16,2308,1673479,2970,-293.1,NA,2970,1.65,1.1572941578408
"3",2009-12-31,99.3,2.65,0.8614,0.67842323651452,930,4097,44,690,0.18771423907721,0.21329211746522,0.16841591408348,-21.5246,0.47887160436499,NA,203,0,0,-159,-159,44,0,2985.8,1.3559491371481,1.0076949038137,NA,67.859090909091,0.92296754250386,NA,-0.05,21.5246,3675.8,0.59238467171101,NA,NA,NA,-0.2988,0.39076086956522,0.014,0.6259,0,2202,1713.8,1.144824366904,0.53376135807171,-251,-0.077588871715611,256,0.079134466769706,NA,1.8427956989247,NA,-0.049149922720247,0.52976816074189,-180.5246,NA,3235,-0.072207084468665,-0.26989247311828,304,16.83,1962,1399836,2963,-352.5,NA,2963,1.65,1.2710235131397
"4",2008-12-31,99.2,2.6,0.7865,0.54223272297696,1550,4719,238,471,0.14227458087902,0.10221354166667,0.099809281627463,-111.2483,0.33566433566434,NA,182,0,0,-187.9904,-187.9904,-5.9904,0,2839.5,0.97409948542024,0.81221395881007,NA,NA,0.6162109375,0.01,-0.095,-132.7421,3310.5,0.54291163382073,NA,NA,-0.065,-0.1153,0.65391014975042,0.012,0.6771,0.0025429116338207,2915,1474.5,1.2451678535097,0.55459900317173,-226,-0.049045138888889,461,0.10004340277778,NA,0.95129032258065,NA,-0.040796527777778,0.31998697916667,-55.2483,NA,4608,-0.064490703259005,-0.1458064516129,380,14.05,1836,1563489,3496,-276,NA,3496,1.65,0.97770230360307
"5",2007-12-31,99.1,1.97,0.5456,0.36082774701253,2193,4621,460,297,0.14950166112957,0.057093425605536,0.064271802640121,27.8979,0.39589442815249,7.4118811881188,176,0,0,191,153.1037,367,0.19841,1689.6,0.53911933631142,0.35003107520199,8.8460732984293,4.6038147138965,0.32479815455594,-0.04,-0.06,-158.7942,1986.6,0.56178316381736,-1.43,NA,0.115,-0.1877,0.75956284153006,0.01,0.6726,0.048907162951742,3134,748.6,1.6537536735239,0.62317527433806,101,0.019415609381007,387,0.07439446366782,0,0.34135886912905,NA,0.036716647443291,0.14390618992695,311.8979,2.0371679080722,5202,0.048852485641353,0.046055631554948,408,8.04,1238,1300903,4827,-142.7,NA,4827,1.35,0.579014864471
"6",2006-12-31,89.9,2.3,0.5482,0.62010896483408,1534,5365,393,571,0.092640664546693,0.098278829604131,0.10643056849953,127.1287,0.4086099963517,6.2344122657581,138,0,0,951,581.4985,1089,0.38854,5592.6,1.6130948947217,1.0560045317221,5.8807570977918,5.1355371900826,0.9625817555938,-0.045,-0.08,199.3697,6163.6,0.41192917054986,-0.34,NA,0.09,-0.4384,0.25741196617789,0.01,0.9589,0.028704566635601,3467,3659.6,0.68422778445732,0.40625608410669,587,0.10103270223752,1437,0.2473321858864,0,2.3856584093872,NA,0.16368330464716,0.62987951807229,382.1287,0.65714489346302,5810,0.1677238130949,0.38265971316819,419,34.98,2504,1308250,5296,215.9,16.950440018527,5296,1.4,1.5263992075285
"7",2005-12-31,44.6,3.63,0.6149,NA,-302,6142,198,1248,0.25045153521975,0.24284880326912,0.20319114295018,-45.8595,0.36428687591478,10.359667359667,125,0,0,750,480.36,875,0.35952,3735,NA,0.63835241839002,4.98,4.2685714285714,0.72679509632224,0.015,-0.055,453.2195,4983,0.31683490719635,5.43,10.092081031308,-0.005,0.1058,0.36658473451809,0.011,0.739,0.01042005861283,-1550,4983,0,0,481,0.093597976259973,331,0.064409418174742,0,NA,6.9064449064449,0.14594279042615,0.96964389959136,27.1405,0.056500321133283,5139,NA,NA,352,54.8,0,647400,5851,12.8,389.296875,5851,1.4,NA
"8",2004-12-31,43.3,3.76,0.9199,0.00097560975609756,NA,4278,138,937,0.32450216450217,0.19504579517069,0.2190275829827,18.5806,0.81748016088705,9.2516025641026,120,0,0,519.8271,318.6384,639.8271,0.38703,1950.5,22.164772727273,0.40601582014987,3.7522091480032,3.0484798158753,0.4325792858727,NA,NA,282.0578,2887.5,0.43314633006078,NA,NA,-0.08,0.2226,0.45334013258542,NA,0.9197,0.010051425899953,88,2886.5,0.00034644032565391,0.00034632034632035,312,0.06919494344644,284,0.062985140829452,0,2.81884765625,NA,0.11528656021291,0.64016411621202,36.5806,0.11480290679695,4509,3.6208911078068,0.3046875,317,64.91,1,247400,4804,312,9.2516025641026,4804,1.3,2.8170731707317
"9",2003-12-31,43,3.14,0.9292,0.0028943560057887,NA,3799,111,771,0.44315438556156,0.1806890086712,NA,51.4768,0.67585019371502,12.592753623188,112,0,0,332.8728,211.6871,444.8728,0.36406,968.8,NA,0.22704476212796,2.9104210377057,2.1777011316493,0.26426623022368,NA,NA,161.2103,1739.8,0.47854698604896,NA,NA,-0.145,0.0617,0.53320683111954,NA,0.7361,0.010265859436694,-80,1737.8,0.001150880423524,0.0011495574203932,138,0.037643207855974,314,0.085651936715766,0,2.522206095791,NA,0.0908,0.47403164211675,50.4768,0.2384500859361,3666,-2.6460891054,0.20029027576197,324,39.85,2,256700,4267,0,NA,4267,1.35,2.5178002894356
"10",2002-12-31,43.2,2.33,1.0414,0.0037243947858473,NA,3617,100,699,1.0067694080369,0.20155709342561,NA,121,0.4926,4.9805755395683,106,0,0,272,147.6878,378,0.45703,-4.7,NA,NA,-0.017279411764706,-0.012433862433863,-0.0013552479815456,NA,NA,153.6878,694.3,0.49433231960188,NA,NA,NA,0.0575,0.72509090909091,0.034,0.5351,0,-162,692.3,0.002888920988011,0.0028805991646262,139,0.040080738177624,256,0.073817762399077,0,1.2940186915888,NA,0.07843137254902,0.19962514417532,-6,-0.040626228943425,3468,NA,0.25981308411215,312,16.1,2,1075126,3530,118,5.8669491525424,3530,1.3,NA
