"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-01-31,102.8,1.5,0.3369,0.2771,938.8,2255.6,45.7,321.8,0.1869,0.0655,0.1427,-15.12,0.8,17.95,63.8,0.0045,6.17,699,480.4,763,0.3126,0.3664,1400.3,1.43,0.31,2,1.84,0.28,0.1273,513.62,1722.1,0.0959,0.64,20.94,-0.075,0.33,0.1856,0.9156,0.2031,976.8,1362.3,0.2641,0.2089,75.9,0.0154,226.8,0.0462,0.1062,1.45,1.41,0.1422,0.28,-33.22,-0.0692,4914.2,0.4918,0.0808,2.5,13.4,359.8,542641,4586.6,58.1,23.45,4586.6,1.25,1.33
"2",2011-01-31,102,1.18,0.4235,0.2582155698637,887.1,2112.7,39.2,326.8,0.19215617098842,0.071827333069585,0.15468358025276,15.3474,0.73789846517119,19.912732474964,60.7,0.0044,6.1244,641.6,443.923,702.3,0.3081,0.35217794253939,1373.9,1.5808307444483,0.28006196873025,2.1413653366584,1.9562864872562,0.30196931733263,0.1665,450.0756,1700.7,0.08316372414446,0.82,16.207317073171,-0.14,0.2619,0.33648235621006,NA,0.22946939934681,869.1,1391.9,0.22185501832028,0.18157229376139,69.9,0.015363312673085,196.2,0.043122774627456,0.087616022889843,1.569045203472,1.1959599084063,0.14101718756868,0.30592553518836,-6.1526,-0.013859619699145,4549.8,0.51078476584973,0.078796077105174,3.2,13.29,308.8,561058,4905.7,74.6,18.6581769437,4905.7,1.25,1.4221088719793
"3",2010-01-31,100.9,1.41,0.4827,0.28696278944049,791.4,1937,29,350.8,0.14372336938709,0.09833216538192,0.18110480123903,27.6161,0.6474000414336,51.637469586375,55.1,0.0029,6.1547,550.3,358.0637,605.4,0.34933,0.41201716738197,2090,2.7532604399947,0.47542139623757,3.7979284026894,3.4522629666336,0.58584442887176,0.1805,356.5476,2440.8,0.093133711925658,0.72,29.444444444444,-0.04,-0.2226,0.26778242677824,0.9406,0.25141972121838,759.1,2122.3,0.15007303397258,0.13049000327761,41.1,0.011520672740014,118.9,0.03332866152768,0.14974866180049,2.6817033105888,2.8608016391343,0.15425367904695,0.59489838822705,1.5161,0.0042342436209026,3567.5,0.47169503490976,0.051933282789992,2.5,21.2,318.5,453756,4396.1,58.8,36.093537414966,4396.1,1.25,2.199117037571
"4",2009-01-31,99.9,1.26,0.4693,0.30423606827062,676.7,1648.7,46.4,256.9,0.14852286523675,0.056539824372208,0.1558197367623,-32.6513,0.42616663115278,NA,55,0.0042,6.022,644.6,257.84,699.6,0.6,NA,1472.8,2.0578454659774,0.4244135784681,2.2848278001862,2.1052029731275,0.32414111847173,0.1667,299.0913,1729.7,0.099108388427246,0.55,26.036363636364,0.125,2.021,0.22816467872259,0.9117,0.26851458725056,715.7,1433.8,0.20637466871251,0.17107012776782,-12.2,-0.0026850364240597,138.2,0.030415740475824,NA,2.1188118811881,NA,0.14186676056958,0.31555780531285,-41.2513,-0.15998796695934,4543.7,0.36026267989381,-0.018028668538496,2.8,14.32,295.9,792258,3470.2,-48.7,NA,3470.2,1.25,1.778428953321
"5",2008-01-31,99.4,1.69,0.4097,0.33085566119274,774.2,2074.7,31.7,289.1,0.18022567171623,0.19315828155275,0.13934544753458,-219.3967,0.50768855259946,12.373860182371,49.1,0.0048833210513387,5.964,639.6,464.4903,688.7,0.27378,NA,1315,1.5151515151515,0.32420305219299,2.0559724828017,1.9093945113983,0.87859958575533,0.1237,701.287,1604.1,0.074275798910686,1.08,13.277777777778,0.26,0.2127,0.50960942343459,0.8512,0.29782619173857,867.9,1221.3,0.31343650208794,0.23863848887226,98.7,0.065945079174183,128.3,0.085721921560767,0.060425531914894,1.577499354172,1.0003120600138,0.42734014832632,0.81599518941672,-236.7967,-0.50979897734148,1496.7,0.53518874524715,0.12748643761302,3.1,14.34,382.8,1107354,4056.1,95.8,12.748434237996,4056.1,1.3,1.3864304235091
"6",2007-01-31,98.6,1.72,0.3285,0.34183620778684,637.3,1659.9,27.2,278.4,0.12158267097563,0.22735810534912,0.167720947045,-17.7583,0.43835616438356,18.153846153846,41.4,0.0030202164590566,5.916,540.1,419.5767,581.5,0.22315,NA,2011.4,2.9154949992753,1.4114097256333,3.724125162007,3.4589853826311,1.642629644753,0.169,451.535,2289.8,0.077113079101151,1.08,16.703703703704,0.29,0.2231,0.28526960538207,0.853,0.29574070727152,689.9,1958.8,0.16898100878089,0.14455410952922,107.9,0.088117599020008,108.4,0.088525928950592,0.054828544949027,3.0735917150479,1.0741920801092,0.44107799101674,1.5996733360555,-31.9583,-0.076167962830177,1224.5,0.60817029279606,0.16930801820179,NA,18.04,331,464965,1425.1,104.3,18.780441035475,1425.1,0.9,2.3647629866777
"7",2006-01-31,95.2,1.97,0.2997,0.18778562525966,586.5,1258.8,17.8,246.5,0.079918298534561,0.25507036423841,0.19582141722275,-10.4594,0.42709376042709,33.357466063348,26.6,0.0019370591427021,5.712,425.1,307.9169,451.7,0.27566,NA,2837.9,5.9669890664424,2.474409277182,6.6758409785933,6.2827097631171,2.9365687086093,0.2062,327.1764,3084.4,0.063870352716873,0.98,30.510204081633,NA,0.219,0.25954185235923,0.813,0.29345408325389,475.6,2948.8,0.045984807379273,0.04396316949812,88.4,0.091473509933775,56,0.05794701986755,0.064615384615385,5.0277919863598,1.617723863402,0.43987996688742,3.0513245033113,-19.2594,-0.062547508628066,966.4,0.647428372582,0.15072463768116,NA,29.9,135.6,352421,1146.9,93.1,31.673469387755,1146.9,0.8,4.2714305497854
"8",2005-01-31,31,0.56,0.3209,0.19367454514538,NA,1044.7,20.9,178.1,0.058846852800264,0.19191810344828,0.17047956351106,11.4584,0.34901838578997,43.14962962963,21.4,0.010771219302025,31,354.6668,259.6764,376.0668,0.26783,NA,2848.4,6.9473170731707,3.0693965517241,8.0311999882707,7.5741862881807,3.6810545360558,0.2387,248.718,3026.5,0.068153536900546,2.72,34.132352941176,NA,0.296,0.23230345671459,0.7682,0.28122906097444,410,2912.6,0.039105953443659,0.037634230959855,67.5,0.08723184285345,57.5,0.074308606875162,0.45925925925926,6.1421341206242,1.8076929044671,0.45834427500646,3.7640217110364,10.9584,0.04220016744613,773.8,0.63335705111219,0.14234500210882,0,92.84,113.9,129216,928,84.8,34.346698113208,928,0.9,5.1462336337358
"9",2004-01-31,30.9,0.82,0.3844,0.070585401108167,NA,703.3,18.7,156.7,0.074445341821464,0.1456725852933,NA,32.0216,0.42663891779397,46.330357142857,15.5,0.0017641870038224,3.708,277.3653,215.1689,292.8653,0.22424,NA,1948.2,7.5394736842105,1.8110997490006,7.0239492441251,6.6522042742308,3.2682435832914,0.2,179.9473,2104.9,0.077349637423575,2.03,33.507389162562,NA,0.4546,0.33724232707284,0.5369,0.22550831792976,258.4,2075.6,0.014116400077086,0.013919901182954,44.8,0.075155175306157,39.8,0.066767320919309,0.082767857142857,5.3799896319336,2.3165178571429,0.4653,3.4819661130683,35.2216,0.16369281278053,596.1,0.83269709133436,0.116122343183,0,68.02,29.3,136902,1075.7,61.1,33.9705400982,1075.7,0.9,5.070826306914
"10",2003-01-31,30.6,0.66,0.4406,0.13913967073818,NA,627.1,13.6,168.1,0.13706784083496,0.41526679841897,NA,9.2,0.3281,40.068259385665,11.4,0.0023458262350937,2.754,188.4,134.0391,199.8,0.28854,NA,1058.3,NA,NA,5.6173036093418,5.2967967967968,2.6143774703557,0.18,131.8391,1226.4,0.071121033328018,1.35,28.259259259259,NA,0.1182,0.27655376520881,0.5049,0.20028703556052,208.5,1174,0.044633730834753,0.042726679712981,29.3,0.072381422924901,34.8,0.08596837944664,0.093993174061433,3.6212214682295,2.2260144103147,0.46541501976285,2.9001976284585,2.2,0.016413125654175,404.8,0.64287320863309,0.090376310919186,0,38.15,52.4,73803,1220.4,39.9,29.423558897243,1220.4,0.9,5.0757793764988
