"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,37.7,2.19,0.7076,0,135.8,168.9,1.1,84.5,0.2732,0.5027,0.5003,-0.63,0.77,12.73,3.8,0,0,25,23.3,29,0.0603,0.0581,224.8,4.38,1.37,9.06,7.86,1.34,NA,26.63,309.3,0.0261,0.41,19.9,0.14,0.175,0.2693,NA,0.4465,0.1243,51.3,309.3,0,0,24.3,0.1446,24.1,0.1434,0,2.28,NA,0.1475,1.84,-3.33,-0.1429,168.1,0.4543,0.1789,81.4,8.16,0,74805,163.7,25.3,12.23,163.7,1.15,2.28
"2",2010-12-31,37.4,2.05,0.7037,0,116.5,142.9,1.4,85.5,0.34503631961259,0.79166666666667,0.59832050384885,4.792,0.40855478186727,22.944444444444,2.5,0,0,12.3,9.9101,14.8,0.1943,0.19402985074627,162.3,5.2354838709677,1.055266579974,13.195121951219,10.966216216216,1.5027777777778,NA,6.2181,247.8,0.033589923023093,0.39,16.717948717949,0.485,0.0635,0.52144702842377,NA,0.4742,0.10076976906928,31,247.8,0,0,10.8,0.1,11.3,0.10462962962963,0,2.1270386266094,NA,0.11388888888889,2.2944444444444,3.692,0.37255257883485,108,0.31968096774193,0.092703862660944,63.1,6.52,0,267746,153.8,17.7,14,153.8,1.15,2.1270386266094
"3",2009-12-31,37.5,1.19,0.6639,0,108.4,132.7,2.2,67.6,0.20787207872079,0.66470009832842,0.50941974378297,1.008,0.45187528242205,27.327731092437,2.5,0,0,12.7,9.8321,15.2,0.22582,0.22222222222222,257.6,6.3137254901961,2.4119850187266,20.283464566929,16.947368421053,2.5329400196657,0.1,9.1241,325.2,0.039186134137152,NA,NA,NA,-0.2422,0.21951219512195,NA,0.5017,0.11755840241145,40.8,325.2,0,0,11.9,0.11701081612586,20.1,0.1976401179941,0,3,2.7327731092437,0.12487708947886,3.1976401179941,0.708,0.072005533898901,101.7,0.2409825,0.10977859778598,58.1,8.13,0,120158,106.8,8.7,37.379310344828,106.8,1.2,3
"4",2008-12-31,37.1,1.47,0.6916,0,95.3,127.9,2.8,57.7,0.2379381443299,0.43383458646617,0.45113369820172,-4.7314,0.30075187969925,9.9794238683128,3.4,0,0,28.1,23.604,31.5,0.16,NA,184.8,4.9148936170213,1.8704453441296,6.576512455516,5.8666666666667,1.3894736842105,0.1,28.9354,242.5,0.032838154808444,0.25,25.12,NA,0.1102,0.46712802768166,NA,0.4046,0.12197028928851,37.6,242.5,0,0,24.3,0.18270676691729,18.4,0.13834586466165,0,2.5445960125918,0.99794238683128,0.21127819548872,1.8233082706767,-5.3314,-0.22586970731353,133,0.62776595744681,0.25498426023085,63.2,6.28,0,217559,98.8,9.9,24.494949494949,98.8,1.3,2.5445960125918
"5",2007-12-31,37.2,1.2,0.6357,0,71.5,100.7,1.1,38.8,0.10679878887971,0.32333333333333,0.38530287984111,-1.7227,0.35236746893189,17.3,3,0,0,30.9,20.9035,33.9,0.32351,NA,324.5,9.9235474006116,2.4001479289941,10.501618122977,9.5722713864307,2.7041666666667,0.2333,24.5262,363.3,0.020854021847071,0.75,13.773333333333,NA,0.5497,0.65045766590389,NA,0.3811,0.1648460774578,32.7,363.3,0,0,21,0.175,13.6,0.11333333333333,0,5.0811188811189,0.74153450492928,0.2575,3.0275,-3.6227,-0.17330397116291,120,0.63925201834862,0.29370629370629,47.2,10.33,0,213548,135.2,24.8,14.649193548387,135.2,1.4,5.0811188811189
"6",2006-12-31,36.5,1.81,0.4958,0.04954954954955,42.2,62.6,0.5,14.8,0.014360566660198,0.19448094612352,0.23642172523962,-4.7313,0.43565954013715,81.619047619048,1.2,0,0,19,12.8294,20.2,0.32477,NA,1015.8,34.317567567568,8.9105263157895,53.463157894737,50.287128712871,13.348226018397,0.325,18.2606,1030.6,0.022364217252396,0.67,37,NA,0.3792,0.59229938826916,NA,0.5489,0.25079872204473,29.6,1028.4,0.0021392454297938,0.0021346788278673,12.6,0.16557161629435,9.5,0.12483574244415,0,24.369668246445,2.5113553113553,0.24967148488831,13.513797634691,-5.4313,-0.42334694834067,76.1,0.43342466216216,0.29857819905213,32.2,24.79,2.2,714717,114,22.9,44.908296943231,114,1.35,23.211711711712
"7",2005-12-31,36.2,2.82,0.6637,0.11188811188811,25.4,41.5,0.5,17,0.038305543037404,0.31135531135531,0.40963855421687,-0.6571,0.20491185776706,57.220779220779,1.1,0,0,10.8,7.2147,11.9,0.33197,NA,426.8,36.793103448276,6.2397660818713,39.518518518518,35.865546218487,7.8168498168498,0.275,8.4719,443.8,0.024096385542169,0.33,35.909090909091,NA,0.695,0.2896231285493,NA,0.4836,0.1855421686747,11.6,440.6,0.0072628234226055,0.007210455159982,7.7,0.14102564102564,2.6,0.047619047619048,0,17.346456692913,2.0807556080283,0.1978021978022,8.0695970695971,-1.2571,-0.17424683981575,54.6,0.62195896551724,0.30314960629921,22.9,11.85,3.2,285009,68.4,11.3,38.991150442478,68.4,0.85,15.517482517483
"8",2004-12-31,33.6,1.78,0.8716,0,NA,20.3,0.3,8.1,0.023622047244094,0.17494600431965,0.39901477832512,1.0421,0.40844424047728,103.90909090909,0.7,0,0,5.5551,3.5205,6.2551,0.36626,NA,334.8,52.3125,7.2311015118791,60.269159040014,53.524495290228,11.197324414716,0.3507,2.8783,342.9,0.039408866995074,0.19,51.894736842105,NA,0.1837,0.38820912124583,NA,0.4932,0.068965517241379,6.4,342.9,0,0,3.3,0.11036789297659,1.9,0.063545150501672,0,29.817391304348,2.9629053581149,0.18578862876254,11.468227424749,0.6421,0.18240158302818,29.9,0.550074437375,0.25384615384615,15.2,9.86,0,325522,46.3,5.3,64.698113207547,46.3,0.9,26.376923076923
"9",2003-12-31,30.4,2.33,1.0683,0,NA,13.4,0.1,4.8,0.022028453419,0.17910447761194,NA,0.0681,0.43620705794253,272.375,1.1,0,0,2.2282,1.4643,3.3282,0.34283,NA,213.1,21.525252525253,7.9514925373134,95.639022157196,64.029181201681,9.3056768558952,NA,2.3962,217.9,0.067164179104478,0.1,68.5,NA,0.1285,0.5736160188457,NA,0.0219,0.11940298507463,9.9,217.9,0,0,0.8,0.034934497816594,0.4,0.017467248908297,0,68.09375,NA,0.0973,9.5152838427948,-0.9319,-0.63640397059303,22.9,0.14790772514141,0.089887640449438,12.7,6.85,0,477253,26.8,3,72.633333333333,26.8,0.85,24.483146067416
"10",2002-12-31,28.4,2.3,1.0726,NA,NA,11.1,0,2.6,0.033942558746736,0.13756613756614,NA,5.4,0.4724,NA,1.4,0,0,-3.9213,-3.9213,-2.5213,0,NA,74,NA,NA,NA,NA,3.9153439153439,NA,-2.5213,76.6,0.11711711711712,NA,NA,NA,-0.2958,0.87134502923977,NA,0.0409,0.1981981981982,3.8,73,0.049315068493151,0.046997389033943,-4.5,-0.23809523809524,0.3,0.015873015873016,NA,NA,NA,-0.20747407407407,3.8624338624339,-1.4,NA,18.9,-1.0319105263158,NA,15.6,2.5,3.6,68928,19.9,-1.8,NA,19.9,0.85,19.473684210526
