"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Trailing Sales Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Revenues","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta"
"1",2011-12-31,0,0.61,0.156,NA,NA,NA,0,0,NA,NA,NA,0.8,0,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,0,1.81,35.76,NA,0.1228,0.026,0.9713,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,0,64.72,0,1152936,53055.3,426.4,NA,53055.3,1.1
"2",2008-12-31,0,1.66,0.5153,NA,NA,NA,0,0,NA,NA,NA,0.35707354938871,0,NA,0,NA,NA,NA,0,0,0,NA,0.0477,NA,0,2.64,16.568181818182,NA,0.40256089943785,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,43.74,0,3304798,932.7,186.5,NA,932.7,1.15
"3",2007-12-31,0,1.37,0.3563,NA,0,0,0,0,NA,NA,NA,0.47151277013753,0,NA,0,0,0,0,0,0,0,NA,0.07,NA,0,2.73,12.296703296703,NA,0.5005049776367,NA,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,33.57,0,2467053,936.5,197,0,936.5,1.05
"4",2006-12-31,0,1.06,0.219,NA,0,0,0,0,NA,NA,NA,0.76712328767123,0,NA,0,0,0,0,0,0,0,NA,0.0606,NA,0,2.67,15.40074906367,NA,0.28830401503961,NA,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,41.12,0,1816250,662.3,159.1,0,662.3,1.05
"5",2005-12-31,0,0.83,0.2164,NA,0,0,0,0,NA,NA,NA,0.55452865064695,0,NA,0,0,0,0,0,0,0,NA,0.0725,NA,0,2.41,17.560165975104,NA,0.17416829745597,NA,0.9129,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,42.32,0,883500,406.1,NA,NA,406.1,0.75
"6",2004-12-31,0,0.42,0.2515,NA,NA,0,0,0,NA,0,0,0.33399602385686,0,0,0,NA,NA,NA,0,0,NA,NA,0.0763,NA,0,NA,NA,0,0.14490724536227,NA,0.8846,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,31.99,0,382300,262.8,106,0,262.8,0.65
"7",2003-12-31,0,0.26,0.2462,NA,NA,0,0,0,NA,0,0,0.21121039805037,0,0,0,NA,NA,NA,0,0,0,NA,0.111,NA,0,NA,NA,0,0.19642857142857,NA,0.8128,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,26.82,0,128600,223.9,91.1,0,223.9,0.65
"8",2002-12-31,0,0.13,0.3175,NA,NA,0,0,0,NA,NA,0,0.0894,0,NA,0,0,0,0,0,0,NA,NA,0.0817,0,0,NA,NA,0,0.35365853658537,NA,0.7995,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,0,0,22.5,0,295702,199.5,84.5,0,199.5,0.55
"9",2001-12-31,NA,-0.02,0.4049,0,NA,0,0,0,NA,NA,0,-0.0086,0,0.0822,0,NA,NA,NA,0,0,NA,NA,0.0843,NA,0,1.2,9.5083333333333,NA,0.15533165407221,0,0.654,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,11.41,0,169500,0,51.6,0,0,0.55
"10",2000-12-31,NA,0.6,0.5448,NA,NA,0,0,0,NA,NA,NA,0.33039647577093,0,NA,0,NA,NA,NA,0,0,NA,NA,0.07,NA,0,NA,9.688,NA,0.36793080505655,NA,0.6332,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,12.11,0,NA,NA,NA,NA,NA,NA
"11",1999-12-31,NA,0.65,0.5224,NA,NA,0,0,0,0,NA,NA,0.18663859111792,0,0,0,0,0,0,0,449,NA,1.8945147679325,0.04,0,449,NA,5.609756097561,0,0.43038779402416,NA,0.5953,0,449,0,0,NA,0.1084388185654,NA,0,NA,0,1.8945147679325,NA,NA,0,NA,NA,NA,NA,25.7,17.470817120623,237,NA
