"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,2835.5,0.41,0.1604,0.6053,35970,230461,16244,13954,0.0779,0.1259,0.0605,-270.69,0.64,20.39,16496,0.0471,5841.13,16665,16212.71,33161,0.0271,0.5734,165286.4,2.14,1.45,9.92,4.98,1.49,0.085,0.025,16735.4,179240.4,0.3837,2.72,15.91,-0.025,0.07,0.1399,NA,0.5386,0.4597,77168,124088.4,0.4445,0.3077,6086.8,0.0549,-8927,-0.0805,0.4185,3.45,2.4,0.1503,1.12,-522.69,-0.0322,110875,0.2101,0.1692,31839,43.27,55152,14104720,114237,13957,8.89,114237,0.7,1.97
"2",2010-12-31,2828.1,0.51,0.1728,0.57784880093692,38569,220005,16458,7213,0.043974333572114,0.067686388589124,0.03278561850867,-168.634,0.8,17.778585813381,16405,0.0509,5661.7852,19250,15503.95,35655,0.1946,0.6381167216149,156814.5,1.8635115864528,1.4408594740614,8.1462077922078,4.3981068573833,1.4715384976305,0.06,0.03,15619.584,164027.5,0.39867730278857,2.46,16.308943089431,-0.015,-0.0089,0.10988556459396,NA,0.5337,0.45823504011272,84150,111233.5,0.4746232025424,0.32186066360824,6256.6,0.058711584478956,-7920,-0.074320837047811,0.9049300179011,2.8840130674894,2.9630976355635,0.1806409233801,1.0438089428987,-115.634,-0.0074583560487156,106565,0.18424183006536,0.16221836189686,27157.6,40.12,52794,16088093,108834,6168,18.033965629053,108834,0.7,1.7953383754912
"3",2009-12-31,2835.7,0.56,0.2013,0.59941075658085,41606,227251,17047,2499,0.015454335191482,0.023180097951914,0.010996651279862,9.2445,0.8,14.613695811903,16215,0.0554,5509.3195,19480,13031.9252,35695,0.33101,0.3310066850177,159203.2,1.5706243895702,1.4842598894286,8.1726488706366,4.4600980529486,1.4767289997032,0.04,0.03,12190.6807,161702.2,0.40248887793673,2.26,15.83185840708,-0.025,0.1093,0.16147765768672,NA,0.5266,0.44577581616803,101363,99446.2,0.62602693717809,0.38500403828767,6805,0.063121475215197,-1822,-0.016900415553577,0.80959874797943,2.3901889150603,3.6534239529757,0.18069159988127,0.92243803799347,841.2445,0.064552590227253,107808,0.12856688535264,0.16355814065279,29491,35.78,62256,16957959,107261,6246.5,15.920307372128,107261,0.7,1.5568947256937
"4",2008-12-31,2840.6,0.59,0.2048,0.55469901129642,41706,202352,17238,10291,0.070319317073771,0.10570700741623,0.050856922590338,-421.8936,0.546875,13.046952315135,14505,0.0572,5399.3768,18067,11848.6999,32572,0.34418,NA,136055.7,1.6320090683364,1.2913166037091,7.5306193612664,4.1770754021859,1.3975357971938,0.04,0.04,9537.5936,146346.7,0.42770024511742,2.45,13.522448979592,-0.03,0.0527,0.14229378902399,NA,0.5793,0.36178540365304,83367,94394.7,0.55036988305487,0.3549926305137,7235,0.074316412268628,-5129,-0.05268401914662,0.74628567242571,2.2633362106172,3.2617380787837,0.18558045894365,0.96960268710068,2311.1064,0.19505147285162,97354,0.14212697998009,0.17347623843092,25981,33.13,51952,16885741,105362,6884,13.712187681581,105362,0.7,1.5625648636529
"5",2007-12-31,2871,0.72,0.2016,0.38118133548655,50581,186959,17538,3397,0.027292396613075,0.036343600552055,0.018169759145053,213.7273,0.5952380952381,13.613933469507,14377,0.056613928425601,5282.64,16727,10774.028,31104,0.35589,NA,121069.9,1.5454219374274,1.2539736299703,7.2379924672685,3.8924221965021,1.2952946966374,0.045,0.05,7399.3006,124466.9,0.45621767339363,2.67,12.696629213483,-0.035,0.0748,0.32464871194379,NA,0.6085,0.32642985895303,78341,93309.9,0.33390883496821,0.250323580004,6854,0.073329125164493,-6486,-0.069391990927473,0.77073825503356,1.8447618671043,3.0253185487793,0.17895772930062,0.99829783136655,3374.7273,0.31322800919521,93469,0.13752732247482,0.13550542693897,24850,33.9,31157,16027380,96549,7216.1,12.930793641995,96549,0.75,1.5227544104333
"6",2006-12-31,2909.9,1.07,0.1728,0.4283005088579,48535,188804,17101,5653,0.034336833831713,0.064133690324923,0.029941102942734,355.7524,0.8,21.304218568344,14545,0.039018653228629,5005.028,14214,9486.9922,28759,0.33256,NA,158980.7,2.0062428227099,1.7237978032463,11.18479667933,5.528032963594,1.8036474405518,0.04,0.055,6575.2398,164633.7,0.43619838562742,2.62,16.259541984733,-0.03,0.1835,0.13000977517106,NA,0.6284,0.32707993474714,79243,128272.7,0.28346639620122,0.22086000618342,6021,0.068308676710837,-7680,-0.087130150662552,0.83126191662515,2.6428906974348,5.326054642086,0.16125884915593,1.455262978762,2911.7524,0.30692050294212,88144,0.11972025491211,0.12405480581024,24416,42.6,36361,11014408,92227,6339,20.235478782142,92227,0.95,1.9392397757256
"7",2005-12-31,2926.8,0.71,0.1625,0.49574278815605,39680,168130,15324,3274,0.022126659921888,0.043705780269657,0.019473026824481,829.7433,0.8,15.236512375892,14047,0.043516675951735,4741.416,14470,9992.6926,28517,0.30942,NA,144692.3,1.9185888936035,1.6442119975909,9.9994678645473,5.0738962723989,1.9315485248965,0.02,0.05,7885.9493,147966.3,0.44789746029858,2.52,14.777777777778,-0.02,-0.0054,0.12980420594634,NA,0.6143,0.31483375959079,75416,108956.3,0.35803345010798,0.26364111287503,7151,0.095461220130824,-4748,-0.063382725937792,0.66304237169627,2.7458744959677,7.6182561879457,0.19316513149112,1.454496061941,2106.7433,0.21082838726087,74910,0.13250096266044,0.18021673387097,20997,37.24,39010,9405000,88001,7311.8,14.901433299598,88001,1.05,1.8803698055661
"8",2004-12-31,2770,1.44,0.3032,0.51110937561014,NA,165958,13259,4547,0.036995301344507,0.061405285689206,0.027398498415262,-178.6494,0.94986807387863,11.519143368682,13910,0.05392809587217,4487.4,13120.5136,9421.316,27030.5136,0.28194,NA,118360.5,1.6375276701716,1.598407811044,9.0210264329896,4.3787736241904,1.660430958293,0.005,0.03,10250.9654,122907.5,0.44664312657419,2.55,11.780392156863,NA,0.0519,0.17103016505407,NA,0.5431,0.28590366237241,72280,83640.5,0.46947352060306,0.31948416492077,7261,0.10186159392843,-4604,-0.064587629589103,0.61801404765184,2.2268503727369,23.038286737364,0.18406230938653,1.173358304224,-829.6494,-0.088060880648682,71283,0.13034471493658,0.19331735889244,21088,30.04,39267,12584900,74049,7261,11.519143368682,74049,0.95,1.5997956447603
"9",2003-12-31,2769.4,1.48,0.3268,0.57555234254116,NA,165968,11884,2871,0.018089198461378,0.04074767946862,NA,-206.928,0.90575275397797,15.563512771217,13617,0.038132485944757,4320.264,27290.5056,18718.012,40907.5056,0.31412,NA,155842.5,2.051233958539,2.2118496125351,5.7105024833252,3.8096309641525,2.3001904002834,0.015,0.03,20657.94,158713.5,0.45379832256821,2.66,15.37969924812,0.04,-0.0067,0.13491743858236,NA,0.5652,0.2833618528873,75975,113333.5,0.40041117586592,0.28592400772461,7282,0.10748022198607,-5181,-0.076470067304286,0.59327986816809,3.3865266240363,10.375675180811,0.4028,1.6727698075334,-1939.928,-0.10363963887308,67752,0.24637067431297,0.21759397597562,18781,40.91,45380,2163700,70458,7282,15.563512771217,70458,1,2.0129556350354
"10",2002-12-31,2745.8,1.12,0.3453,0.62378453197993,NA,167468,11984,3480,0.023443626163087,0.051460258780037,NA,-3177,0.7155,11.285994498266,13426,0.0448117148604,4228.532,18268,12699.7309,31694,0.30481,NA,144961.2,NA,NA,7.9352529012481,4.5737742159399,2.1436036968577,-0.005,0.01,14141.7309,148441.2,0.44483722263358,2.3,14.765217391304,NA,-0.004,0.17517570613977,NA,0.5241,0.2790921250627,83215,94362.2,0.57310024564921,0.36431260323953,8361,0.12363770794824,-318,-0.0047024029574861,0.50574476737232,2.893126073093,NA,0.27013678373383,1.3953744916821,-1442,-0.11354571282523,67625,0.1526134821847,0.25634657836645,0,33.96,54079,7562591,67477,8361,11.285994498266,67477,1,1.742008051433
