"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,87.5,1.47,0.3708,0.2304,1845.8,18714.3,0,196,0.0839,0.0105,NA,0.8,11.94,0,0.0196,35,533,384.24,533,0.2795,0.2793,2140.1,0.97,4.01,4.01,NA,384.24,2336.1,0,1.75,11.74,NA,NA,0.1391,0.028,0.8742,0.0292,2202.4,1783.5,0.3098,0.2365,149.4,0,0.213,0.97,NA,0,0,NA,0.1745,0.0809,80.8,20.55,552.6,585409,NA,164.3,10.86,NA,1.4,0.97
"2",2010-12-31,86.9,2.26,0.6666,0.24734742381801,1773.4,18038.1,0,159.8,0.068206069401169,0.0088590261723796,NA,0.50630063006301,23.72102425876,0,0.0099,17.425,554.4,469.2552,554.4,0.15358,0.1539338654504,2183.1,0.9939446366782,3.9377705627706,3.9377705627706,NA,469.2552,2342.9,0,1.68,12.136904761905,NA,NA,0.24665090622537,0.028,0.8582,0.030557542091462,2196.4,1760.1,0.3311175501392,0.24875154722779,74.2,0,0.23483814016172,0.99250028194429,NA,0,0,NA,0.21364744490985,0.041840532310815,112.6,20.39,582.8,613728,NA,141.8,12.412552891396,NA,1.35,0.99435531788473
"3",2009-12-31,78.4,1.8,0.6949,0.2782427767532,1526.3,17739.2,0,171.2,0.081114375059225,0.0096509425453233,NA,0.48568139300619,NA,0,0.002,3.0444,514.6,514.6,514.6,0,NA,1939.4,0.99789040391047,3.7687524290711,3.7687524290711,NA,514.6,2110.6,0,0.85,23.176470588235,NA,NA,0.3136403127715,0.029,0.6609,0.031388112203482,1943.5,1522.2,0.38654578898962,0.27878328437411,-75.9,0,NA,0.99731376531481,NA,0,0,NA,0.26478003601749,-0.049728100635524,180.8,19.7,588.4,550941,NA,10.7,142.26168224299,NA,1.35,0.99806119071263
"4",2008-12-31,52.9,1.93,0.6569,0.353515625,1257.8,17583.5,0,259.2,0.170022958347,0.014741092501493,NA,0.3288171715634,NA,0,0.0033,2.7611,351.3,351.3,351.3,0,NA,1265.3,0.75029648956357,3.6017648733276,3.6017648733276,NA,NA,1524.5,0,-0.26,NA,NA,NA,0.66841186736475,0.038,0.6634,0.032069838200586,1686.4,836.7,0.82203896259113,0.45116431616924,-318.8,0,NA,0.66520909524567,NA,NA,NA,NA,0.20831356736243,-0.25345841946255,250.2,11.87,687.8,1107719,NA,-299.3,NA,NA,1.35,0.78356291118421
"5",2007-12-31,52.5,0.81,0.3106,0.27253686327078,1736.6,17202,0,306.7,0.23773350903031,0.01782932217184,NA,0.61815840309079,5.7200357781753,0,0.098514464425332,63,592,412.7306,592,0.30282,NA,983.4,0.47267483777938,1.6611486486486,1.6611486486486,0.02,NA,1290.1,0,1.33,10.360902255639,NA,NA,0.54801508094921,0.043,0.8433,0.042320660388327,2080.5,639.5,1.0173573103988,0.50430199209364,111.8,0,0.56350626118068,0.36824830127836,2.8600178890877,NA,NA,NA,0.19838046623408,0.064378670966256,361.3,13.78,650.6,809549,NA,-22.8,NA,NA,1.2,0.54042392761394
"6",2006-12-31,56.5,0.3,0.1394,0.24887946214183,1876.9,17097.5,0,311.9,0.13007757110685,0.018242433104255,NA,0.8,13.362678705794,0,0.038177825328003,67.8,617.9,428.2232,617.9,0.30697,NA,2085.9,0.95381590379075,3.3757889626153,3.3757889626153,0.035,NA,2397.8,0,3.06,9.7745098039216,NA,NA,0.25006099048548,0.0409,0.6925,0.048252668518789,2186.9,1775.9,0.35018863674757,0.25936274918676,132.9,0,0.51015801354402,0.94618786296553,3.8179082016554,NA,NA,NA,0.19581290273904,0.070808247642389,310.2,29.91,621.9,556700,NA,145.4,12.213892709766,NA,0.85,0.95958059868737
"7",2005-12-31,53.2,0.67,0.1495,0.28010139416983,1647.2,17836.6,0,293.7,0.091052827380952,0.016466142650505,NA,0.8,13.777718550107,0,0.022229272255968,57.456,659.2,445.494,659.2,0.32419,NA,2931.9,1.4700661853189,4.4476638349515,4.4476638349515,0.03,NA,3225.6,0,3.21,15.177570093458,NA,NA,0.054237642386874,0.042,0.5864,0.039166657322584,1994.4,2584.7,0.24795914419468,0.19869171626984,187.6,0,0.30626865671642,1.5691476444876,4.5925728500355,NA,NA,NA,0.22337241877256,0.1138902379796,188.4,48.72,640.9,163800,NA,141.3,18.29228591649,NA,0.9,1.4097285957782
"8",2004-12-31,53.8,0,0,0.30873925501433,NA,17020.6,0,266.5,0.081252477209671,0.015657497385521,0,NA,14.108387799564,0,0.021331058020478,53.8,NA,NA,NA,0.31626,NA,3013.4,1.5318997509023,NA,NA,0.535,NA,3279.9,0,3.72,12.602150537634,NA,0,0.084439723844928,0.0409,0.6568,0.040785871238382,1967.1,2590.3,0.26622398949929,0.21025031250953,183.6,0,0.29302832244009,1.6776554404145,0.26370818316943,0,NA,NA,NA,0.11891191709845,120.6,46.88,689.6,322800,NA,188.8,13.719809322034,0,0.9,1.4684366045845
"9",2003-12-31,46.3,0,0,0.31990325625295,NA,14568.7,0,209.2,0.065289307783534,NA,0,NA,16.310661764706,0,0.018436873747495,42.596,NA,NA,NA,0.32825,NA,2995,2.0154777927322,NA,NA,0.08,NA,3204.2,0.006562013082842,3.94,12.664974619289,0.11,0,0.11550802139037,0.04,0.6122,0.022713076664356,1486,2661.9,0.20372666140727,0.16924661381936,163.2,0,0.26100490196078,2.3088732760864,2.0388327205882,0,NA,NA,NA,0.1415560759823,111.3,49.9,542.3,76300,NA,0,NA,0,0.9,1.8901604530439
"10",2002-12-31,45.6,0,0,0.19871546854446,NA,13468,0,266.5,0.11601584606678,NA,0,0,12.751875,0,0.018773709748566,38.304,419.2,286.6825,419.2,0.31612,NA,2030.6,NA,4.8439885496183,4.8439885496183,0.09,286.6825,2297.1,0.0062889812889813,3.73,12.104557640751,NA,0,0.16376306620209,0.036,0.6255,0.022081972081972,1025.8,2040.3,0.12586384355242,0.11179313046885,160,0,0.2394,1.9703524867214,1.416875,0,0,0,0.27947211542211,0.15451472718494,146.2,45.15,256.8,167870,0,160,12.751875,0,0.85,1.9795281731332
