"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,230.5,0.15,0.1189,0.5711,3993.7,13862.1,830.8,14.1,0.001,0.0031,0.001,-33.1,0.32,16.49,336.4,0.037,313.48,887,586.28,1224,0.3393,0.3392,13776.2,1.48,3.21,15.53,11.26,3.07,0.065,0.035,124.99,13790.3,0.733,2.25,16.38,0.1,0.03,0.1047,NA,0.6409,0.0319,9296.4,8473.5,0.6275,0.3855,514,0.1146,750.1,0.1672,0.5579,2.12,2.54,0.1978,1.89,461.3,0.7868,4486.4,0.0631,0.1287,0,36.85,5316.8,1825122,4288.4,561.9,15.08,4288.4,0.6,1.48
"2",2010-12-31,233.8,0.24,0.139,0.56917871355021,3832.5,13059.8,798.2,24.5,0.001878215005788,0.0058298631766805,0.0018759858497067,44.4322,0.8,17.517559262511,317.4,0.0348,277.7388,810.4,523.3401,1127.8,0.35422,0.35421686746988,13019.8,1.467631575981,2.9172753753081,16.065893385982,11.544422769995,3.0981082688876,0.085,0.045,-1.8921,13044.3,0.73519502595752,2.17,16.110599078341,0.085,0.0183,0.13433792882334,NA,0.6903,0.033836659060629,8871.3,7981,0.63441924570856,0.38816187913495,455.6,0.10841165972635,716.8,0.17056513979774,0.60961106233538,2.0824527071102,2.0608893250013,0.19283759666865,1.8991076740036,525.2322,1.0036154440944,4202.5,0.058992493997498,0.11887801696021,0,34.96,5063.3,1520262,4463,536.1,14.887147920164,4463,0.65,1.4663436677983
"3",2009-12-31,116.9,0.39,0.1596,0.58347638232031,3566.9,12697.9,817.7,20.9,0.0017529586419184,0.0050631071489135,0.0016459414548862,8.5788,0.8,18.303646934461,349.4,0.0354,245.1839,663.7,421.5955,1013.1,0.36478,0.36478092999832,11901.8,1.3932292276356,2.8473205741627,17.932499623324,11.747902477544,2.8832578308583,0.095,0.03,-55.2833,11922.7,0.71433071610266,3.92,15.015306122449,0.07,-0.0683,0.13146671611348,NA,0.6843,0.03480103009159,8542.6,6926.1,0.72141609275061,0.41908292584733,378.4,0.091668887327697,679.7,0.16465999660844,0.64794910147992,1.9417701645687,1.9266996773117,0.16078393371933,1.677874948521,476.8788,1.1311287003478,4127.9,0.049352130967153,0.10608651770445,0,58.86,4996.6,695126,4180,443.5,15.616910935738,4180,0.65,1.3922695159689
"4",2008-12-31,116.9,0.36,0.1488,0.58679742932501,3336.9,12617.8,1137.1,32.5,0.0030876219610675,0.0073346874294742,0.0025757263548321,-22.6055,0.6989247311828,16.084213451918,332.3,0.0313,181.1362,660.6,412.003,992.9,0.37632,NA,10493.4,1.3046299980107,2.4625457617573,15.884650317893,10.568435894854,2.3681787406906,0.08,0.04,-370.1915,10525.9,0.67499881120322,3.61,13.803324099723,0.06,0.0458,0.16461520763833,NA,0.6915,0.035021953113855,8043.2,5787.1,0.81885573084965,0.45020378304943,359.8,0.081200631911532,589.9,0.13313021891221,0.50343588104503,1.7342743264707,2.0105266814897,0.14908598510494,1.3060482960957,782.1945,1.8985164516777,4431,0.051223767654665,0.10782462764842,0,49.83,4738.8,962596,4261.2,364.4,15.88117453348,4261.2,0.65,1.3034040392783
"5",2007-12-31,116.9,0.47,0.1302,0.58579067181958,3099.2,11720.3,1235.3,27.4,0.0029617779315116,0.0064656189532304,0.0023378241171301,-19.1054,0.79877112135177,14.288421676044,361.2,0.02616513305148,126.252,628.5,383.0456,989.7,0.39054,NA,9223.8,1.2302008589186,2.1063232170994,14.675894988067,9.3197938769324,2.1765538722922,0.08,0.055,-471.949,9251.2,0.65537571563868,3.02,13.900662251656,0.09,0.0607,0.175664500886,NA,0.6794,0.037703813042328,7497.8,4825.2,0.91726767802371,0.4784244206157,337.7,0.079687573741092,573,0.13521166643069,0.37385845424933,1.5569179143005,1.7860527095055,0.14830808438341,1.1386096559536,854.9946,2.2320960460383,4237.8,0.051087733735229,0.10896360351058,NA,41.98,4426,1141032,4379.1,353.9,13.634359988697,4379.1,0.65,1.2293626747462
"6",2006-12-31,117,0.45,0.1133,0.59460660427139,2889,11130.2,976.4,37,0.003692909613542,0.0092583324992493,0.0033242888717184,-24.0541,0.8,18.288810965891,365.5,0.020393223175068,117,568.5,364.9258,934,0.35809,NA,9982.2,1.3992430613961,2.3856320053533,17.558839050132,10.687580299786,2.4977980182164,0.08,0.06,-221.9201,10019.2,0.63363641264308,2.71,17.523985239852,0.08,0.0475,0.1029058335154,NA,0.6546,0.039702790605739,7134,5737.2,0.74635710799693,0.42737943149154,313.7,0.078495646081473,511.6,0.12801521369232,0.37296780363405,1.9858774662513,2.2861013707364,0.14225302772495,1.4355920328295,586.8459,1.6081238571317,3996.4,0.051153046677881,0.1085842852198,NA,47.49,4282,611900,4184.3,319.2,17.973684210526,4184.3,0.85,1.3971830985916
"7",2005-12-31,117,0.47,0.0957,0.59778791607888,2710.5,10462,794.8,73.2,0.0076572241516381,0.019184903682348,0.006996750143376,-35.2437,0.8,18.294947506562,373,0.019303122141922,107.64,562.9,377.9142,935.9,0.32863,NA,9486.4,1.4328610699937,2.3503295178633,16.852726949725,10.13612565445,2.4862796488009,0.065,0.05,-8.6421,9559.6,0.60819155037278,2.52,18.833333333333,0.075,0.1121,0.1213446926088,NA,0.6156,0.042238577709807,6620.6,5576.3,0.71432670408694,0.41668061425164,304.8,0.079884680906827,609.3,0.15969073515922,0.35314960629921,2.0572957019,2.8146073087018,0.14752981260647,1.4614860437688,386.5563,1.0228678424039,3815.5,0.057081559526327,0.11245157719978,NA,47.46,3983.3,341500,4036.2,326.5,17.079019908116,4036.2,0.8,1.4281275209896
"8",2004-12-31,117,0.19,0.1365,0.59318207472627,NA,9565.4,666.8,35.6,0.0043053405572755,0.010054225033891,0.0037217471302821,18.7837,0.27838827838828,20.751808318264,384.2,0.022512151445382,102.96,530.1881,331.1979,914.3881,0.37532,NA,8233.2,1.3287713238973,2.3252372345233,15.528826889096,9.0040536942654,2.3995803095217,0.04,0.045,29.8142,8268.8,0.61713049114517,2.45,15.955102040816,0.095,-0.1433,0.10083580479914,NA,0.6272,0.046197754406507,6196.1,4590.3,0.80136374528898,0.44486503482972,221.2,0.064469120690158,587.5,0.17122788610067,0.46546112115732,1.8417188252287,5.187952079566,0.15452424878319,1.3378508350092,301.3837,0.90998061455907,3431.1,0.053452644977002,0.087680355160932,0,39.09,3678.5,321800,3540.8,221.2,20.751808318264,3540.8,0.7,1.3333978359376
"9",2003-12-31,118.4,0.16,0.1401,0.64556999584594,NA,10025.7,697.7,53.5,0.0064295156832112,0.014486474777287,NA,-68.7334,0.22840827980014,14.745913818722,408.7,0.024970273483948,99.456,996.1415,642.9197,1404.8415,0.35459,NA,8267.5,1.2307772468105,2.2386342097425,8.299523628927,5.8850054907617,2.0391929556274,0.045,0.025,422.6531,8321,0.59109089639626,2.3,14.626086956522,0.09,0.0632,0.077404222048475,NA,0.5984,0.083375724388322,6717.3,3969.6,1.0961809754131,0.52294195409206,269.2,0.066398638482599,771.5,0.1902917889648,0.36945022288261,1.6830323073009,3.2768697374938,0.2457,0.97910860074489,220.2666,0.34260360753812,4054.3,0.095711028533652,0.11268313101716,0,33.64,4351.4,291000,3693.1,0,NA,3693.1,0.7,1.2344964690523
"10",2002-12-31,116,-0.01,0.1883,0.66379080037088,NA,8364.9,588.7,43.6,0.0053782010164307,0.011669610834538,NA,96,-0.0175,14.338626292467,389.1,0.023899662623297,92.8,616.8,386.0181,1005.9,0.37416,NA,8063.2,NA,NA,13.072632944228,8.0159061536932,2.1581285798405,0.08,0.045,186.4181,8106.8,0.52586402706548,2.35,14.093617021277,NA,-0.0539,0.19052744886975,NA,0.5727,0.099594735143277,6350.1,3882.9,1.0878209585619,0.52103172645187,270.8,0.072480059953964,663.6,0.17761361811466,0.34268833087149,1.8149481162943,1.7923282865584,0.16508752208126,1.0392644933355,199.6,0.51707418329635,3736.2,0.060789296546511,0.1265775451061,0,33.12,4223.9,449405,4031,NA,NA,4031,0.65,1.2697752791295
