"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-09-30,51.2,0.53,0.1419,0.3637,1230.9,3809,201.5,4.3,0.0016,0.0016,0.0011,-30.86,0.8,17.36,91.3,0.0409,81.92,241,138.8,332,0.4241,0.4305,2704.5,1.4,1.12,11.22,8.14,0.98,0.025,0.005,59.46,2708.8,0.6537,NA,NA,0.03,0.025,0.1116,0.01,0.6137,0,1930.3,2005.1,0.351,0.2598,115.5,0.042,260.2,0.0946,0.5919,1.63,6.94,0.0876,0.73,79.34,0.5716,2751.5,0.0719,0.0938,146.4,39.19,703.7,243467,2425.2,138.4,14.49,2425.2,0.65,1.4
"2",2011-09-30,50.5,0.4,0.1694,0.3797375328084,1181.6,3643.9,130.1,8.8,0.0029634618622664,0.003248551072391,0.002414994923022,4.636,0.8,19.531304347826,94,0.0356,79.9612,229.1,140.3719,323.1,0.38729,0.39441811479726,2960.7,1.5613859297543,1.0760312556787,12.923177651681,9.1634168987929,1.0929528590941,0.02,0.02,99.6359,2969.5,0.64387057822662,NA,NA,0.025,-0.0071,0.12898368883312,0.01,0.6059,0,1896.2,2246.1,0.32206936467655,0.24361003535949,115,0.042452656059655,294.8,0.1088264609251,0.69531443478261,1.9008970886933,9.765652173913,0.084573073941452,0.82915574587471,40.736,0.29020066375988,2708.9,0.074027982807721,0.097325660121869,117.6,44.22,723.4,292965,2751.5,115.7,19.413137424373,2751.5,0.65,1.5587926509186
"3",2010-09-30,50.1,0.19,0.1731,0.43003271197881,1097.7,3349.9,138.9,7.8,0.0029416201538694,0.0028815249916879,0.0023284277142601,0.2158,0.8,14.167832167832,95.4,0.042,76.5828,253.2,154.1507,348.6,0.39119,0.39148936170213,2643.8,1.3783431520776,0.97600413467218,10.441548183254,7.5840504876649,0.97668920166981,0.015,0.01,110.4349,2651.6,0.67736350338816,NA,NA,0.055,0.0253,0.12676056338028,0.01,0.6308,0,1918.1,1823.4,0.45420642755292,0.31233971941469,128.7,0.047545162362851,307.4,0.11356163877498,0.59504895104895,1.6611095927849,9.4452214452214,0.093538734345561,0.6736118807492,43.7158,0.2835911181876,2706.9,0.080366347948491,0.1172451489478,0,35.77,828.2,307647,2708.8,111.7,16.324082363474,2708.8,0.65,1.3768108416844
"4",2009-09-30,49.9,0.1,0.1741,0.47572815533981,1047.6,3243.5,135,6.2,0.0023344252419142,0.0023590289932273,0.001911515338369,10.0224,0.59735784032165,13.875508543531,95,0.0435,74.1806,242.2,152.368,337.2,0.3709,NA,2649.7,1.3301706827309,0.97886881672762,10.940132122213,7.8579478054567,1.0081805037668,0.04,0.015,102.3456,2655.9,0.68083860027748,NA,NA,0.04,-0.016,0.10809546092653,0.01,0.6295,0,1992,1705.3,0.55743857385797,0.35792010241349,122.9,0.046762042462522,334.7,0.12734951677955,0.60358462164361,1.6278159602902,3.4688771358828,0.092154326154783,0.6488471197017,50.0224,0.32829990814707,2628.2,0.076489969879518,0.11731576937763,0,33.54,950.6,389862,2706.9,127.5,13.374901960784,2706.9,0.65,1.3291462316084
"5",2008-09-30,49.4,0.17,0.1472,0.44886922320551,980.8,3046.4,164.5,4.9,0.0020688199282246,0.0018518518518518,0.0016084558823529,1.4605,0.8,15.032069970845,90.6,0.045350400827515,70.148,222.7,135.6533,313.3,0.39087,NA,2363.6,1.3148642634624,0.89932273038582,10.613381230355,7.5442068305139,0.89327286470144,0.035,0.01,60.2928,2368.5,0.70588235294118,2.4,13.620833333333,0.05,-0.0083,0.24680564895763,0.01,0.6599,0,1797.6,1546.8,0.53122575640031,0.34692843571881,102.9,0.038888888888889,217.1,0.082048374905518,0.68171039844509,1.5770799347472,4.2948771345273,0.08416477702192,0.58458049886621,75.3605,0.55553744947342,2646,0.075463535269248,0.10491435562806,NA,32.69,821.7,550122,2628.2,120,12.89,2628.2,0.75,1.3140083217753
"6",2007-09-30,48.9,1.03,0.1309,0.46160385378294,921.8,2791.4,159.8,4.3,0.0017466184654129,0.0016300845369423,0.0015404456545103,-0.6776,0.8,17.160416666667,93.1,0.040665897778317,66.993,202.3,123.4596,295.4,0.38972,NA,2457.6,1.4189376443418,0.92897372897373,12.148294611962,8.3195666892349,0.93165017627658,0.02,0.04,57.4373,2461.9,0.74081106254926,2.2,14.645454545455,0.035,0.2008,0.093150684931507,0.01,0.6928,0,1732,1647.4,0.49441544251548,0.33084203257646,96,0.036392585010804,235.2,0.08916183327647,0.69784375,1.7871555651985,8.5802083333333,0.076689791121726,0.62451192236248,66.0224,0.53476883561319,2637.9,0.07128154965358,0.10414406595791,41.3,32.22,814.5,323389,2645.5,105.9,15.556185080264,2645.5,0.85,1.4179001324656
"7",2006-09-30,48.7,0.85,0.1111,0.43815704088254,894,2600.6,113,4.8,0.0021080368906456,0.0021954900974249,0.0018457279089441,-32.9589,0.8,15.284351145038,89.9,0.041044449993757,65.745,211.8,132.5699,301.7,0.37408,NA,2272.2,1.4524418307338,0.8577252651844,10.728045325779,7.5313225058005,1.0392901248685,0.015,0.055,142.4287,2277,0.75740213796816,1.9,17.147368421053,0.06,0.0468,0.10744347252022,0.01,0.6159,0,1564.4,1601.8,0.42152578349357,0.29653052261748,104.8,0.04793486712711,155.7,0.071216210035219,0.62733778625954,1.7917225950783,10.189567430025,0.096876000548873,0.73265334126149,-9.8589,-0.074367298130727,2186.3,0.084741661979034,0.117225950783,40.5,32.58,675.2,174300,2649.1,93.1,17.205155746509,2649.1,0.85,1.4510578638797
"8",2005-09-30,48.7,0.17,0.1191,0.46659166197887,NA,2504.9,113.4,6.6,0.0029689608636977,0.0030247479376719,0.0026348357219849,7.4995,0.28547439126784,15.066326530612,91.5,0.044244843646041,64.771,199.5813,123.2734,291.0813,0.38234,NA,2216.4,1.3668825161887,1.0157653528873,11.105249951298,7.6143680555479,1.0606814701378,0.05,0.055,93.8738,2223,0.76474110742944,1.9,15.821052631579,0.02,0.0113,0.093337523570082,0.01,0.5579,0,1621.5,1476.5,0.50558753809685,0.33580746738641,98,0.046898928024502,169.6,0.081163859111792,0.66092857142857,1.789046407367,3.0132653061225,0.095511715160796,0.70659456355283,29.3995,0.23849059833374,2089.6,0.07602428208745,0.11483477853293,36.5,30.06,746.5,207200,2182,98,15.066326530612,2182,0.8,1.3894618413651
"9",2004-09-30,48.6,0.2,0.1296,0.49920430897295,NA,2436.1,129.1,4.5,0.0019334049409237,0.0021535222052067,NA,2.4265,0.30864197530864,13.463045414069,83.5,0.043010752688172,64.152,310.2493,192.3856,393.7493,0.3799,NA,2323,1.4015082956259,1.1116960183767,7.4875279315735,5.8996936273607,1.1253754481155,0.045,0.07,144.359,2327.5,0.76963178851443,1.9,16.152631578947,0.005,0.3008,0.076550051957049,0.01,0.4899,0,1657.5,1511.9,0.53945366757061,0.35041890440387,112.3,0.054403643057843,197.2,0.09553337854859,0.57125556544969,1.9137974683544,2.9917878697932,0.1503,0.73243871717857,48.0265,0.24963695968584,2064.2,0.11606972315294,0.13725250549988,37.8,30.69,815.6,63000,2089.6,112.3,13.463045414069,2089.6,0.75,1.4245929734362
"10",2003-09-30,48.6,0.14,0.1379,0.51113095617784,NA,2113.7,162.4,2.5,0.0011547344110854,0.0015774861181222,NA,46.1,0.2282,24.482944344704,72.9,0.045617071203344,62.208,160.4,105.8849,233.3,0.33987,NA,2162.5,NA,NA,13.481920199501,9.269181311616,1.3645254921757,0.04,0.065,16.3849,2165,0.7601835643658,1.7,16.611764705882,NA,0.0951,0.1085868309588,0.01,0.4457,0,1593.4,1363.7,0.58759257901298,0.37011547344111,55.7,0.035146390711762,134,0.084553255931348,1.1168402154399,1.7793580375783,6.1207360861759,0.10121150933872,0.86048712771328,89.5,0.84525782781469,1584.8,0.066452147608887,0.07267745302714,34.3,28.24,801.3,145273,1861.8,95.4,14.294549266247,1861.8,0.7,1.3571607882515
