"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,66.5,2.6,0.5504,0.3033,1756.3,3266.8,176.8,825.9,0.1375,0.2282,0.2528,1.48,0.8,20.24,131.4,0.0095,49.88,447,288.24,578,0.3549,0.3548,5181,3.06,1.43,11.6,8.96,1.43,0.15,0.05,241.35,6006.9,0.3772,5.37,14.77,-0.025,0.055,0.3496,0.708,0.3572,0,1695,5242.3,0.1459,0.1273,259,0.0716,565.7,0.1563,0.1574,2.98,1.35,0.1234,1.45,46.88,0.1627,3619.8,0.1701,0.1475,112.2,79.3,764.6,280909,3629.3,316.8,16.55,3629.3,1.35,2.38
"2",2010-12-31,66.3,2.21,0.5331,0.33684349665139,1505.1,2954.1,81.3,630.3,0.18579218865144,0.19871996973327,0.2133644764903,63.2584,0.63308947664603,11.869918699187,128.7,0.0076,19.9728,378.4,244.2723,507.1,0.35446,0.35451895043732,2762.2,1.6849874946624,0.77674981018531,7.2996828752643,5.4470518635378,0.8708619711205,0.285,0.06,228.4139,3392.5,0.39616126739108,4.88,8.2459016393443,NA,0.3515,0.36867615873978,0.705,0.3141,0,1639.3,2628,0.29090563165906,0.22535003684598,221.4,0.069802635727347,522.1,0.16460684784665,0.090211382113821,1.7460633844927,0.41648837541007,0.11930134308595,0.82855161107258,15.8584,0.06492102989291,3171.8,0.149010148234,0.14709986047439,104.3,40.24,764.5,426457,3556.1,316.5,8.303317535545,3556.1,1.35,1.4947567853366
"3",2009-12-31,65.7,1.67,0.527,0.28626971784048,1285,2446.4,99.8,245.6,0.072271429832563,0.10560261426667,0.10039241334205,135.5146,0.61669829222011,54.394339622642,123.2,0.006,17.2974,107.3,72.2054,230.5,0.32707,0.32741116751269,3152.7,2.027720607152,1.0451863148124,29.382106244175,13.677657266811,1.3555918648149,0.29,0.025,-39.9093,3398.3,0.48818672334859,2.72,15.981617647059,NA,-0.3701,0.43398074098254,0.705,0.311,0,1554.8,2882.9,0.17877831350376,0.15166406732778,53,0.022788837769274,456.3,0.19619899385131,0.32636603773585,2.2435019455253,1.8756668835394,0.046136647031001,1.2395837812272,112.1146,1.5527185242794,2325.7,0.04644030679187,0.04124513618677,87.9,43.47,515.4,224118,3016.4,149.6,19.270721925134,3016.4,1.3,1.8875249944457
"4",2008-12-31,65.7,1.34,0.4408,0.29170001143249,1239.1,2287,172.6,90.2,0.041149635036496,0.024428555952768,0.039440314822912,-188.1709,0.47186932849365,NA,111.9,0.009,15.1353,-29.5,-29.5,82.4,0,NA,2101.8,1.2667550626808,0.91661578717837,NA,25.507281553398,0.56922326941826,0.025,0.04,97.9709,2192,0.5236117184084,0.83,30.036144578313,NA,0.1498,0.46521287642783,0.708,0.3266,0,1659.2,1681.7,0.30344294463935,0.23280109489051,-29.5,-0.0079893835987434,496.5,0.13446538836529,NA,1.3571947381164,NA,-0.0079893835987434,0.45544903044091,-127.4709,NA,3692.4,-0.017779652844745,-0.023807602291986,98.9,24.93,510.3,190312,2293,-69,NA,2293,1.3,1.2530010289242
"5",2007-12-31,65.3,0.93,0.3721,0.28441132306323,1286.7,2569.3,135.7,24.9,0.016532766748556,0.0078002631414072,0.0096913556221539,-147.7636,0.55898951894652,8.6721883173496,104.3,0.013786066150598,13.713,174.7,126.0915,279,0.27824,NA,1481.2,0.83532596435822,0.37539600070963,8.4785346307957,5.3089605734767,0.46400601466073,-0.05,0.085,242.4551,1506.1,0.43832950609115,1.18,13.805084745763,NA,0.2849,0.32262773722628,0.708,0.392,0.025181956174834,1773.2,994.7,0.51412486176737,0.33955248655468,114.7,0.035931332623269,626,0.1961030010651,0.11955536181343,0.77306287401881,NA,0.054727147421841,0.31160328300232,-116.3636,-0.92285076426541,3192.2,0.071109560117302,0.089142768322064,96.7,16.29,511.4,223182,3945.7,98.9,10.057633973711,3945.7,1.3,0.83760636227129
"6",2006-12-31,65.3,2.02,0.3322,0.18148845644138,1173.5,2082.1,136.3,52.6,0.033462688466187,0.021172113991306,0.025262955669757,-72.9288,0.74653822998194,6.2048249763482,86.3,0.0099565449416787,13.06,313.2,214.6516,399.5,0.31465,NA,1519.3,1.1000651654478,0.53018565047459,4.8508939974457,3.8030037546934,0.61153598454355,0.07,NA,237.5804,1571.9,0.51721819317036,1.87,8.5828877005348,NA,0.0154,0.33886085075703,NA,0.3683,0.03606935305701,1381.1,1311.7,0.19836852938934,0.16553215853426,211.4,0.085090967638061,475.3,0.19131379810015,0.061778618732261,1.1177673625905,0.88640356804974,0.12606665593302,0.52797456126228,-22.9288,-0.10681875979215,2484.4,0.15542076605604,0.18014486578611,83.2,16.05,260.2,1281500,2865.6,110.4,11.88134057971,2865.6,1.55,1.0963939457348
"7",2005-12-31,65.1,NA,NA,0.2116574147502,994.1,1827.2,85.8,237.9,0.10145854657114,0.09745606488878,0.13019921190893,-22.9957,NA,9.1618165784833,81.2,0.0050127532605034,10.416,367.1,241.1186,448.3,0.34318,NA,2106.9,2.0593294888085,0.81131348916015,5.7393080904386,4.6997546285969,0.86309450657491,0.0465,NA,259.5143,2344.8,0.47241681260946,3.63,8.6446280991736,NA,0.2253,0.17421383647799,NA,0.3483,0.0093585814360771,1023.1,2077.9,0.12844698974927,0.1138263391334,226.8,0.092908934496743,360.3,0.14759739461718,0.045925925925926,2.0902323709888,1.9702831351577,0.15038302404654,0.85121461636148,-18.3957,-0.076293045840967,2441.1,0.23567454012316,0.22814606176441,76.6,31.38,266.9,158200,2596.9,253.7,8.190382341348,2596.9,1.7,1.8594766058684
"8",2004-12-31,64.9,0,0,0.27925058548009,NA,1592.5,52.7,43.4,0.019764105833599,0.018329250781316,0.027252747252747,73.1132,NA,14.632228218967,81.1,0,0,242.9173,154.0824,324.0173,0.3657,NA,2152.5,2.1018455228982,0.90907171213785,8.8610410918482,6.643164216427,1.0841644001209,0.0465,NA,109.3692,2195.9,0.53695447409733,3.24,8.891975308642,NA,0.3602,0.26277005526712,NA,0.2232,0,1024.1,1897.8,0.15707661502793,0.13575299421649,129.7,0.065326886269769,379.6,0.19119572882039,0,2.4665973485833,3.1467157460144,0.12235180819986,0.95587790873376,44.7132,0.29019042921781,1985.4,0.15045643072356,0.16857291395893,60.2,28.81,298.1,90600,2367.8,0,NA,2367.8,0,2.0570491803279
"9",2003-12-31,63.3,0,0,0.5492615820352,NA,1370.1,44.9,37.4,0.013596044786971,NA,NA,-194,NA,109.8407960199,87.3,0,0,152.261,96.468,239.561,0.36643,NA,2713.4,2.8170681063123,NA,17.820715744675,11.326551483756,1.9068165846803,0.0465,NA,332.868,2750.8,0.64206992190351,2.22,15.094594594595,NA,0,0.40230832646331,NA,0.1505,0,963.2,2207.8,0.24594619077815,0.19739712083757,20.1,0.014125087842586,194,0.13633169360506,0,5.0917896678967,23.621676563419,0.107,1.5515108924807,-236.4,-2.4505535064739,1423,0.10015365632267,0.045107719928187,57,33.51,543,22300,NA,0,NA,0,0,2.7825207363949
"10",1999-12-31,NA,0.7,0.84,0.7489539748954,NA,131.6,1.4,2.9,0.036159600997506,NA,NA,NA,0.125,NA,3.8,0,0,12.3,-82.7564,-78.9564,7.72816,NA,77.3,NA,NA,6.2845528455284,NA,0.484335839599,0.175,NA,-80.3564,80.2,0.076747720364742,NA,NA,NA,-0.3973,0.86666666666667,NA,0.3705,NA,92.7,8.6,8.3255813953488,0.8927680798005,NA,-0.043233082706767,NA,0.19987468671679,NA,0.35833333333333,NA,0.077067669172932,0.053884711779449,NA,NA,NA,-0.89273320388349,-0.2875,39.1,NA,NA,NA,NA,-6.9,NA,159.6,NA,0.83891213389121
