"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,39.7,0.82,0.2237,0.4514,716.4,1462.6,13.2,29.3,0.0071,0.0871,0.02,17.36,0.8,25.06,29.6,0.0296,104.81,143,113.04,172,0.2084,0.2088,4100.4,3.21,15.16,28.71,23.78,12.19,0.025,-0.025,112.07,4129.7,0.4247,2.06,25.32,0.035,0.05,0.1594,0.32,0.0607,0.0861,1276.5,3540.3,0.1665,0.1427,141.3,0.42,-88.5,-0.2631,1.7381,4.94,10.02,0.4245,10.52,0.96,0.0085,336.4,0.0886,0.1972,93.7,52.15,589.4,196446,270.4,60.3,58.71,270.4,0.9,3.16
"2",2010-12-31,39.5,0.95,0.2919,0.37364705882353,665.5,1172.3,5.1,64.7,0.030593909589559,0.23621759766338,0.055190650857289,-13.1198,0.72798903734155,21.58040201005,24.4,0.052,89.3256,88,66.4409,112.4,0.24499,0.24478178368122,2050.1,2.0546201643616,5.7474067844127,23.296590909091,18.239323843416,7.4848484848485,0.095,0.11,98.8607,2114.8,0.46754243794251,2.46,16.642276422764,0.035,0.1538,0.20091324200913,0.33,0.1228,0.074895504563678,997.8,1717.8,0.23110955873792,0.1877246075279,79.6,0.29061701350858,-43.4,-0.15845198977729,1.1221809045226,2.5812171299775,2.2716212642158,0.32128514056225,6.2716319824754,-32.4198,-0.4879499602287,273.9,0.066587372218882,0.11960931630353,73.4,40.94,397,56152,356.7,150.9,11.383697813121,356.7,0.85,1.9904
"3",2009-12-31,39.2,1,0.3107,0.34035673307604,632.4,1093.3,7.8,18.5,0.012019230769231,0.078423060618906,0.016921247599012,-4.9688,0.68393949147087,20.081125827815,24.5,0.0661,80.1727,75.9,55.114,100.4,0.27386,0.27403846153846,1520.7,1.6174218251436,5.9495305164319,20.03557312253,15.146414342629,6.4463755828741,0.055,0.04,76.7829,1539.2,0.45659928656361,1.87,16.732620320856,0.055,-0.0233,0.1581997954313,0.35,0.1011,0.077929205158694,940.2,1212.9,0.26902465166131,0.21199324324324,60.4,0.25604069520984,-59.5,-0.25222551928783,1.3273624172185,1.9179316888045,3.6511137868754,0.32174650275541,5.1415854175498,-21.6688,-0.39316385142995,235.9,0.058619470325463,0.0955091714105,62.4,31.29,326.3,58240,255.6,67.4,17.995548961424,255.6,0.85,1.6055074580161
"4",2008-12-31,39.6,0.94,0.2838,0.33528205128205,648.1,1111.1,14.1,16.8,0.011817670230726,0.068880688806888,0.015120151201512,0.7369,0.50739957716702,14.813261163735,27.2,0.072,78.8184,97.6,74.0296,124.8,0.2415,NA,1404.8,1.4660822375287,5.8508954602249,14.393442622951,11.25641025641,5.759737597376,0.005,0.005,86.3927,1421.6,0.52524525245252,1.71,16.187134502924,0.125,-0.082,0.31012387868432,0.36,0.1002,0.083970839708397,958.2,1094.7,0.2986206266557,0.22995216657288,73.9,0.3029930299303,-47.3,-0.19393193931939,1.0665548037889,1.6890911896312,29.62652232747,0.40016400164002,4.4883148831488,-12.3631,-0.16700155924909,243.9,0.077259027342935,0.11402561333128,62.6,27.68,326.9,50417,240.1,67.3,16.265973254086,240.1,0.9,1.4580512820513
"5",2007-12-31,39.2,0.89,0.1881,0.33308800336452,634.3,1153.3,16,12.1,0.010139948043241,0.045990117825922,0.010491632706148,-4.7756,0.76555023923445,9.7714604236343,27.3,0.088104962920707,77.224,147.1,87.7599,174.4,0.4034,NA,1181.2,1.257933972311,4.9776654024442,8.0299116247451,6.7729357798165,4.4895477004941,0.07,0.05,103.8355,1193.3,0.50862741697737,1.97,11.94923857868,0.18,-0.0605,0.35446009389671,0.35,0.1146,0.086621000606954,939,876.5,0.36143753565317,0.26548227604123,89.7,0.34093500570125,-48.7,-0.18510072215887,0.86091415830546,1.3818382468863,1.3959229176621,0.55910300266058,3.3314329152414,-16.0756,-0.18317712256718,263.1,0.093460979765708,0.14141573387987,61.8,23.54,316.8,88420,237.3,69.4,12.629682997118,237.3,0.9,1.2546525076227
"6",2006-12-31,38.3,0.99,0.1537,0.31416169289202,632,1093,107,22.1,0.013888016087476,0.080863519941456,0.020219579139982,-24.6657,0.72869225764476,14.860730593607,27.2,0.05619373175603,73.153,129.2,85.0239,156.4,0.34192,NA,1569.2,1.7447187013565,4.7973096912259,12.145510835913,10.033248081841,5.7416758141237,0.1,0.07,29.8897,1591.3,0.5252516010979,2.17,14.981566820276,0.105,0.5465,0.14244095952396,0.36,0.1165,0.098170173833486,899.4,1301.8,0.22238439084345,0.18192672657576,87.6,0.3205268935236,125.3,0.45847054518844,0.8350799086758,2.0598101265823,1.4860730593607,0.47274057811928,4.7632638126601,55.1343,0.6484560379428,273.3,0.094534062708472,0.13860759493671,41.5,32.51,289.5,19600,327.1,112.7,11.551020408163,327.1,0.7,1.7268583830711
"7",2005-12-31,0,0.99,0.1726,NA,0,0,0,0,NA,NA,NA,NA,0.64889918887601,NA,0,NA,0,0,0,0,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0.12522686025408,NA,0.0876,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.07,0,20100,200,49,0,200,0.7,NA
"8",2004-12-31,0,0.16,0.1707,NA,NA,0,0,0,NA,0,NA,0,0.18746338605741,NA,0,0,0,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0.05,NA,NA,0,NA,NA,NA,NA,0,0.20220772704466,NA,0.0973,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,25.33,0,60100,166.8,0,NA,166.8,0.6,NA
"9",2003-12-31,0,0.03,0.1418,NA,NA,0,0,0,NA,0,NA,0,0.04231311706629,NA,0,0,0,NA,NA,NA,0,NA,0,NA,0,NA,NA,NA,0.05,NA,NA,0,NA,NA,NA,NA,0,0.16943849827104,NA,0.0652,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,34.98,0,12700,173,63.9,0,173,0.55,NA
"10",2002-12-31,0,0.08,0.1499,NA,NA,0,0,0,NA,NA,NA,0,0.1232,NA,0,NA,0,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,0.16608996539792,NA,0.041,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,31.73,0,43726,180.6,27.9,0,180.6,0.55,NA
