"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,8.7,1.38,0.3065,0.1476,392.1,4289,0,468,1.0727,0.1091,NA,0.8,16.23,0,0.0113,4.18,109,72.24,109,0.336,0.3363,-31.7,NA,NA,NA,0.05,72.24,436.3,0.0084,3.28,12.88,-0.215,NA,0.1218,NA,0.7131,0.008,-8,368.4,0.1843,0.1556,22.7,0,0.1497,0.94,3.25,0,0,NA,NA,0.0579,19.1,42.25,67.9,23136,NA,27.9,13.2,NA,1.05,NA
"2",2010-12-31,8.5,1.5,0.4354,0.15409383624655,367.8,3953.5,0,376.8,0.98329853862213,0.095307954976603,NA,0.60289389067524,22.425531914894,0,0.0131,4.1422,126.4,91.1748,126.4,0.27868,0.28061224489796,6.4,0.11034482758621,0.050632911392405,0.050632911392405,0.05,91.1748,383.2,0.0080687997976477,2.13,16.882629107981,-0.175,NA,0.25333999250843,NA,0.8956,0.0086252687492096,58,316.2,0.21189120809614,0.17484342379958,14.1,0,0.29377446808511,0.85970636215334,4.4851063829787,0,0,NA,1.571980137931,0.038336052202284,23.1,35.96,67,26064,NA,17.9,17.664804469274,NA,1.05,0.88132474701012
"3",2009-12-31,7.1,1.09,0.4501,0.21189120809614,249.2,3748.5,0,320.7,0.66452548694571,0.085554221688676,NA,0.55543212619418,593.71428571429,0,0.0098,4.0729,114.3,114.3,114.3,0,NA,161.9,NA,1.416447944007,1.416447944007,0.05,114.3,482.6,0.0096305188742163,1.7,27.905882352941,-0.035,NA,0.34449571522742,NA,0.8694,0,-4.5,415.6,0.16121270452358,0.13883133029424,0.7,0,5.8184,1.6677367576244,118.74285714286,0,0,NA,NA,0.0028089887640449,30.4,47.44,67,28297,NA,12.1,34.347107438017,NA,1,NA
"4",2008-12-31,6.2,1.03,0.4095,0.23624823695346,216.6,3432.6,0,248.6,1.0946719506825,0.072423236030997,NA,0.39072039072039,9.944099378882,0,0.0186,2.9779,99.2,69.3358,99.2,0.30105,NA,-21.5,-0.61428571428571,NA,NA,0.05,NA,227.1,0.010196352619006,NA,NA,0.11,NA,0.50068212824011,NA,0.7758,0,35,160.1,0.41848844472205,0.29502421840599,16.1,0,0.1849602484472,0.73915050784857,1.9888198757764,NA,NA,NA,1.981024,0.074330563250231,39.8,25.63,67,31784,NA,-2.8,NA,NA,1,0.80077574047955
"5",2007-12-31,6.2,0.75,0.2684,0.24074739489759,211.3,3200.2,0,267.5,0.77468867651318,0.083588525717143,NA,0.56631892697467,9.402027027027,0,0.010693496227093,2.976,111.4,77.843,111.4,0.30123,NA,77.8,7.2037037037037,0.6983842010772,0.6983842010772,0.049,NA,345.3,0.010905568401975,4,12.025,0.17,NA,0.2969012969013,NA,0.7907,0,10.8,278.3,0.24074739489759,0.19403417318274,29.6,0,0.10054054054054,1.3170847136772,1.9187810259239,NA,NA,NA,7.2076831481481,0.140085186938,57.3,48.1,67,11773,NA,27.1,10.269372693727,NA,0.95,1.2407473948976
"6",2006-12-31,6.6,1.15,0.1672,0.25709281961471,212.1,2997.4,0,240.1,0.59935097353969,0.080102755721625,NA,0.76555023923445,10.763157894737,0,0.0080684596577017,2.64,117.2,77.3883,117.2,0.33969,NA,160.5,3.5352422907489,1.3694539249147,1.3694539249147,0.049,NA,400.6,0.010075398678855,4.56,9.9912280701754,0.17,NA,0.18068574761488,NA,0.7975,0,45.4,327.2,0.22432762836186,0.18322516225662,30.4,0,0.086842105263158,1.5426685525695,2.1965628356606,NA,NA,NA,1.7045888105727,0.14332861857614,42.7,45.56,73.4,29204,NA,29.7,11.016835016835,NA,0.8,1.4031523642732
"7",2005-12-31,6.6,1.04,0.1653,0.31372549019608,182,2846.8,0,233.8,0.43530068888475,0.082127300829001,NA,0.72595281306715,16.268817204301,0,0.0046530072703239,2.112,96.1,62.688,96.1,0.34768,NA,303.3,9.6592356687898,3.156087408949,3.156087408949,0.08,NA,537.1,0.0080441197133624,4.42,15.142533936652,0.155,NA,0.086088484267689,NA,0.7377,0,31.4,453.9,0.1833002864067,0.15490597654068,27.9,0,0.075698924731183,2.493956043956,2.0336021505376,NA,NA,NA,1.9964315923567,0.1532967032967,21.7,66.93,83.2,14886,NA,29.9,15.180602006689,NA,0.75,2.0252639517345
"8",2004-12-31,7.1,0.93,0.2173,0.30216850337718,NA,2503,0,192.5,0.39149888143177,0.076907710747103,0,0.85595950299126,15.763565891473,0,0.0045714285714286,1.988,NA,NA,NA,0.35134,NA,299.2,3.3693693693694,NA,NA,0.1,NA,491.7,0.0091090691170595,4.03,15.198511166253,0.125,0,0.1353711790393,NA,0.6268,0,88.8,406.7,0.20899926235555,0.17286963595688,25.8,0,0.077054263565891,2.0718288334182,1.5763565891473,0,NA,NA,NA,0.13143148242486,9.4,61.25,85,17112,NA,27.5,14.789090909091,0,0.7,1.7479559189477
"9",2003-12-31,7.3,0.5,0.255,0.32227829848594,NA,2207.1,0,160.4,0.31469491857956,NA,0,0.3921568627451,19.825471698113,0,0.0040006667777963,1.752,NA,NA,NA,0.34053,NA,349.3,2.9854700854701,NA,NA,0.11,NA,509.7,0.0060260069774818,3.4,17.644117647059,0.11,0,0.18564005668399,NA,0.6644,0,117,420.3,0.21270521056388,0.17539729252501,21.2,0,0.082641509433962,2.2356382978723,1.8023156089194,0,NA,NA,NA,0.11276595744681,8.2,59.99,89.4,2306,NA,25.1,16.745019920319,0,0.75,1.83741888969
"10",2002-12-31,8.7,0.38,0.2873,0.3215744522837,NA,1705,0,226.3,0.52985249356123,NA,0,0.291,15.985915492958,0,0.0051101321585903,1.74,62.7,44.6487,62.7,0.2879,NA,200.8,NA,3.2025518341308,3.2025518341308,0.105,44.6487,427.1,0.0080938416422287,2.59,17.3861003861,NA,0,0.19335860896849,NA,0.677,0,43,340.5,0.25433186490455,0.20276281901194,21.3,0,0.08169014084507,1.863711001642,1.5224681421865,0,0,0,1.0383411627907,0.11658456486043,12,45.03,86.6,29878,0,11,30.954545454545,0,0.7,4.6697674418605
