"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,33.7,0.73,0.1914,0.3479,654.9,1399.1,95.4,91.8,0.0417,0.077,0.0656,7.53,0.8,22.58,75.7,0.0138,25.61,118,88.4,193,0.2483,0.1857,2108.9,2.31,1.7,17.93,10.91,1.77,0.12,0.045,61.17,2200.7,0.4243,2.87,19.08,0.07,0.07,0.2019,0.063,0.9267,0.1169,912.5,1851.3,0.1887,0.1588,82,0.0688,187.1,0.1569,0.1963,2.83,1.88,0.0986,1.55,27.23,0.308,1192.3,0.0969,0.1252,221.7,54.75,349.4,108181,1240.3,130.5,14.19,1240.3,0.8,2.19
"2",2010-12-31,33.3,0.75,0.2067,0.36419063103343,625.7,1294.3,71.1,110.2,0.068205731261992,0.099755589752874,0.085142548095496,9.8063,0.8,17.270604395604,73.2,0.0193,24.2659,104.8,80.9066,178,0.22799,0.17832957110609,1505.5,1.7227371552809,1.2826957484877,14.365458015267,8.4578651685393,1.3628134335114,0.105,0.035,73.2004,1615.7,0.42864869041181,2.52,15.059523809524,0.125,0.037,0.14929307452672,0.062,0.9447,0.12949084447192,873.9,1257.3,0.28505527718126,0.22182335829671,72.8,0.065900244410247,157,0.14212003258803,0.33332266483516,2.0094294390283,1.644819466248,0.094867384810356,1.138137050783,7.7063,0.095249060974251,1104.7,0.092581128275546,0.11634968834905,213.3,37.95,358.4,133404,1173.7,102.8,12.230544747082,1173.7,0.75,1.6418046946448
"3",2009-12-31,33,0.76,0.238,0.39595285282153,579.1,1271,104.9,83.1,0.047044836956522,0.07871554418869,0.065381589299764,8.9169,0.8,19.154696132597,68.1,0.0163,22.6048,105,80.43,173.1,0.234,0.2008830022075,1683.3,1.9224531749657,1.5012039596897,16.031428571429,9.7244367417678,1.5944870701904,0.085,0.05,34.7131,1766.4,0.45405192761605,2.35,17.531914893617,0.205,-0.0048,0.1559680329982,0.073,0.917,0.13359559402046,875.6,1386.8,0.27372368041535,0.21490036231884,72.4,0.068580089040447,143.5,0.13592876764232,0.31222154696133,2.3947504748748,2.2534936626584,0.099460073884626,1.3136307663162,45.7169,0.56840640503962,1055.7,0.091857012334399,0.12502158521844,198.6,41.2,379.6,151417,1121.3,97.6,14.209016393443,1121.3,0.8,1.8424950453739
"4",2008-12-31,32.7,0.78,0.2469,0.442102851907,487.1,1168.7,138.6,91.5,0.054084407140324,0.087051660165541,0.07829211944896,-4.991,0.51842851356825,15.982864137087,60.6,0.0162,21.154,124.6,93.7665,185.2,0.24746,NA,1600.3,2.0474667349028,1.5888602065131,12.843499197432,8.6409287257019,1.5225002378461,0.075,0.045,20.7575,1691.8,0.45435098827757,2.34,16.752136752137,0.26,0.0178,0.19994254524562,0.0229,0.9553,0.13288269016856,781.6,1305.8,0.29560422729361,0.22815935689798,81.7,0.077728094377319,119.5,0.11369041956046,0.25892239902081,2.6807637035516,2.1310485516116,0.11854247930739,1.2423175720674,73.009,0.7786256609696,1051.1,0.11996735414534,0.16772736604393,178,39.2,386,210802,1007.2,68.2,19.146627565982,1007.2,0.8,1.9376932768297
"5",2007-12-31,32.3,1.14,0.2804,0.44877328487051,485.3,1185.6,129.4,129.4,0.082488684898324,0.12685030879326,0.10914304993252,-4.1575,0.4564907275321,14.242718446602,56.6,0.016513292433538,19.38,123.2,87.8133,179.8,0.28723,NA,1439.3,1.9165113182423,1.3548903322978,11.68262987013,8.0050055617353,1.4109401039114,0.13,0.085,19.1708,1568.7,0.40629217273954,2.75,13.734545454546,0.265,0.1377,0.27576054955839,0.064,0.9566,0.13849527665317,751,1173.6,0.33665644171779,0.25186460126219,82.4,0.08077639447113,100.5,0.098519752965396,0.23519417475728,2.4182979600247,1.0955937266617,0.12077247328693,1.150475443584,68.6425,0.78168676687454,1020.1,0.11692844740346,0.16979188131053,168.6,37.77,395.1,339308,1062.3,85.5,13.726315789474,1062.3,0.8,1.7818037255793
"6",2006-12-31,32.9,1.47,0.2702,0.36309157959435,414.5,918.2,90.3,47.1,0.030432254312851,0.051571225227198,0.051296013940318,-7.0725,0.50333086602517,20.175384615385,52.7,0.0140491078237,18.424,105.9,74.5176,158.6,0.29634,NA,1500.6,2.4856716912374,1.5067777889346,14.169971671388,9.4615384615385,1.6430526661557,0.145,0.095,43.9901,1547.7,0.4189719015465,2.43,16.098765432099,0.13,0.159,0.2180384316339,0.059,0.9684,0.18416467000653,603.7,1311.4,0.18018911087388,0.15267816760354,65,0.071170480674477,78.2,0.085623562903756,0.28344615384615,3.1638118214717,1.3914058355438,0.1159531369758,1.4358918208694,30.5275,0.40966826846489,913.3,0.12343480867981,0.15681544028951,155.9,39.12,236.3,456700,995.9,88.7,14.784667418264,995.9,0.85,2.3781499692686
"7",2005-12-31,29.2,1.17,0.2468,0.45728234336859,333.5,823.6,54.1,48.8,0.0247101119044,0.069744176075461,0.059252064108791,-16.1919,0.48622366288493,37.475663716814,47.4,0.0089639293937068,15.184,72.3,51.5224,119.7,0.28738,NA,1926.1,3.4048082022273,2.1962371721779,26.640387275242,16.091060985798,2.7527511790767,0.16,0.115,61.0143,1974.9,0.39825157843613,2.09,24.511961722488,0.045,0.1979,0.35927672955975,0.065,0.827,0.19329771733851,565.7,1693.9,0.16588936773127,0.14228568535116,45.2,0.06459911390596,63.9,0.091324853508647,0.33592920353982,5.0791604197901,2.3422289823009,0.10332999857082,2.4208946691439,-9.4919,-0.18422844698895,699.7,0.091077295386247,0.13553223388306,120.3,51.23,281,117100,877,63.5,26.675590551181,877,0.75,3.2138323840521
"8",2004-12-31,27.1,0.59,0.2809,0.34812730028145,NA,658.7,57.4,68.8,0.072352508150173,0.10648506423154,0.10444815545772,9.8789,0.42007831968672,19.317848410758,33.2,0.019146390107698,13.008,59.7927,44.4075,92.9927,0.25731,NA,882.1,2.2439582803358,1.3652685342826,14.752632093004,9.4856887721964,1.6286927621861,0.165,0.105,10.3286,950.9,0.43084864126309,1.48,16.939189189189,-0.045,0.1924,0.23491867407865,0.02,0.7298,0.064369212084409,393.1,790.1,0.20351854195671,0.16910295509517,40.9,0.075516986706056,51.2,0.09453471196455,0.31804400977995,2.6240451677184,1.1707786915611,0.11040014771049,1.4588257016248,34.0789,0.76741342718064,541.6,0.11296732438769,0.1358352706742,103.5,25.07,160.8,118200,646.1,40.9,19.317848410758,646.1,0.75,2.0586707079454
"9",2003-12-31,29.3,0.7,0.3183,0.40453074433657,NA,623.6,60.8,37.8,0.042543612830613,0.075873143315937,NA,1.0393,0.43983663210807,26.135531135531,33,0.017275225755791,12.892,77.776,54.4642,110.776,0.29973,NA,850.7,2.1547619047619,1.7075471698113,10.93782846754,7.6794647213587,1.7336458121052,0.14,0.075,25.6248,888.5,0.41003848620911,1.1,23.154545454545,-0.08,0.1571,0.19305162005667,0.01,0.7242,0.077613855035279,394.8,713.5,0.24526979677645,0.1969611705121,27.3,0.055634807417974,68,0.13857754228653,0.47223443223443,2.769798136646,1.8668236525379,0.1585,1.4540452414917,28.8393,0.5295102170108,490.7,0.13795381080674,0.10597826086956,111,25.47,175,78800,498.2,27.3,26.135531135531,498.2,0.7,2.0538603791031
"10",2002-12-31,14.5,0.76,0.3321,0.46480743691899,NA,536.8,37.7,33.2,0.047983812689695,0.079104121991899,NA,15.6,0.5009,40.3828125,33,0.023563551944283,12.18,35,26.657,68,0.23837,NA,658.7,NA,NA,18.82,9.6867647058824,1.5694543721706,0.19,0.11,21.957,691.9,0.41598360655738,2.03,17.226600985222,NA,0.0475,0.36510962821735,NA,0.7127,0.082898658718331,343.3,516.9,0.33855678080867,0.25292672351496,12.8,0.030497974743865,56.2,0.13390517035978,0.9515625,2.5652605459057,2.1254111842105,0.083392899690255,1.2315939957112,4.7,0.1763135830859,419.7,0.077649431983688,0.063523573200993,82.6,34.97,175,25598,471.7,NA,NA,471.7,0.65,1.9187299737839
