"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Expected Growth in Revenues","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-30,73.6,1.62,0.5267,NA,-409.8,1121.6,21.8,47.5,0.0121,0.0261,0.0424,-0.11,0.77,9.4,31,0.018,51.52,546,344.16,577,0.37,0.3689,3871.6,6.51,2.13,7.09,6.71,2.13,0.145,0.125,353.47,3919.1,0.0366,4.55,11.51,0.095,0.13,0.3426,0.011,NA,0.7592,594.5,2867.3,0.3668,0.2684,304.9,0.1676,-202.3,-0.1112,0.1957,NA,0.65,0.3003,1.58,-9.31,-0.0271,1819.2,0.5789,NA,500.8,52.36,1051.8,218573,1820.2,263.2,10.89,1820.2,0.95,6.1
"2",2010-12-30,73.4,1.51,0.5254,NA,-694.8,1092,9.1,40.5,0.0072360192960515,0.027892561983471,0.037087912087912,-42.578,0.42824514655501,21.791452111225,29,0.0122,51.6292,390.4,239.9945,419.4,0.38526,0.37994891443167,5556.5,8.8226421086059,3.131304592843,14.232838114754,13.248688602766,3.8267906336088,0.17,0.1,302.4725,5597,0.028296703296703,4.41,12.473922902494,0.08,0.0899,0.40728155339806,0.011,0.5461,0.77591575091575,629.8,4231.9,0.32257378482478,0.24389851706271,194.2,0.13374655647383,-191.7,-0.13202479338843,0.26585571575695,NA,1.2818501241897,0.26887052341598,2.9145316804408,-62.478,-0.26033095303889,1452,0.38106461733884,NA,400.3,55.01,1365.1,1048795,1774.5,290.2,14.582701585114,1774.5,0.9,8.3499925406534
"3",2009-12-30,77,1.06,0.3617,NA,-736.5,1087.5,12.3,46.1,0.010879826300387,0.032954464221889,0.042390804597701,-0.9209,0.58750345590268,15.703327693175,27.9,0.0187,52.0645,356.6,214.5484,384.5,0.39835,0.38904203997243,4191.1,6.2516408114559,2.9795961893929,11.752944475603,10.900130039012,2.9959968546715,0.07,0.04,231.0693,4237.2,0.033103448275862,2.63,14.254752851711,0.105,-0.1015,0.21676300578035,0.01,0.4228,0.77388505747126,670.4,2784.2,0.521873428633,0.34291513263476,177.3,0.12674244048896,-167.3,-0.11959396668811,0.29365222786238,NA,2.2433325275965,0.25491457573808,1.9902780756309,-16.5209,-0.077003018030098,1398.9,0.3200304146778,NA,371.3,37.49,1453,266700,1406.6,163.9,16.987187309335,1406.6,0.85,5.9137473831123
"4",2008-12-30,76.9,1.3,0.3725,NA,-887.5,1106.8,16.3,47.3,0.01214190368621,0.030427790286266,0.042735814962053,12.9608,0.36510067114094,10.359907834101,24.5,0.024,53.9544,443.8,270.323,468.3,0.39089,NA,3848.3,5.3996071278238,2.7013196686789,8.6712483100496,8.2175955584027,2.475587005468,0.075,0.065,265.5623,3895.6,0.033881460065052,2.62,11.129770992366,0.155,0.0938,0.29585925767003,0.01,0.4399,0.74846404047705,712.7,2248.1,0.73284106578889,0.42291303008522,217,0.13959472499196,-155.1,-0.099774847217755,0.24863778801843,NA,1.3813210445469,0.28549372788678,1.4461884850434,4.7608,0.017611347671423,1554.5,0.37929425845377,NA,409.9,29.16,1647.5,326373,1424.6,199.6,11.263026052104,1424.6,0.85,5.1257894736842
"5",2007-12-30,79.4,1.05,0.2755,NA,-926.3,1046.2,18,39.8,0.010442357139109,0.027126499454744,0.038042439304148,11.2098,0.52268602540835,10.682962962963,19,0.025692229464244,55.58,435.6,267.6806,454.6,0.38549,NA,3771.6,5.5302052785924,2.4082753336313,8.6584022038568,8.2965244170699,2.5706106870229,0.11,0.105,257.4707,3811.4,0.035939590900401,2.93,10.040955631399,0.17,0.4607,0.3990243902439,0.01,0.5002,0.76763525138597,682,2163.3,0.76184532889567,0.43241328645642,202.5,0.13801799345693,-166.3,-0.11334514721919,0.27446913580247,NA,0.97117845117845,0.29689203925845,1.4744411123228,10.2098,0.038141862870227,1467.2,0.39249348387097,NA,378.3,29.42,1648.1,332649,1566.1,218.7,9.8916323731139,1566.1,0.9,5.2804100858964
"6",2006-12-30,97.5,1.23,0.2725,NA,-68.4,1002.4,14.3,37.5,0.0084885800303325,0.03040622719533,0.037410215482841,9.9806,0.55779816513762,17.416300634456,13.4,0.019125147116516,68.25,380,234.498,393.4,0.3829,NA,4380.2,5.8937029063509,3.2304742237628,11.526842105263,11.134214539909,3.5516095029595,0.12,0.135,223.6174,4417.7,0.030925778132482,2.73,16.043956043956,0.235,0.105,0.13397324818442,0.011,0.4982,0.76247007182761,743.2,3568.6,0.23793644566497,0.19220408810014,204.9,0.16613962539528,-100.4,-0.081407605610962,0.33308931185944,NA,1.4513583862046,0.30811643557934,2.8935376631801,10.8806,0.046399425359295,1233.3,0.31552475780409,NA,296.1,43.8,849.1,454900,1355.9,203.7,17.518900343643,1355.9,0.95,5.6586396823364
"7",2005-12-30,100.6,0.62,0.27,NA,-80.7,835.5,14.6,31.5,0.0053936509023664,0.027360375228003,0.03770197486535,2.6987,0.53333333333333,25.218316831683,13.7,0.013823835417444,70.42,348.9,216.3878,362.6,0.3798,NA,5808.7,9.1634327180943,4.8442164957051,16.648609916882,16.019580805295,5.0453400503778,0.115,0.105,212.7891,5840.2,0.024895272292041,2.37,22.164556962025,NA,0.1438,0.18144104803493,0.01,0.4516,0.73692399760622,633.9,5094.1,0.14646355587837,0.12775247423034,202,0.17545383479545,-65,-0.056457917137149,0.34861386138614,NA,2.1928971157985,0.30304872752541,4.4246503952054,3.5987,0.016630737831664,1151.3,0.34135948887837,NA,281.7,52.53,746.1,296500,1199.1,204.4,24.922211350294,1199.1,0.9,8.7769762548843
"8",2004-12-30,102.4,0.33,0.263,0.70488354620586,NA,816.2,5.2,35.2,0.0062523313025098,0.03248730964467,0.043126684636119,-3.3734,0.25095057034221,28.356043956044,10.2,0,0,305.8792,201.9231,316.0792,0.33986,NA,5594.7,8.8762494050452,5.1635440701431,18.290556309884,17.700312795061,5.4587764659967,0.125,0.11,210.2965,5629.9,0.021440823327616,2.19,22.566210045662,NA,0.1275,0.19066855180772,0.01,0.4882,0.72041166380789,630.3,5160.8,0.090896760192218,0.083322971988845,182,0.17757830032198,-59,-0.057566591862621,0,26.276985743381,2.2684835164835,0.29844780954239,5.0354180895697,-8.3734,-0.041468279666054,1024.9,0.32036025493003,0.92668024439918,231.9,49.42,469.1,185800,1083.5,182,28.356043956044,1083.5,0.95,8.4596543951916
"9",2003-12-30,106.3,0.17,0.2498,0.7217017355245,NA,769.7,5,23.4,0.004911735689847,0.024183546920215,NA,-0.6905,0.13610888710969,24.594501718213,7.1,0,0,323.1914,201.8718,330.2914,0.37538,NA,4740.7,7.5524932292496,4.899441918148,14.668399551275,14.353085106435,5.0224600063566,0.16,0.105,204.6623,4764.1,0.020397557489931,1.84,22.657608695652,NA,0.1651,0.15993665874901,0.011,0.4398,0.67883591009484,627.7,4294.2,0.10942666852964,0.098633529942696,174.6,0.18497722216337,-27.5,-0.029134442207861,0,23.698675496689,1.5371563573883,0.3424,4.5494226083272,-2.7905,-0.013823062241043,943.9,0.32160552379035,0.9635761589404,187.5,41.69,469.9,284200,967.6,0,NA,967.6,0.95,7.3170019966211
"10",2002-12-30,106.3,0,0,0.90722266560255,NA,609.9,4.9,57.5,0.013473615146687,0.071022727272727,NA,-13.1,0,26.533750869868,6.1,0,0,296.8,181.1133,302.9,0.38978,NA,4210.1,NA,NA,14.184973045822,13.899306701882,5.2002223320158,NA,NA,182.3133,4267.6,0.020495163141499,1.86,19.489247311828,NA,0.2884,0.15608308605341,0.015,0.4337,0.50926381373996,443.7,3812.9,0.11925306197383,0.10654700534258,143.7,0.17749505928854,-17.1,-0.021121541501976,0,81.997849462366,NA,0.36660079051383,4.7096096837945,-1.2,-0.0066256869401791,809.6,0.40818863195853,3.0903225806452,142.5,36.25,454.7,705003,917.9,147,25.938095238095,917.9,0.9,9.4886184358801
