"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","PE to Growth Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2012-01-23,12.8,0.4,0.1486,0.4714,95.3,274.2,9.5,4,0.0129,0.0985,0.0146,0.03,0.67,24.84,4.9,0.03,6.78,21,13.65,26,0.3531,0.35,307,1.74,7.47,14.55,11.81,7.56,NA,9.02,311,0.8497,0.72,24.4,0.05,0.045,0.0494,NA,0.2543,0,176.3,226,0.3761,0.2733,9.1,0.2241,2.2,0.0542,0.7538,2.37,NA,0.5197,5.57,4.63,0.339,40.6,0.0774,0.0955,7.3,17.57,85,52139,41.1,9,25.11,41.1,0.7,1.72
"2",2011-01-23,12.7,0.45,0.2056,0.48242630385488,91.3,259.9,10.5,1.3,0.0042003231017771,0.033333333333333,0.0050019238168526,0.0826,0.79036964980545,25.213483146067,4.6,0.0298,6.6871,20.9,12.8639,25.5,0.3845,0.38620689655172,308.2,1.7601370645345,7.6287128712871,14.746411483254,12.086274509804,7.9025641025641,NA,6.8814,309.5,0.87879953828396,0.73,24.164383561644,0.05,0.0418,0.068630338733431,NA,0.25,0,175.1,224.4,0.37923351158645,0.27495961227787,8.9,0.22820512820513,2.3,0.058974358974359,0.75136179775281,2.4578313253012,NA,0.53589743589744,5.7538461538462,5.9826,0.46506431559234,39,0.073466304968589,0.097480832420591,6.7,17.64,85.1,25262,40.4,9.1,24.659340659341,40.4,0.65,1.7545351473923
"3",2010-01-23,12.6,0.44,0.2144,0.48701298701299,86.9,248.8,14.8,0,0,0,0,0.0681,0.8,29.04,4.4,0.0298,6.4904,18.5,11.4939,22.9,0.37871,0.3801652892562,300.3,1.7727272727273,7.8203125,16.232432432432,13.113537117904,8.1162162162162,NA,1.0258,300.3,0.89228295819936,0.71,24.352112676056,0.055,0.021,0.16769380473565,NA,0.2429,0,169.4,217.8,0.37878787878788,0.27472527472528,7.5,0.2027027027027,1.8,0.048648648648649,0.865392,2.506329113924,NA,0.5,5.8864864864865,10.4681,0.91075613887131,37,0.067850442739079,0.086306098964327,7.1,17.29,82.5,27569,38.4,8.8,24.75,38.4,0.7,1.7727272727273
"4",2009-01-23,11.4,NA,NA,0.56940160394818,69.8,240.4,24.7,0,0,0,0,0.2259,NA,28.125,3.6,0.0348,6.264,15.8,10.1014,19.4,0.36067,NA,272.3,1.6798272671191,7.4196185286103,17.23417721519,14.036082474227,8.3018292682927,0.075,-11.2245,272.3,0.87936772046589,0.66,21.984848484848,0.06,0.0354,0.29649693029975,NA,0.2346,0,162.1,180,0.51277777777778,0.33896437752479,6.4,0.19512195121951,1.9,0.057926829268293,0.97875,2.5787965616046,3.75,0.48170731707317,5.4878048780488,21.3259,2.1111811310918,32.8,0.062315940777298,0.091690544412608,6.7,14.51,92.3,23598,36.7,7.5,24,36.7,0.65,1.6798272671191
"5",2008-01-23,11.3,NA,NA,0.52201704545454,67.3,211,19,0,0,0,0,-0.0051,NA,21.015625,3.2,0.040327137546468,5.424,15.1,9.5835,18.3,0.36533,NA,208,1.4772727272727,6.5408805031446,13.774834437086,11.366120218579,6.6242038216561,0.08,-6.2114,208,0.90805687203791,0.57,21.438596491228,0.065,0.0908,0.45246478873239,NA,0.1741,0,140.8,134.5,0.54646840148699,0.35336538461539,6.4,0.20382165605096,0.4,0.012738853503185,0.8475,1.998514115899,2.626953125,0.48089171974522,4.2834394904459,15.7949,1.648132356691,31.4,0.068064751420455,0.095096582466568,6.5,12.22,73.5,6784,31.8,6.2,21.693548387097,31.8,0.65,1.4772727272727
"6",2007-01-23,11.2,NA,NA,0.48786217697729,65.4,196.1,20.7,0,0,0,0,-0.1589,NA,29.508196721311,2.5,0.029866666666667,5.376,14,9.182,16.5,0.34414,NA,242.3,1.8974158183242,7.7909967845659,17.307142857143,14.684848484848,8.4425087108014,0.1133,-8.8591,242.3,0.88934217236104,0.57,27.491228070175,0.045,-0.0072,0.091176470588235,NA,0.1418,0,127.7,180,0.34611111111111,0.25711927362773,6.1,0.21254355400697,1.9,0.066202090592335,0.88131147540984,2.7522935779816,2.604430425535,0.48780487804878,6.2717770034843,18.0411,1.9648264418995,28.7,0.071903210649961,0.093272171253823,6.2,15.67,62.3,16307,31.1,6.4,28.125,31.1,0.5,1.8974158183242
"7",2006-01-23,10.4,NA,NA,0.53972602739726,50.4,172.3,17.6,0,0,0,0,0.009,NA,32.448275862069,2.4,0.025972369819341,4.888,13.7,8.671,16.1,0.36708,NA,247.3,2.2584474885845,8.8321428571429,18.051094890511,15.360248447205,9.2276119402985,0.08,-6.538,247.3,0.90133488102147,NA,NA,NA,0.1834,0.1556718061674,NA,0.0651,0,109.5,188.2,0.31402763018066,0.23898099474323,5.8,0.21641791044776,-0.2,-0.0074626865671642,0.84275862068966,3.734126984127,4.0560344827586,0.51119402985075,7.0223880597015,15.209,1.7540016385508,26.8,0.079187251141553,0.11507936507937,5.4,17.88,59.1,6350,28,5.9,31.898305084746,28,0.55,2.2584474885845
"8",2005-01-23,6.9,0,0,0.51951951951952,NA,156.1,25.9,0.2,0.00090293453724605,0.0076335877862595,0.0012812299807815,0.0164,NA,35.333333333333,1.9,0.023984526112186,4.278,10.8665,6.8801,12.7665,0.36685,NA,221.3,2.2196589769308,8.4465648854962,20.365343026733,17.334429953394,9.8355555555556,0.0725,-17.1363,221.5,0.89686098654709,0.86,30.058139534884,NA,0.0042,0.21011058451817,NA,0.0687,0,99.7,169.6,0.3060141509434,0.23431151241535,4.8,0.21333333333333,0.1,0.0044444444444445,0.89125,3.5333333333333,4.8735632183908,0.48295555555556,7.5377777777778,24.0164,3.4906991191383,22.5,0.069008269558676,0.1,4.8,25.85,51.9,4159,26.2,5.8,29.241379310345,26.2,0.5,2.2172172172172
"9",2004-01-23,6.4,0,0,0.50443599493029,NA,127.5,10.3,0,0,0,NA,0.0043,NA,30.954545454545,1.8,0.028821410190427,3.584,11.9841,7.8125,13.7841,0.34809,NA,176,2.2306717363752,8.0733944954128,14.686174802196,12.768371582828,8.421052631579,0.07,-0.6918,176,0.91372549019608,0.75,25.906666666667,NA,0.0593,0.12093766648908,NA,0.0625,0,78.9,136.2,0.29221732745962,0.22613636363636,4.4,0.21052631578947,0.1,0.0047846889952153,0.81454545454546,3.4833759590793,4.4220779220779,0.5734,6.5167464114832,8.5043,1.0885472175444,20.9,0.099018105888466,0.11253196930946,4.3,19.43,39.8,595,21.8,4.9,27.795918367347,21.8,0.55,2.2306717363752
"10",2003-01-23,6.4,0,0,0.48830811554333,NA,118.4,6.3,0,0,0,NA,-1.6,0,30.71052631579,1.7,0.02961439588689,3.456,9.2,5.987,10.9,0.34924,NA,152.2,NA,NA,16.54347826087,13.963302752294,7.765306122449,0.07,1.387,152.2,0.90118243243243,0.7,25.985714285714,NA,-0.0013,0.18200408997955,NA,0.1058,0,72.7,116.7,0.30419880034276,0.23324572930355,3.8,0.19387755102041,1,0.051020408163265,0.90947368421053,3.1370967741935,4.3872180451128,0.46938775510204,5.9540816326531,4.6,0.76833241133444,19.6,0.082352022008253,0.10215053763441,4,18.19,35.5,4145,19.8,4.3,27.139534883721,19.8,0.55,2.0935350756534
