iShares Russell 3000 ETF,,,,,,,,,
Inception Date,22-May-00,,,,,,,,
Fund Holdings as of,6-Jun-14,,,,,,,,
Total Net Assets ($000s),"$5,728.4 M",,,,,,,,
Number of Securities,"2,986",,,,,,,,
Stock,99.84%,,,,,,,,
Bond,0.00%,,,,,,,,
Cash,0.00%,,,,,,,,
Other,0.16%,,,,,,,,
 ,,,,,,,,,
Ticker,ISIN,SEDOL,Name,Weight (%),Sector,Market Value,Shares,Price,Exchange
AAPL,US0378331005,2046251,APPLE INC,2.57,Technology,"$146,794,226 ","227,387",645.57,NASDAQ
XOM,US30231G1022,2326618,EXXON MOBIL CORP,2.09,Energy,"$119,254,016 ","1,173,760",101.6,New York Stock Exchange Inc.
MSFT,US5949181045,2588173,MICROSOFT CORP.,1.6,Technology,"$91,445,647 ","2,204,572",41.48,NASDAQ
JNJ,US4781601046,2475833,JOHNSON & JOHNSON,1.34,Health Care,"$76,509,518 ","741,515",103.18,New York Stock Exchange Inc.
GE,US3696041033,2380498,GENERAL ELECTRIC CO.,1.3,Producer Durables,"$74,192,730 ","2,729,681",27.18,New York Stock Exchange Inc.
WFC,US9497461015,2649100,WELLS FARGO & CO.,1.16,Financial Services,"$66,251,057 ","1,274,549",51.98,New York Stock Exchange Inc.
CVX,US1667641005,2838555,CHEVRON CORP,1.11,Energy,"$63,554,357 ","511,751",124.19,New York Stock Exchange Inc.
BRK.B,US0846707026,2073390,BERKSHIRE HATHAWAY INC. CL B,1.07,Financial Services,"$61,121,229 ","475,097",128.65,New York Stock Exchange Inc.
PG,US7427181091,2704407,PROCTER & GAMBLE,1.01,Consumer Staples,"$57,905,626 ","723,549",80.03,New York Stock Exchange Inc.
JPM,US46625H1005,2190385,JPMORGAN CHASE & CO,0.99,Financial Services,"$56,845,748 ","997,819",56.97,New York Stock Exchange Inc.
VZ,US92343V1044,2090571,VERIZON COMMUNICATIONS INC.,0.94,Utilities,"$53,843,634 ","1,089,511",49.42,New York Stock Exchange Inc.
PFE,US7170811035,2684703,PFIZER INC,0.91,Health Care,"$51,945,188 ","1,765,642",29.42,New York Stock Exchange Inc.
T,US00206R1023,2831811,AT&T INC,0.87,Utilities,"$49,739,326 ","1,420,312",35.02,New York Stock Exchange Inc.
IBM,US4592001014,2005973,INTERNATIONAL BUSINESS MACHINES CO,0.84,Technology,"$48,104,333 ","258,112",186.37,New York Stock Exchange Inc.
MRK,US58933Y1055,2778844,MERCK & CO INC,0.81,Health Care,"$46,117,094 ","797,184",57.85,New York Stock Exchange Inc.
BAC,US0605051046,2295677,BANK OF AMERICA CORP,0.78,Financial Services,"$44,370,029 ","2,846,057",15.59,New York Stock Exchange Inc.
KO,US1912161007,2206657,COCA-COLA,0.72,Consumer Staples,"$41,391,005 ","1,009,783",40.99,New York Stock Exchange Inc.
GOOGL,US38259P5089,B020QX2,GOOGLE INC CLASS A,0.7,Technology,"$40,299,072 ","71,196",566.03,NASDAQ
DIS,US2546871060,2270726,WALT DISNEY CO.,0.7,Consumer Discretionary,"$40,228,671 ","475,460",84.61,New York Stock Exchange Inc.
GOOG,US38259P7069,BKM4JZ7,GOOGLE INC CLASS C,0.69,Technology,"$39,608,471 ","71,196",556.33,NASDAQ
C,US1729674242,2297907,CITIGROUP INC.,0.69,Financial Services,"$39,307,769 ","803,347",48.93,New York Stock Exchange Inc.
PM,US7181721090,B2PKRQ3,PHILIP MORRIS INTERNATIONAL INC.,0.67,Consumer Staples,"$38,139,834 ","431,788",88.33,New York Stock Exchange Inc.
ORCL,US68389X1054,2661568,ORACLE CORP,0.66,Technology,"$37,823,425 ","887,249",42.63,New York Stock Exchange Inc.
SLB,AN8068571086,2779201,SCHLUMBERGER LTD.,0.65,Energy,"$37,201,324 ","350,989",105.99,New York Stock Exchange Inc.
INTC,US4581401001,2463247,INTEL CORPORATION CORP,0.65,Technology,"$36,970,308 ","1,312,400",28.17,NASDAQ
QCOM,US7475251036,2714923,QUALCOMM INC.,0.64,Technology,"$36,666,623 ","456,166",80.38,NASDAQ
CMCSA,US20030N1019,2044545,COMCAST CORP. CL A,0.64,Consumer Discretionary,"$36,653,508 ","692,752",52.91,NASDAQ
PEP,US7134481081,2681511,PEPSICO INC,0.63,Consumer Staples,"$35,891,104 ","408,271",87.91,New York Stock Exchange Inc.
CSCO,US17275R1023,2198163,CISCO SYSTEMS INC.,0.61,Technology,"$35,034,311 ","1,410,967",24.83,NASDAQ
GILD,US3755581036,2369174,GILEAD SCIENCES INC.,0.58,Health Care,"$33,179,771 ","402,716",82.39,NASDAQ
WMT,US9311421039,2936921,WALMART STORES INC,0.57,Consumer Discretionary,"$32,826,218 ","425,155",77.21,New York Stock Exchange Inc.
AMZN,US0231351067,2000019,AMAZON.COM INC.,0.56,Consumer Discretionary,"$32,004,034 ","97,079",329.67,NASDAQ
V,US92826C8394,B2PZN04,VISA INC.,0.51,Financial Services,"$29,384,841 ","137,957",213,New York Stock Exchange Inc.
HD,US4370761029,2434209,HOME DEPOT INC,0.51,Consumer Discretionary,"$29,127,732 ","361,207",80.64,New York Stock Exchange Inc.
